Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,6,1.250931456543716,0.7421767931536256,0.1501687994523188,0.7865256263807936,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8923455926059445,6,0.5920079937013067,2,8,0.30033759890463774
AdaBoost,9,1.3050374000434712,0.7950107639061591,0.1134114546108949,0.7881623879247796,"{'learning_rate': 0.1, 'n_estimators': 50}",0.908422218517054,4,0.6815993092952642,5,9,0.22682290922178971
AdaBoost,10,1.3237769808991582,0.8307258929793615,0.1006805568362476,0.8186371279761333,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9314064498156092,3,0.7300453361431138,7,10,0.20136111367249532
AdaBoost,7,1.3367285830956297,0.7952269617278256,0.0918817728692553,0.8579465754456373,"{'learning_rate': 0.05, 'n_estimators': 200}",0.8871087345970808,8,0.7033451888585703,6,14,0.1837635457385105
AdaBoost,8,1.350393589715896,0.7521291041167073,0.0825983313818381,0.8768600799848476,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8347274354985454,12,0.6695307727348692,4,16,0.16519666276367628
AdaBoost,35,1.4294724209160905,0.9391868133557596,0.0288754373693637,0.8376699656732545,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9680622507251233,1,0.9103113759863959,10,11,0.05775087473872742
AdaBoost,37,1.4313282285321698,0.934883265130792,0.0276146782717261,0.7945818838126465,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9624979434025182,2,0.9072685868590659,9,11,0.05522935654345229
AdaBoost,11,1.472808575107988,0.8924018793060905,-0.0005653571293018,0.7985785509319487,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8918365221767887,7,0.8929672364353923,8,15,-0.0011307142586036711
AdaBoost,5,1.4864235828036132,0.5980184286187445,-0.0098148314109764,0.8728028598154187,"{'learning_rate': 0.1, 'n_estimators': 50}",0.5882035972077682,33,0.6078332600297209,3,36,-0.019629662821952776
AdaBoost,1,1.5225933027780334,0.2216018761909246,-0.0343870462901703,0.9261089783738023,"{'learning_rate': 0.05, 'n_estimators': 100}",0.1872148299007543,36,0.2559889224810949,1,37,-0.06877409258034059
AdaBoost,13,1.5305471990370023,0.8997841347024319,-0.0397905951188708,0.8205350872302659,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8599935395835611,10,0.9395747298213027,13,23,-0.07958119023774168
