Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,6,1.2783710291025214,0.8455934538502543,0.131527486398609,0.7409779836647369,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9771209402488633,2,0.7140659674516453,5,7,0.263054972797218
Gradient Boosting,9,1.2976353115745216,0.873627246833649,0.1184401280024077,0.7760751495413837,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9920673748360567,1,0.7551871188312413,8,9,0.23688025600481533
Gradient Boosting,11,1.3432194570622744,0.8337762442611537,0.0874721410010805,0.8131667490860893,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9212483852622342,6,0.7463041032600732,7,13,0.17494428200216094
Gradient Boosting,7,1.35758358405783,0.8691334386854391,0.0777137459862328,0.8296825883672229,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.946847184671672,3,0.7914196926992063,9,12,0.15542749197246564
Gradient Boosting,10,1.368004077560955,0.8013843091661681,0.0706344927963515,0.8129401901605977,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8720188019625196,9,0.7307498163698166,6,15,0.14126898559270296
Gradient Boosting,8,1.377143690030461,0.8785892747141939,0.064425417313542,0.8118727839691989,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9430146920277359,4,0.8141638574006519,11,15,0.12885083462708402
Gradient Boosting,12,1.4033842095419944,0.8433374206946312,0.0465986914103534,0.8073125009062777,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8899361121049847,7,0.7967387292842778,10,17,0.09319738282070689
Gradient Boosting,13,1.484491593428402,0.93054796446487,-0.0085023175705161,0.7880146574544108,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.9220456468943539,5,0.9390502820353861,13,18,-0.01700463514103223
Gradient Boosting,1,1.4997771651984235,0.2240479219885567,-0.0188867041333631,0.9428394184669184,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.2051612178551936,37,0.2429346261219198,1,38,-0.037773408266726205
Gradient Boosting,4,1.5093763588117726,0.6562081146621913,-0.0254080000765168,0.8330179576493494,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.6308001145856745,32,0.6816161147387081,3,35,-0.05081600015303356
Gradient Boosting,5,1.5195972646118563,0.6641541811991616,-0.0323516616187482,0.859500121357213,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.6318025195804133,31,0.6965058428179098,4,35,-0.0647033232374965
Gradient Boosting,34,1.5546565693934846,0.9380931214973216,-0.0561695062473095,0.8498760813462888,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8819236152500121,8,0.9942626277446311,14,22,-0.11233901249461908
Gradient Boosting,35,1.5843329939506698,0.9341676964086708,-0.0763304442247405,0.8536837823802255,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8578372521839304,11,1.0104981406334113,15,26,-0.1526608884494809
Gradient Boosting,36,1.6246440173835586,0.9154902523179628,-0.1037160897451836,0.9015281495814188,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8117741625727791,16,1.0192063420631463,16,32,-0.20743217949036719
Gradient Boosting,15,1.6363596166486665,0.9772504088197516,-0.1116751843354748,0.8146630898328695,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8655752244842767,10,1.0889255931552264,18,28,-0.2233503686709497
Gradient Boosting,3,1.6587700687018647,0.7628744380236739,-0.1268999204899292,0.9198743196651116,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.6359745175337448,30,0.8897743585136031,12,42,-0.2537998409798583
Gradient Boosting,2,1.6607877454659254,0.5352196456093593,-0.1282706468057073,0.9529681693378308,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.406948998803652,36,0.6634902924150666,2,38,-0.25654129361141464
Gradient Boosting,22,1.6608707614806757,0.9777157682761136,-0.1283270444597199,0.8578485078132686,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8493887238163937,12,1.1060428127358335,19,31,-0.25665408891943975
Gradient Boosting,16,1.6617213961332515,0.9318821971029538,-0.128904930533529,0.8759975320747415,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8029772665694248,17,1.0607871276364829,17,34,-0.25780986106705805
Gradient Boosting,37,1.6937453399578812,0.9899006725666756,-0.1506606762095954,0.912938282844041,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8392399963570802,13,1.140561348776271,21,34,-0.30132135241919067
Gradient Boosting,17,1.7149765301396265,0.9845066076481348,-0.1650842705215176,0.9216735415519892,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8194223371266172,15,1.1495908781696524,22,37,-0.3301685410430353
Gradient Boosting,14,1.7320946610627823,0.9753144282574612,-0.176713622135836,0.79690331374579,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.7986008061216252,18,1.1520280503932971,23,41,-0.35342724427167194
