Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,1.5070046069575729,0.0046419400581664,-0.0237967297586172,0.927053854085486,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-0.0191547897004508,2,0.0284386698167836,1,3,-0.0475934595172344
MLP,2,1.9271708483332768,0.2762738057917004,-0.3092403321798844,1.0088465668447073,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",-0.03296652638818398,3,0.5855141379715848,4,7,-0.6184806643597688
MLP,3,2.313402210680204,0.7093821396588438,-0.5716299784194543,1.063880108012973,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.1377521612393895,1,1.281012118078298,6,7,-1.1432599568389086
MLP,36,2.356322077572253,-0.353721877031675,-0.6007879645084726,1.1328508082761002,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.9545098415401476,13,0.2470660874767976,2,15,-1.2015759290169452
MLP,29,3.0815187786407163,-0.6162931598126915,-1.093456671397524,1.1684498216489296,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.7097498312102155,26,0.4771635115848325,3,29,-2.186913342795048
MLP,4,3.2086791431077706,0.9038543821442272,-1.1798441745911017,1.1618576855881444,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.2759897924468745,4,2.083698556735329,9,13,-2.3596883491822034
MLP,34,3.3925027353884403,0.4422668994444099,-1.3047263360394172,1.2957473895688318,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.8624594365950073,10,1.7469932354838271,7,17,-2.6094526720788345
MLP,18,3.556364461806171,0.9590403580032412,-1.4160472297278313,1.2634618456338145,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.4570068717245901,5,2.3750875877310724,11,16,-2.8320944594556625
MLP,5,3.627615237767901,0.7729994368116234,-1.4644520661069658,1.255243533996681,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-0.6914526292953423,9,2.237451502918589,10,19,-2.9289041322139315
MLP,32,3.641292580377211,0.9999169763039224,-1.4737438881561826,1.2678992324297167,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.4738269118522602,6,2.473660864460105,12,18,-2.9474877763123652
MLP,37,3.734290149319138,0.99816029546305,-1.5369225981074832,1.383582093051405,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.5387623026444333,7,2.535082893570533,13,20,-3.0738451962149664
MLP,17,3.82602614725742,0.9819592948660988,-1.5992442487890726,1.3005189195828952,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.6172849539229738,8,2.5812035436551715,14,22,-3.198488497578145
MLP,14,4.058663353915799,0.8940866648275192,-1.7572883651092388,1.2587939765145997,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.8632017002817196,11,2.6513750299367578,15,26,-3.5145767302184776
MLP,15,4.08567787282163,0.8913717989635572,-1.7756409142548102,1.2130838858217812,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.884269115291253,12,2.6670127132183676,16,28,-3.5512818285096204
MLP,25,4.124869157669449,-0.5303224616345843,-1.802265855596722,1.3376621427475284,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-2.3325883172313064,33,1.2719433939621376,5,38,-3.6045317111934443
MLP,21,4.363155165031133,0.9840226639282428,-1.9641475339657368,1.396564303910152,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.980124870037494,14,2.9481701978939796,24,38,-3.9282950679314736
MLP,23,4.431193484746944,0.9842018927401028,-2.010369960162527,1.455988364209638,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.0261680674224243,15,2.99457185290263,25,40,-4.020739920325054
MLP,12,4.454659883034598,0.7652421916028742,-2.026312062605476,1.2636955196759547,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.2610698710026016,17,2.79155425420835,21,38,-4.052624125210952
MLP,19,4.598317245881943,0.9788725689748886,-2.123906945600415,1.5145405817827775,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.1450343766255267,16,3.1027795145753037,27,43,-4.24781389120083
MLP,28,4.607508043150302,0.5665141812399311,-2.1301507939229607,1.543531448049244,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.5636366126830294,23,2.696664975162892,17,40,-4.260301587845921
MLP,20,4.623960924749208,0.5796473722925405,-2.141328202603928,1.494029442881064,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.5616808303113876,22,2.7209755748964684,19,41,-4.282656405207856
