Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,30,1.3820639385001887,0.598592466752673,0.0610828035818713,0.8132348505170385,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6596752703345443,6,0.5375096631708016,19,25,0.1221656071637427
Random Forest,27,1.39109700659178,0.682573848763389,0.0549461099518974,0.8576926464659506,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7375199587152864,4,0.6276277388114916,31,35,0.10989221990379483
Random Forest,13,1.4163532416239089,0.7321572618992396,0.0377880662985933,0.8114509614448523,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7699453281978329,2,0.6943691956006462,33,35,0.07557613259718665
Random Forest,36,1.4220134458698943,0.5170105602307352,0.033942757153517,0.8844382070771626,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.5509533173842522,13,0.4830678030772182,16,29,0.06788551430703404
Random Forest,25,1.4263029356987096,0.6925232935455086,0.0310286548085085,0.8458249491560944,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.723551948354017,5,0.6614946387370001,32,37,0.06205730961701694
Random Forest,15,1.4314619157187538,0.5799770947108707,0.0275238567149749,0.8723610257009344,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6075009514258456,8,0.5524532379958957,21,29,0.05504771342994985
Random Forest,16,1.4327934943634015,0.7491932388445305,0.0266192371434667,0.8424902131994307,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7758124759879972,1,0.7225740017010638,34,35,0.0532384742869334
Random Forest,11,1.440490030026522,0.4504760460275552,0.0213905284812673,0.8857015325849826,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.4718665745088225,22,0.4290855175462879,11,33,0.04278105696253465
Random Forest,22,1.4451059958102666,0.4719621882378854,0.01825463184747,0.8526683685941787,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.4902168200853554,21,0.4537075563904154,12,33,0.03650926369494001
Random Forest,6,1.448568457889859,0.3583635821390423,0.0159023780204851,0.8819575149618021,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.3742659601595274,31,0.3424612041185572,4,35,0.03180475604097022
