Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,13,1.3883305271314572,0.4955299925463018,0.0568255419133835,0.9091165847956346,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.5523555344596853,21,0.4387044506329183,8,29,0.11365108382676703
SVR,37,1.4233284097367045,0.7308174862405923,0.0330494249763124,0.8585325879779118,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7638669112169046,1,0.6977680612642799,17,18,0.06609884995262472
SVR,36,1.4312716424575014,0.7292528282954243,0.0276531205153185,0.8612354876289035,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7569059488107428,2,0.7015997077801057,19,21,0.05530624103063708
SVR,35,1.4362410637690604,0.7285107926264411,0.0242771007844709,0.8625951921790224,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.752787893410912,3,0.7042336918419703,20,23,0.048554201568941746
SVR,34,1.4445886586201706,0.7235413404045871,0.0186060893818116,0.8647463061502444,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7421474297863987,4,0.7049352510227754,21,25,0.03721217876362326
SVR,22,1.4479211646762222,0.7039403795631508,0.0163421223134068,0.8589419970742422,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7202825018765576,10,0.687598257249744,13,23,0.03268424462681363
SVR,21,1.450544818002094,0.7053662469036208,0.0145597205326513,0.8590998720198487,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7199259674362721,11,0.6908065263709695,14,25,0.02911944106530262
SVR,33,1.4581485055689722,0.7186080023455989,0.0093940890348204,0.8667212023255956,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7280020913804193,5,0.7092139133107784,28,33,0.018788178069640837
SVR,29,1.4582723309524146,0.7147281256930091,0.0093099671800868,0.8720982279392183,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.724038092873096,7,0.7054181585129223,22,29,0.018619934360173618
SVR,23,1.4583236518996558,0.7048843883914757,0.0092751018467552,0.8632111476865474,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7141594902382309,14,0.6956092865447205,16,30,0.018550203693510348
SVR,32,1.4586077764798455,0.7166677817670739,0.0090820793339513,0.8677750057423483,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7257498611010252,6,0.7075857024331226,25,31,0.018164158667902663
SVR,24,1.4598983600309068,0.707466412899356,0.0082053101369915,0.8651701208506085,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7156717230363475,13,0.6992611027623644,18,31,0.0164106202739831
SVR,31,1.4606260205040242,0.7162095128767815,0.0077109676450622,0.8706016808841939,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7239204805218437,8,0.7084985452317193,26,34,0.015421935290124367
SVR,20,1.4608196462186938,0.7023228679151778,0.0075794263262365,0.8653590644820082,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7099022942414144,16,0.6947434415889413,15,31,0.015158852652473076
SVR,12,1.4639017264269447,0.6269673668249411,0.0054855882427341,0.8703006026255644,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6324529550676753,18,0.621481778582207,12,30,0.010971176485468304
SVR,30,1.4640580259963738,0.7158524308228764,0.0053794047663828,0.8724328307475333,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7212318355892592,9,0.7104730260564937,30,39,0.010758809532765534
SVR,28,1.467813264642697,0.7130222186025884,0.0028282506240405,0.8746747021075317,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7158504692266289,12,0.710193967978548,29,41,0.005656501248080925
SVR,11,1.4682066120144883,0.615589311029921,0.0025610266546909,0.8709359123035753,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.6181503376846119,19,0.61302828437523,11,30,0.005122053309381869
SVR,26,1.471029984834184,0.7096811296270493,0.0006429436930672,0.8731364484727491,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7103240733201165,15,0.7090381859339822,27,42,0.0012858873861343323
SVR,27,1.4773710892845258,0.7105782964354338,-0.0036649409473281,0.8766589774289485,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7069133554881057,17,0.7142432373827619,31,48,-0.0073298818946561095
SVR,15,1.5018510595127943,0.5045452141622478,-0.0202956223324948,0.9114148195177748,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.484249591829753,23,0.5248408364947427,10,33,-0.040591244664989645
SVR,14,1.510032989778027,0.4964749253340588,-0.0258540880531599,0.9214813681551876,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.4706208372808989,24,0.5223290133872187,9,33,-0.051708176106319836
SVR,1,1.535916080320168,-0.0050122288446443,-0.0434379914670903,0.9428711420370436,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.0484502203117346,37,0.038425762622446,1,38,-0.0868759829341806
SVR,7,1.552175743103026,0.2010746097696214,-0.0544841352593612,0.9401703363112528,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.1465904745102602,31,0.2555587450289826,5,36,-0.10896827051872243
SVR,6,1.5643010162520916,0.2080575799811092,-0.062721545377506,0.9384772492087516,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.14533603460360317,32,0.2707791253586152,6,38,-0.12544309075501203
SVR,10,1.5736090728334051,0.1497888811736543,-0.0690450548375043,0.9452888809707116,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.08074382633615,35,0.21883393601115858,2,37,-0.13809010967500857
SVR,9,1.5779678740484944,0.1531131240995239,-0.0720062444775846,0.9452612553682443,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.08110687962193931,34,0.22511936857710851,3,37,-0.14401248895516922
SVR,8,1.5922995389244934,0.1512818910651011,-0.0817425860682494,0.9477629115428196,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.0695393049968517,36,0.2330244771333505,4,40,-0.16348517213649882
SVR,5,1.5981246739114294,0.201165199914637,-0.0856999423513649,0.9494827686447174,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.1154652575632721,33,0.2868651422660019,7,40,-0.17139988470272982
SVR,18,1.6573636835349497,0.5803353306998682,-0.1259444804547622,0.9824239793678048,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.454390850245106,25,0.7062798111546305,24,49,-0.25188896090952445
SVR,4,1.666336280113211,0.744199803943671,-0.1320400922344853,0.982688419783829,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6121597117091857,20,0.8762398961781563,35,55,-0.26408018446897064
SVR,19,1.6808896510742335,0.5640593962687104,-0.1419270517886031,0.9734789313861734,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.4221323444801073,27,0.7059864480573135,23,50,-0.2838541035772062
SVR,17,1.6888387315752753,0.5716247235233349,-0.1473273289901338,0.9903083721605548,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.42429739453320114,26,0.7189520525134687,32,58,-0.2946546579802676
SVR,25,1.7150655596383035,0.5786945172031697,-0.1651447534883094,0.9282637160120752,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.4135497637148603,28,0.743839270691479,33,61,-0.33028950697661874
SVR,16,1.7514063254856054,0.5586642577690768,-0.1898331698737803,1.0077789755510742,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.3688310878952965,29,0.7484974276428571,34,63,-0.3796663397475606
SVR,3,1.8158597375274752,0.7858533487563444,-0.233620157760612,0.9898172583587496,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.5522331909957323,22,1.0194735065169565,37,59,-0.46724031552122414
SVR,2,1.960986825714233,0.6743221645226425,-0.3322135114896074,1.042339156630717,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.34210865303303506,30,1.00653567601225,36,66,-0.6644270229792149
