Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,16,2.1470669086059835,0.7870821798791335,0.60084855489246,1.3486343966225491,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.3879307347715937,2,0.1862336249866735,7,9,1.20169710978492
Random Forest,12,2.3063431427770857,0.859320667850521,0.5712382345126634,1.3366778189599426,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.4305589023631844,1,0.28808243333785755,14,15,1.1424764690253268
Random Forest,10,2.639241187388476,0.7207821637917646,0.5093506729059398,1.5382238195525757,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.2301328366977045,9,0.2114314908858248,8,17,1.0187013458118797
Random Forest,11,2.659772234041389,0.6386892362795212,0.5055338393884405,1.5068839588784306,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.1442230756679619,14,0.1331553968910807,3,17,1.011067678776881
Random Forest,18,2.7225542568870846,0.8606638226452896,0.4938623190249208,1.4718446489247368,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.3545261416702103,3,0.36680150362036884,22,25,0.9877246380498415
Random Forest,17,2.846012693248652,0.754399033503371,0.4709107225530478,1.5449289902352747,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.2253097560564188,11,0.28348831095032323,13,24,0.9418214451060956
Random Forest,19,2.848399871727316,0.7880071641718862,0.4704669330578676,1.4685564547957823,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.2584740972297537,5,0.31754023111401863,15,20,0.940933866115735
Random Forest,9,2.849374361498946,0.599766478907805,0.4702857700959544,1.5713698652139976,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.0700522490037594,16,0.1294807088118506,2,18,0.9405715401919088
Random Forest,15,2.853006284476816,0.5827408057323669,0.4696105758114515,1.5625844018736463,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0523513815438184,17,0.11313022992091537,1,18,0.939221151622903
Random Forest,24,2.986754601580925,0.7702734703917915,0.4447460344043706,1.5494854077436826,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",1.215019504796162,12,0.3255274359874209,16,28,0.8894920688087411
