Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,10,0.8084106748653457,0.4577132070057002,0.2031885897535135,0.7667501024822336,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6609017967592137,2,0.25452461725218667,8,10,0.406377179507027
KNN,11,0.8175110275488605,0.4794753823148703,0.1942188110495155,0.7707935483461121,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6736941933643859,1,0.2852565712653548,9,10,0.38843762209903104
KNN,29,0.8819332733548026,0.5197587249214727,0.1307209106285087,0.8241108894815891,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6504796355499813,3,0.38903781429296397,10,13,0.26144182125701737
KNN,18,0.9376799308765036,0.5415181167945785,0.0757741191307427,0.8131045148870544,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6172922359253212,5,0.4657439976638358,14,19,0.15154823826148545
KNN,17,0.9376799308765036,0.5415181167945785,0.0757741191307427,0.8131045148870544,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.6172922359253212,4,0.4657439976638358,15,19,0.15154823826148545
KNN,14,0.9488052181116448,0.5259012538292003,0.0648084601076149,0.7856549641491184,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5907097139368152,6,0.4610927937215854,13,19,0.12961692021522975
KNN,1,0.9495187214803624,0.1060529190394795,0.0641051942513862,0.8901496674703888,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.1701581132908657,19,0.041947724788093305,3,22,0.1282103885027724
KNN,12,0.9520938743961056,0.4912457684560996,0.061566990229358,0.795225416037858,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5528127586854575,8,0.42967877822674155,12,20,0.12313398045871599
KNN,13,0.9520938743961056,0.4912457684560996,0.061566990229358,0.795225416037858,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}",0.5528127586854575,9,0.42967877822674155,11,20,0.12313398045871599
KNN,2,0.9633963420846416,0.0813975884923101,0.050426692979241,0.900770281908304,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",0.13182428147155112,20,0.0309708955130691,2,22,0.10085338595848202
