Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,11,2.315419580741996,0.890960068538484,0.5695508752060665,1.3796473486087564,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.4605109437445505,1,0.32140919333241746,3,4,1.139101750412133
MLP,9,2.3267615635681933,0.7167626746349864,0.567442338756962,1.3357612980158968,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.2842050133919485,6,0.1493203358780244,2,8,1.134884677513924
MLP,10,2.4507370642288344,0.874404935905523,0.5443946172126183,1.3702575838725888,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.4187995531181414,2,0.33001031869290476,4,6,1.0887892344252368
MLP,26,3.533875101178396,0.9999476909791584,0.3430333503762426,1.6658376103292305,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.3429810413554009,3,0.6569143406029158,12,15,0.6860667007524851
MLP,12,3.5664423383399835,0.9365362031792628,0.3369789234163266,1.6468074766215095,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.2735151265955893,7,0.5995572797629362,11,18,0.6739578468326531
MLP,25,3.584080767478191,0.9999285450162558,0.3336998432666943,1.580215130004052,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",1.33362838828295,4,0.6662287017495616,13,17,0.6673996865333884
MLP,8,3.595466770055681,0.8555508818992166,0.3315831233058085,1.7376823132183423,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.1871340052050252,12,0.523967758593408,8,20,0.6631662466116172
MLP,14,3.602935368719987,0.925933145535377,0.3301946700918742,1.5747697237219926,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",1.2561278156272513,9,0.5957384754435028,10,19,0.6603893401837485
MLP,27,3.8175784554347256,0.999873330400843,0.2902913499386347,1.6583215968525538,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.2901646803394777,5,0.7095819804622083,16,21,0.5805826998772694
MLP,29,3.948284896220713,0.9999310057894863,0.2659923099248032,1.838462460275733,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",1.2659233157142895,8,0.7339386958646832,17,25,0.5319846198496063
MLP,6,4.048286870934823,0.9398613972009318,0.247401397568625,1.8259760256139423,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.1872627947695569,11,0.6924599996323068,14,25,0.4948027951372501
MLP,23,4.319105575314186,0.9998679795598506,0.1970547237961906,1.7937457210497323,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1969227033560412,10,0.80281325576366,19,29,0.3941094475923812
MLP,13,4.42450118571244,0.952672610470617,0.177461105157744,1.805518586674019,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",1.130133715628361,16,0.775211505312873,18,34,0.3549222103154881
MLP,28,4.444296443828554,0.9999590160630764,0.1737810587410938,1.843018062388272,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1737400748041702,13,0.8261779573219825,20,33,0.3475621174821877
MLP,21,4.506020037579888,0.9999555552108792,0.1623063061172588,1.7696123661853422,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.162261861328138,14,0.8376492490936204,21,35,0.32461261223451754
MLP,2,4.566818557225262,0.6567229423798939,0.1510035298136519,1.973351642287944,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.8077264721935458,23,0.5057194125662421,7,30,0.3020070596273037
MLP,1,4.579546819121348,0.203069821148539,0.1486372765268233,1.93753351099808,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.3517070976753623,28,0.054432544621715706,1,29,0.2972745530536466
MLP,22,4.641995904401587,0.9999726397639246,0.1370276510720509,1.807034181821114,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.1370002908359755,15,0.8629449886918736,22,37,0.2740553021441019
MLP,5,4.810573319054655,0.4967902247236169,0.1056881905263371,2.0455886921257527,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.602478415249954,25,0.3911020341972798,6,31,0.21137638105267426
MLP,4,4.889694419107366,0.429952824679807,0.0909791466218588,2.0911431466308485,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.5209319713016658,27,0.3389736780579482,5,32,0.1819582932437176
MLP,16,5.0224336524622855,0.9999682532440536,0.0663021993857416,1.831190603415364,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0662704526297953,17,0.933666053858312,23,40,0.13260439877148322
MLP,20,5.053155883030753,0.999965128733578,0.0605907692113123,1.9281154480353355,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",1.0605558979448904,18,0.9393743595222657,24,42,0.12118153842262469
MLP,7,5.249995411228488,0.7328859716192028,0.0239972276595847,2.1859578181260177,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}",0.7568831992787874,24,0.7088887439596181,15,39,0.04799445531916935
MLP,24,5.298564579114342,0.9998605524408236,0.0149679545281311,1.86909778028318,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0148285069689547,19,0.9848925979126926,25,44,0.02993590905626209
MLP,19,5.314634956435453,0.9995660060355256,0.0119803837610376,1.9265368975147623,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",1.011546389796563,20,0.987585622274488,26,46,0.0239607675220751
MLP,18,6.097996143589754,0.9997277144461014,-0.1336507321769418,2.1038813985382525,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.8660769822691596,21,1.1333784466230432,27,48,-0.2673014643538836
MLP,17,6.146344987165843,0.9999405229401046,-0.1426390458179007,2.1342470658371173,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.8573014771222038,22,1.1425795687580054,28,50,-0.28527809163580153
MLP,3,6.294987252493462,0.389236650036472,-0.1702724534083974,2.348533536223732,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",0.21896419662807462,29,0.5595091034448694,9,38,-0.3405449068167947
MLP,15,7.5375713892814,0.9999951462355976,-0.401275619578302,2.330124938756544,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.5987195266572956,26,1.4012707658138996,29,55,-0.8025512391566041
