Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,10,0.8084106748653457,0.4577132070057002,0.2031885897535135,0.7667501024822336,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.1827079  7.94705114 8.94632602 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 8.89926958 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.1827079  8.88731404
 7.70729695 9.56249471 8.20265724 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.79370517
 7.661078   7.55648069 7.97826662 8.86766056 7.94017441 8.34477601
 8.02524024 7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.4310827  7.70729695 8.02524024 8.72587858 8.83218513
 8.05431531 7.61722007 8.86766056 9.01886814 9.27681143]",0.6609017967592137,2,0.25452461725218667,8,10,0.406377179507027
KNN,11,0.8175110275488605,0.4794753823148703,0.1942188110495155,0.7707935483461121,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.1827079  7.94705114 8.84105105 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 8.89926958 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.1827079  8.88731404
 7.70729695 9.56249471 8.20265724 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.661078   8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 7.661078   7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.4310827  7.70729695 8.02524024 8.72587858 8.84105105
 8.05431531 7.6705639  8.86766056 9.01886814 9.27681143]",0.6736941933643859,1,0.2852565712653548,9,10,0.38843762209903104
KNN,29,0.8819332733548026,0.5197587249214727,0.1307209106285087,0.8241108894815891,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.93890056 7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 9.21859291 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.5483106  9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.85177692 8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 8.02524024 7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 8.01381204 7.70729695 8.02524024 8.51193621 8.36503714
 8.05431531 7.6705639  8.80944203 9.12414311 8.68409435]",0.6504796355499813,3,0.38903781429296397,10,13,0.26144182125701737
KNN,18,0.9376799308765036,0.5415181167945785,0.0757741191307427,0.8131045148870544,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.54687014 7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 9.21859291 8.34477601
 7.5222987  7.97826662 7.26904758 8.1949688  8.35761168 9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 7.85177692 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.26904758 8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 7.85177692 7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.82311312 7.70729695 7.26904758 8.51193621 8.94632602
 8.05431531 7.6705639  8.80944203 9.01886814 8.68409435]",0.6172922359253212,5,0.4657439976638358,14,19,0.15154823826148545
KNN,17,0.9376799308765036,0.5415181167945785,0.0757741191307427,0.8131045148870544,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.54687014 7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 9.21859291 8.34477601
 7.5222987  7.97826662 7.26904758 8.1949688  8.35761168 9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 7.85177692 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.26904758 8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 7.85177692 7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.82311312 7.70729695 7.26904758 8.51193621 8.94632602
 8.05431531 7.6705639  8.80944203 9.01886814 8.68409435]",0.6172922359253212,4,0.4657439976638358,15,19,0.15154823826148545
KNN,14,0.9488052181116448,0.5259012538292003,0.0648084601076149,0.7856549641491184,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.54687014 7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 9.21859291 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.93890056 9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.661078   8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 8.02524024 7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.4310827  7.70729695 7.26904758 8.72587858 8.94632602
 8.05431531 7.6705639  8.86766056 9.01886814 8.78936932]",0.5907097139368152,6,0.4610927937215854,13,19,0.12961692021522975
KNN,1,0.9495187214803624,0.1060529190394795,0.0641051942513862,0.8901496674703888,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.33574092 8.07802481 7.86312166 8.12527662 8.21169349 8.10665548
 8.43539037 7.90074285 7.72603104 7.934082   7.934082   8.12527662
 8.07802481 8.43539037 7.90854108 7.98217398 8.10665548 8.21169349
 7.83865775 8.36646372 7.83865775 7.98217398 7.90854108 7.64271413
 7.934082   7.83865775 8.36646372 7.64271413 7.934082   7.87975109
 7.98217398 7.72603104 7.934082   7.98217398 8.12527662 8.18342317
 7.98217398 7.72603104 7.98217398 7.72603104 7.72603104]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[7.98217398 8.33574092 7.934082   7.98217398 8.07802481 8.18342317
 7.98217398 7.64271413 8.07802481 7.83865775 8.00935429]",0.1701581132908657,19,0.041947724788093305,3,22,0.1282103885027724
KNN,12,0.9520938743961056,0.4912457684560996,0.061566990229358,0.795225416037858,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.1827079  7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 8.83218513 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.1827079  9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.661078   8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 7.661078   7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.4310827  7.70729695 7.26904758 8.72587858 8.84105105
 8.05431531 7.6705639  8.86766056 9.01886814 8.78936932]",0.5528127586854575,8,0.42967877822674155,12,20,0.12313398045871599
KNN,13,0.9520938743961056,0.4912457684560996,0.061566990229358,0.795225416037858,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.1827079  7.94705114 8.80944203 7.89951198 9.22184875 7.4310827
 7.97826662 7.50855572 7.66991409 7.62861569 8.83218513 8.34477601
 7.5222987  7.97826662 8.02524024 8.1949688  8.1827079  9.07540452
 7.70729695 9.56249471 8.42162679 7.20890057 8.02524024 7.00389723
 9.01886814 8.53142603 9.56249471 7.61722007 7.16363502 8.27730261
 7.661078   8.18902306 7.97826662 8.86766056 7.94017441 8.34477601
 7.661078   7.12257985 8.1949688  8.35713311 7.94705114]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.20415427 7.4310827  7.70729695 7.26904758 8.72587858 8.84105105
 8.05431531 7.6705639  8.86766056 9.01886814 8.78936932]",0.5528127586854575,9,0.42967877822674155,11,20,0.12313398045871599
KNN,2,0.9633963420846416,0.0813975884923101,0.050426692979241,0.900770281908304,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}","8      8.995679
26     7.928118
6      9.022276
34     7.455932
4      9.698970
37     7.217527
24     7.991400
44     6.966576
33     7.458421
49     6.672641
15     8.679854
9      8.958607
16     8.657577
30     7.749580
36     7.251812
25     7.935542
11     8.821023
0     11.000000
46     6.908685
27     7.917933
31     7.657577
39     7.187087
29     7.823909
45     6.913640
1     10.154902
21     8.221849
2      9.769551
40     7.102373
35     7.337242
23     8.004365
48     6.731422
10     8.835647
22     8.193820
18     8.585027
51     6.555643
20     8.221849
7      9.000000
42     6.995679
14     8.721246
28     7.853872
38     7.191789
Name: Log Standard Value, dtype: float64","[8.01514475 7.98798211 7.81958623 7.80214982 8.43432471 7.93805594
 8.09981422 7.87547279 7.6974432  8.05307469 8.07171116 7.85508243
 7.81437804 8.42011852 8.10112996 8.10112996 7.95692955 8.18625338
 8.00528259 8.53899323 8.14965615 7.81437804 8.10112996 7.65755655
 8.17350164 7.98834983 8.53899323 7.6974432  7.93600595 8.2310565
 8.04111069 7.65594979 8.21536683 7.95692955 8.15844649 7.83834952
 8.04111069 7.7859669  7.98798211 7.6974432  8.09634614]","19    8.309804
41    7.031517
47    6.810791
12    8.795880
43    6.978811
5     9.065502
17    8.585027
50    6.667562
3     9.744727
32    7.602060
13    8.769551
Name: Log Standard Value, dtype: float64","[8.0912264  7.93805594 7.94829147 8.10112996 7.97236553 7.90526191
 7.95692955 7.74903186 7.95692955 8.1725267  8.04007195]",0.13182428147155112,20,0.0309708955130691,2,22,0.10085338595848202
