Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,16,0.4428503913773621,0.7945177981294546,0.5635037291654016,0.6015371533888236,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.3580215272948561,2,0.23101406896405297,10,12,1.1270074583308032
Random Forest,11,0.4454497259706748,0.6481881110339982,0.560941690430145,0.5932893944719101,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.2091298014641432,7,0.08724642060385324,1,8,1.12188338086029
Random Forest,21,0.4514376270519484,0.8367306790306974,0.5550397051479976,0.6051234832239496,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.391770384178695,1,0.2816909738826998,14,15,1.1100794102959952
Random Forest,9,0.4845216696981976,0.6672258597441225,0.5224303600499709,0.5966345984426017,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.1896562197940934,8,0.14479549969415162,5,13,1.0448607200999418
Random Forest,14,0.4857414553227915,0.6226411165821352,0.5212280761935721,0.6461334814215379,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.1438691927757074,11,0.10141304038856302,2,13,1.0424561523871443
Random Forest,12,0.4881582465112328,0.6225177172191658,0.5188459616879046,0.6379114648960743,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.1413636789070705,12,0.10367175553126118,3,15,1.0376919233758093
Random Forest,18,0.5239352950290257,0.8463432821451815,0.4835822505937037,0.6578088938183488,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.3299255327388853,3,0.3627610315514778,20,23,0.9671645011874075
Random Forest,15,0.5303825325327024,0.5881441937816828,0.4772275195551083,0.6819163756825186,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.065371713336791,18,0.11091667422657453,4,22,0.9544550391102165
Random Forest,17,0.5357786808036253,0.7889183982660724,0.4719087964761863,0.6556180751195106,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.2608271947422587,4,0.3170096017898861,17,21,0.9438175929523727
Random Forest,10,0.5765978482467804,0.5772924813628357,0.4316753119531307,0.7023820521835096,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 25}",1.0089677933159664,20,0.14561716940970504,6,26,0.8633506239062614
Random Forest,13,0.5826358532626545,0.7952092023685334,0.4257239416393041,0.5798605110547383,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.2209331440078375,6,0.3694852607292293,21,27,0.8514478832786081
Random Forest,20,0.5844664373342698,0.6506005421541972,0.4239196232142395,0.711148521689773,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",1.0745201653684366,16,0.22668091893995768,9,25,0.847839246428479
Random Forest,26,0.6155537442032947,0.842016303381881,0.3932783642635225,0.7075885352883792,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.2352946676454035,5,0.4487379391183586,24,29,0.786556728527045
Random Forest,23,0.6405648490825391,0.7115748890838239,0.3686261245414616,0.728642811315182,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.0802010136252855,15,0.34294876454236234,19,34,0.7372522490829232
Random Forest,29,0.6503279432691333,0.7449447696110865,0.359003113503804,0.7240362874130658,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.1039478831148903,13,0.3859416561072825,22,35,0.7180062270076079
Random Forest,8,0.6541005224018065,0.5238883508492556,0.355284664215053,0.7378100210758621,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}",0.8791730150643086,23,0.16860368663420255,7,30,0.710569328430106
Random Forest,27,0.6563513183425939,0.6764654938309094,0.3530661632185705,0.7442155098306297,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.02953165704948,19,0.3233993306123389,18,37,0.7061323264371411
Random Forest,3,0.6653161434443582,0.8181986490439072,0.3442299675150195,0.7225949158179114,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",1.1624286165589266,10,0.47396868152888766,26,36,0.6884599350300389
Random Forest,22,0.673195953120715,0.8405150883165479,0.3364632191828829,0.7599297342097167,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.1769783074994309,9,0.504051869133665,27,36,0.6729264383657659
Random Forest,6,0.6896965468043595,0.5729055800373644,0.3201993798599312,0.7625580678907123,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8931049598972955,22,0.25270620017743317,12,34,0.6403987597198624
Random Forest,25,0.6990723746178527,0.620948882979079,0.31095807860727,0.7819213857609206,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.931906961586349,21,0.30999080437180904,16,37,0.62191615721454
Random Forest,28,0.7012108674321826,0.7626076076017742,0.3088502693858344,0.7647933605485059,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.0714578769876084,17,0.4537573382159398,25,42,0.6177005387716686
Random Forest,24,0.7325214020408611,0.8201226356808854,0.2779889856190556,0.7253291297457961,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",1.098111621299941,14,0.5421336500618298,28,42,0.5559779712381113
Random Forest,5,0.7569424664277797,0.4547169862504654,0.253918320350933,0.8001408990406176,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.7086353066013984,26,0.20079866589953244,8,34,0.507836640701866
Random Forest,4,0.7819671549031362,0.4892924750565554,0.2292526919333603,0.8084614519194585,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.7185451669899157,25,0.2600397831231951,13,38,0.4585053838667206
Random Forest,1,0.8264172020501899,0.4309278937089896,0.1854404244139263,0.7742356373927618,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",0.6163683181229159,28,0.2454874692950633,11,39,0.37088084882785266
Random Forest,2,0.8617922539958595,0.4381001145958979,0.1505729419514183,0.8202749494817472,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.5886730565473162,29,0.28752717264447963,15,44,0.30114588390283653
Random Forest,7,0.9006371049041253,0.5090682170328337,0.112285446009847,0.880432743737022,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.6213536630426807,27,0.39678277102298665,23,50,0.22457089201969405
Random Forest,19,0.9464768351699532,0.7801312447275468,0.0671034348686446,0.7982535644472109,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",0.8472346795961914,24,0.7130278098589022,29,53,0.13420686973728913
