Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,9,0.6175711737356987,0.8403982514384036,0.3659666102522191,0.6281553445618737,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2063648616906226,3,0.4744316411861845,1,4,0.7319332205044381
AdaBoost,16,0.6671949412985708,0.9263470653508225,0.3150200523524669,0.5861514305189011,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2413671177032892,1,0.6113270129983556,4,5,0.6300401047049337
AdaBoost,15,0.6911553055503377,0.9201266750311388,0.2904209913661119,0.6021008623959053,"{'learning_rate': 0.1, 'n_estimators': 200}",1.2105476663972508,2,0.6297056836650269,6,8,0.5808419827322239
AdaBoost,11,0.7254193539313967,0.9100193720635708,0.2552435872620429,0.608039656937072,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1652629593256136,5,0.6547757848015279,8,13,0.5104871745240858
AdaBoost,13,0.7290165339309005,0.9148957143801116,0.2515505194414998,0.6029756962007841,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1664462338216115,4,0.6633451949386118,9,13,0.5031010388829997
AdaBoost,10,0.729876778986179,0.843577213133027,0.2506673433613847,0.7174920066128,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0942445564944117,8,0.5929098697716424,3,11,0.5013346867227693
AdaBoost,14,0.7444333578222543,0.9175581366145712,0.2357227387310567,0.605602451234715,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1532808753456278,6,0.6818353978835145,11,17,0.4714454774621133
AdaBoost,12,0.7740558951749411,0.9086264159876944,0.205310571568131,0.6264056258565105,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1139369875558254,7,0.7033158444195634,13,20,0.41062114313626197
AdaBoost,8,0.8006350982990156,0.7691260783186255,0.1780228629278247,0.7009158476983499,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9471489412464502,33,0.5911032153908007,2,35,0.35604572585564953
AdaBoost,20,0.8381363858154013,0.9428263294068892,0.1395219265902487,0.6253527581039406,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0823482559971378,9,0.8033044028166405,16,25,0.2790438531804973
AdaBoost,4,0.8456771819767356,0.7453625708719547,0.1317801200505316,0.6726815182168836,"{'learning_rate': 0.1, 'n_estimators': 200}",0.8771426909224863,42,0.613582450821423,5,47,0.26356024010106327
AdaBoost,29,0.8826083439897543,0.9529430060597665,0.0938645067021989,0.6379061064760481,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0468075127619654,10,0.8590784993575675,18,28,0.18772901340439785
AdaBoost,48,0.9043760716269892,0.9485481284008808,0.0715165300998308,0.661911336070454,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0200646585007116,13,0.8770315983010499,21,34,0.14303306019966167
AdaBoost,40,0.9055710299566836,0.9549597042321,0.0702897184988287,0.648487505205689,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0252494227309286,12,0.8846699857332713,23,35,0.1405794369976573
AdaBoost,47,0.9089160723961588,0.9596236655686652,0.0668555093146116,0.6572827263120862,"{'learning_rate': 0.1, 'n_estimators': 200}",1.026479174883277,11,0.8927681562540536,26,37,0.1337110186292233
AdaBoost,30,0.9124278883854492,0.9557502124441096,0.0632500810003473,0.6334760694029254,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0190002934444569,14,0.8925001314437623,25,39,0.12650016200069458
AdaBoost,17,0.9149031200493456,0.9295437386231729,0.060708868604085,0.7081330577598443,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9902526072272578,22,0.8688348700190879,19,41,0.12141773720816995
AdaBoost,23,0.9159502783109026,0.9430918093734764,0.0596337968869886,0.656626837246276,"{'learning_rate': 0.1, 'n_estimators': 200}",1.002725606260465,16,0.8834580124864878,22,38,0.11926759377397722
AdaBoost,19,0.9178031722820296,0.9336448991215298,0.0577315114576826,0.6571597747628936,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9913764105792124,20,0.8759133876638472,20,40,0.11546302291536525
AdaBoost,24,0.9236546155648084,0.9388107282686652,0.0517240898400976,0.6605694119160677,"{'learning_rate': 0.05, 'n_estimators': 200}",0.9905348181087628,21,0.8870866384285676,24,45,0.10344817968019515
AdaBoost,44,0.923694802516424,0.9545556405542348,0.0516828316495601,0.6540679258994911,"{'learning_rate': 0.1, 'n_estimators': 200}",1.006238472203795,15,0.9028728089046747,28,43,0.10336566329912023
AdaBoost,21,0.9322734313519824,0.943449933322804,0.0428755275665414,0.6548962727089291,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9863254608893455,24,0.9005744057562626,27,51,0.0857510551330829
AdaBoost,35,0.9331798500793892,0.9555203386201356,0.041944946991039,0.6589153900349157,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9974652856111746,17,0.9135753916290966,30,47,0.08388989398207802
AdaBoost,3,0.935775061400134,0.7088782646792233,0.0392805567138013,0.7304499310190112,"{'learning_rate': 0.1, 'n_estimators': 200}",0.7481588213930246,45,0.6695977079654221,10,55,0.07856111342760252
AdaBoost,31,0.9367434958287402,0.9570391252409194,0.0382863073225879,0.6626852968520869,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9953254325635073,18,0.9187528179183315,32,50,0.07657261464517573
AdaBoost,49,0.9371682733861554,0.956342126808828,0.0378502067303475,0.6640825523505453,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9941923335391756,19,0.9184919200784805,31,50,0.07570041346069512
AdaBoost,38,0.9462529265810846,0.9547089395342172,0.0285233895069628,0.6698179804532927,"{'learning_rate': 0.1, 'n_estimators': 200}",0.98323232904118,25,0.9261855500272544,33,58,0.05704677901392552
AdaBoost,46,0.9464547676742968,0.9601684634864958,0.0283161680595214,0.648324659330877,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9884846315460172,23,0.9318522954269743,34,57,0.056632336119042836
