Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,9,0.7039248044122696,0.955516758774363,0.2773111038047535,0.6734920224852414,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2328278625791165,14,0.6782056549696096,2,16,0.5546222076095069
Gradient Boosting,8,0.7046688710631147,0.9526045186266906,0.2765472030255446,0.6717000173937876,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2291517216522352,18,0.676057315601146,1,19,0.5530944060510892
Gradient Boosting,39,0.7069752222957891,0.9923885509361808,0.2741793728025825,0.5868759684397599,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.2665679237387633,1,0.7182091781335984,4,5,0.5483587456051648
Gradient Boosting,48,0.719677710734674,0.9947307036242902,0.2611382819200198,0.6086770604951506,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.25586898554431,2,0.7335924217042704,6,8,0.5222765638400395
Gradient Boosting,33,0.7220843846182837,0.9907911918606528,0.2586674548067459,0.590319673592921,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.2494586466673987,3,0.7321237370539069,5,8,0.5173349096134918
Gradient Boosting,31,0.7279432556628757,0.991054243351412,0.2526524074300569,0.576562991209431,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.243706650781469,6,0.7384018359213551,8,14,0.5053048148601138
Gradient Boosting,30,0.7281945130809039,0.995385538332264,0.2523944523971364,0.5984575164875274,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.2477799907294003,4,0.7429910859351275,11,15,0.5047889047942727
Gradient Boosting,43,0.7291412891414651,0.992512173073396,0.2514224387078015,0.6061464658068753,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.2439346117811976,5,0.7410897343655944,10,15,0.5028448774156031
Gradient Boosting,34,0.7295186837186638,0.9918710902803656,0.2510349841548205,0.6038739056337825,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.242906074435186,7,0.7408361061255451,9,16,0.502069968309641
Gradient Boosting,41,0.7355831690181789,0.9963224861197928,0.2448088415901212,0.5967008626163419,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.241131327709914,9,0.7515136445296716,13,22,0.48961768318024246
