Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,4,0.9365779256817612,0.897004139853608,0.0384562909714283,0.7592107601113912,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.9354604308250364,1,0.8585478488821797,3,4,0.07691258194285666
MLP,2,1.182617988778075,0.2277497271024973,-0.2141423111865732,0.8395521374821024,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",0.013607415915924098,7,0.44189203828907053,2,9,-0.42828462237314646
MLP,1,1.2132181490985117,0.08267526643159,-0.2455581612131083,0.931487504134372,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-0.1628828947815183,13,0.3282334276446983,1,14,-0.4911163224262166
MLP,3,1.3252948479146784,0.8443039156581682,-0.3606224198512018,0.9358772840743304,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.4836814958069664,2,1.20492633550937,4,6,-0.7212448397024036
MLP,20,1.616164062401081,0.936082304512496,-0.6592451565934678,1.0294328685828125,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.27683714791902814,4,1.5953274611059638,6,10,-1.3184903131869357
MLP,40,1.6390072360654888,0.98854984200982,-0.6826972467281678,0.9930188129189074,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.3058525952816522,3,1.6712470887379878,7,10,-1.3653944934563356
MLP,34,1.771786884229965,0.4599347038560233,-0.8190163205379015,1.0804651160310172,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.3590816166818782,20,1.2789510243939248,5,25,-1.638032641075803
MLP,21,1.7912744758269512,0.9547225713113632,-0.8390233809120398,1.05669560491464,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.11569919039932341,5,1.793745952223403,9,14,-1.6780467618240795
MLP,24,1.8795719486700568,0.9680107171199523,-0.929674545334484,1.1347635368660125,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.03833617178546833,6,1.8976852624544365,10,16,-1.8593490906689683
MLP,18,1.9461691988553704,0.909772852546192,-0.9980470375728384,1.1629834392384808,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.08827418502664641,9,1.9078198901190304,11,20,-1.9960940751456768
MLP,37,1.9670440225497927,0.9814131622615316,-1.019478308639623,1.1390141828311258,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.03806514637809144,8,2.0008914709011547,12,20,-2.038956617279246
MLP,22,2.030814677756004,0.9541610273245146,-1.0849488590901126,1.147431620696488,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.13078783176559805,10,2.0391098864146273,15,25,-2.1698977181802253
MLP,28,2.063054993951522,0.9795096319432838,-1.1180485856209574,1.1623096181032304,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.13853895367767366,11,2.097558217564241,18,29,-2.236097171241915
MLP,39,2.07871862827167,0.9830236374274468,-1.1341297558344223,1.115527704188939,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.15110611840697552,12,2.1171533932618694,19,31,-2.2682595116688447
MLP,13,2.0844960429518413,0.8646271917448266,-1.1400611755143428,1.108646399132199,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.2754339837695162,19,2.0046883672591695,13,32,-2.2801223510286857
MLP,15,2.090368394750397,0.88633046559737,-1.1460900629931867,1.1229675080927473,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.25975959739581667,16,2.0324205285905568,14,30,-2.2921801259863734
