Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,20,0.7276585797037356,0.9840379180504704,0.2529446718216434,0.6394487955028967,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2369825898721136,1,0.731093246228827,5,6,0.5058893436432866
SVR,21,0.7298346646776954,0.9856364998813578,0.2507105802851601,0.6272650929200331,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.236347080166518,2,0.7349259195961977,6,8,0.5014211605703203
SVR,23,0.7392136503412641,0.9851946713019804,0.2410815847530383,0.6277819933010692,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.2262762560550187,3,0.744113086548942,7,10,0.4821631695060766
SVR,22,0.7424535663148121,0.9849105227157148,0.2377553043264753,0.624695023281366,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.22266582704219,4,0.7471552183892395,8,12,0.4755106086529505
SVR,19,0.7486829742355693,0.98988053054134,0.231359842899369,0.6754953537544769,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.221240373440709,5,0.758520687641971,9,14,0.4627196857987379
SVR,16,0.7641669059469376,0.9804752688933792,0.2154631655169115,0.6544783124243226,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1959384344102908,8,0.7650121033764677,10,18,0.43092633103382305
SVR,24,0.7664412717898877,0.9859162631355616,0.2131281732985905,0.6336048905354644,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1990444364341521,6,0.7727880898369711,12,18,0.42625634659718104
SVR,42,0.7716152339167759,0.9891077941547772,0.2078162920365589,0.6319951221296554,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1969240861913362,7,0.7812915021182183,14,21,0.41563258407311787
SVR,44,0.7738128121771545,0.9893356710239032,0.2055601342803029,0.6360462156128942,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.194895805304206,9,0.7837755367436003,15,24,0.4111202685606057
SVR,43,0.7777580421900409,0.9891692127058171,0.2015097386906352,0.6342100775155425,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1906789513964524,10,0.7876594740151819,17,27,0.40301947738127053
SVR,15,0.7805276048459241,0.9898839903488752,0.1986663495016508,0.7056854552491416,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.188550339850526,11,0.7912176408472245,18,29,0.3973326990033015
SVR,45,0.7817333390040303,0.9894258403496988,0.1974284748275877,0.6365576392570818,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.1868543151772866,12,0.7919973655221111,19,31,0.3948569496551755
SVR,18,0.7818814300451782,0.6744700106268695,0.1972764362143826,0.633436353264413,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8717464468412521,41,0.4771935744124869,3,44,0.39455287242876524
SVR,12,0.7823971539116499,0.9837147013050777,0.196746965013104,0.6689074356681888,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.1804616663181817,17,0.7869677362919736,16,33,0.39349393002620814
SVR,46,0.7854536519974952,0.989548849770485,0.1936089917323831,0.6408357068071244,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.183157841502868,13,0.7959398580381019,21,34,0.3872179834647662
SVR,41,0.785736852078088,0.988791151926252,0.193318242560933,0.6359919005517374,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.182109394487185,14,0.795472909365319,20,34,0.386636485121866
SVR,48,0.7874524868433227,0.9894167515450272,0.1915568751719873,0.6391206091558752,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.1809736267170146,15,0.7978598763730399,26,41,0.38311375034397466
SVR,49,0.7874965970264985,0.9892593185677736,0.1915115891707121,0.639262418555651,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.1807709077384856,16,0.7977477293970615,25,41,0.3830231783414241
SVR,35,0.7876310484814153,0.9881105424653904,0.1913735537258228,0.6371167038173338,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1794840961912132,18,0.7967369887395677,24,42,0.38274710745164553
SVR,25,0.7885309209517636,0.9864215857212284,0.1904496939069385,0.6398072329432525,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1768712796281668,20,0.79597189181429,22,42,0.3808993878138769
