Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,11,0.6504410289277499,0.9699461815107224,0.3322205634899167,0.6483914002469435,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.3021667450006391,1,0.6377256180208057,2,3,0.6644411269798334
XGBoost,8,0.7913666844122067,0.9193909230593876,0.1875383392391491,0.7263804368008069,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1069292622985367,13,0.7318525838202385,4,17,0.3750766784782982
XGBoost,9,0.7992715098687672,0.9259453259042254,0.1794227996985479,0.7251574897362388,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1053681256027734,14,0.7465225262056775,5,19,0.3588455993970959
XGBoost,12,0.8033807944567267,0.9960652137155438,0.1752039764316164,0.706594704762109,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1712691901471601,2,0.8208612372839275,9,11,0.3504079528632327
XGBoost,13,0.8046276601146636,0.995677283593186,0.1739238738405584,0.7049785072882464,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1696011574337444,3,0.8217534097526276,10,13,0.3478477476811168
XGBoost,23,0.8071423644481199,0.9878480226019304,0.1713421365759931,0.6328065547464705,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.1591901591779235,4,0.8165058860259373,7,11,0.34268427315198613
XGBoost,10,0.8104584139706458,0.9313711135771366,0.1679376931551311,0.7558173897283401,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0993088067322678,16,0.7634334204220056,6,22,0.33587538631026226
XGBoost,16,0.8194309517768684,0.9788935900089404,0.1587259799116076,0.6185655437420142,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.137619569920548,7,0.8201676100973327,8,15,0.3174519598232153
XGBoost,34,0.8222412074836257,0.9995766757743868,0.1558408129420497,0.5810651678323623,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.1554174887164366,5,0.843735862832337,11,16,0.31168162588409953
XGBoost,35,0.8353694100225739,0.9999669020164104,0.1423626599597554,0.6577461662194113,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1423295619761658,6,0.857604242056655,12,18,0.2847253199195108
XGBoost,37,0.8515029785057129,0.999583378018702,0.1257990288365347,0.6397008795022842,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.1253824068552367,8,0.8737843491821673,15,23,0.2515980576730694
XGBoost,21,0.8515417799323394,0.9989865449500536,0.1257591931040761,0.6609051842150295,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.1247457380541297,9,0.8732273518459774,14,23,0.25151838620815226
XGBoost,45,0.8557772408596535,0.9999345756961292,0.1214108300924979,0.6865198865437925,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1213454057886272,10,0.8785237456036313,16,26,0.24282166018499585
XGBoost,32,0.8645064664377992,0.9994962057252468,0.1124489149018881,0.6502733146107488,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.111945120627135,11,0.8870472908233586,19,30,0.22489782980377626
XGBoost,17,0.8647197384603534,0.9986547961530984,0.1122299578178317,0.6446894301523867,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.1108847539709301,12,0.8864248383352666,18,30,0.22445991563566348
XGBoost,42,0.8732739356218524,0.991117371122072,0.1034477366690234,0.6252851400837983,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.0945651077910954,17,0.8876696344530486,20,37,0.2068954733380468
XGBoost,18,0.8736580375965639,0.9830230608548612,0.1030533959235477,0.6211795745894688,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.086076456778409,19,0.8799696649313136,17,36,0.20610679184709535
XGBoost,26,0.8741097507648916,0.999942290205833,0.1025896417143349,0.6837952373850349,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",1.1025319319201679,15,0.8973526484914981,23,38,0.20517928342866976
XGBoost,36,0.8788183166741419,0.9906032309112122,0.0977555624514797,0.6214527230693934,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",1.088358793362692,18,0.8928476684597324,21,39,0.19551112490295952
