Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,13,1.525621476238347,0.8730783215179424,0.7163786491763278,1.0499666302479336,"{'learning_rate': 0.01, 'n_estimators': 100}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.49544656 -1.84829572 -0.37843644 -3.80336884  0.34484456 -4.1536603
 -2.32238772 -2.83491092 -3.80966816 -4.45299182 -0.73716407 -0.79739559
 -2.22426722 -2.83268627 -2.8849109  -2.51818789 -0.5145008   4.60517019
 -4.28643328 -1.54655572 -3.37794069 -4.07860995 -2.41809727 -4.36893307
  1.91252318 -2.73313093  0.31899057 -4.25627972 -3.9649959  -2.37145381
 -3.38801962 -0.73614033 -2.07975385 -1.6911918  -4.21226286 -2.32238772
 -0.93141603 -4.26431787 -2.00073008 -2.41809727 -2.51818789]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.86890301 -4.16660566 -4.37602464 -2.34884569 -3.93853361 -1.02304391
 -1.79175947 -4.28088555 -0.82958247 -3.80336884 -1.94677304]",1.58945697069427,3,0.15669967234161464,1,4,1.4327572983526555
AdaBoost,10,1.5439950135083438,0.8964479234463989,0.7129629084168478,0.9949500350512128,"{'learning_rate': 0.01, 'n_estimators': 500}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.71763168 -1.2994611  -0.34357347 -3.72744378  1.60943791 -4.07816428
 -2.27500165 -3.23068556 -3.86603181 -4.37525982 -0.85258888 -0.84319994
 -1.96026721 -2.74019177 -3.19374264 -2.60523216 -0.85171714  4.60517019
 -4.23116766 -1.83949519 -3.2343959  -4.15102314 -2.43950816 -4.33745797
  0.57045629 -2.51671879  1.60943791 -4.23579825 -4.11063373 -2.30746124
 -3.65395687 -0.66317278 -2.10300716 -1.51337379 -4.4042966  -2.26476819
 -0.76409281 -4.33813339 -1.74212569 -2.59171856 -2.77571388]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.54862484 -4.1132963  -4.19412021 -2.41611034 -3.97769807 -0.98705316
 -1.61532699 -4.22634673 -0.9985637  -3.04778893 -1.71964323]",1.6094108318632467,2,0.18348501502955106,3,5,1.4259258168336957
AdaBoost,11,1.5561714517800838,0.9181277599523888,0.7106992421505816,0.9616156611350896,"{'learning_rate': 0.1, 'n_estimators': 100}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.83309919 -1.35293511 -0.63397804 -3.84894841  1.60943791 -4.17514393
 -2.40696946 -3.77413504 -4.01540148 -4.40149324 -1.19680232 -1.17333893
 -1.96863555 -2.6477127  -3.02260519 -2.52849831 -1.19680232  4.60517019
 -4.30531153 -1.77817897 -2.99465132 -4.19573954 -2.3383256  -4.26784287
  1.50118825 -2.33547896  1.66361089 -4.13716939 -4.1742408  -2.36882456
 -4.33566993 -0.78898536 -1.92422755 -1.35619238 -4.42760075 -2.3383256
 -0.88096412 -4.19906436 -1.52860254 -2.57637325 -2.99465132]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.35293511 -4.11231446 -4.21410487 -2.16141997 -4.08571959 -1.15919764
 -1.46737089 -4.18694319 -1.28906027 -3.26070231 -1.31416203]",1.6288270021029705,1,0.20742851780180727,5,6,1.4213984843011631
AdaBoost,12,1.5822136932390232,0.8714960991796571,0.7058578474690698,1.0576053483890997,"{'learning_rate': 0.01, 'n_estimators': 100}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.5145008  -1.53195612 -0.49005804 -3.80336884  0.21342991 -4.05166609
 -2.30746124 -2.83491092 -3.93853361 -4.51958114 -0.73716407 -0.82432354
 -2.22426722 -2.87919846 -2.83491092 -2.50617386 -0.5145008   4.60517019
 -4.28643328 -1.72209472 -3.45984192 -4.05913865 -2.39921503 -4.4605075
  1.91252318 -2.74019177  0.31899057 -4.28088555 -3.94232092 -2.34884569
 -3.38801962 -0.82432354 -2.10300716 -1.53195612 -4.21226286 -2.25962942
 -0.99669476 -4.3866056  -2.00073008 -2.39140327 -2.61750492]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.86890301 -4.06044795 -4.28643328 -2.30302453 -3.91754311 -1.12280993
 -1.54655572 -4.30961588 -1.01604593 -3.80265824 -1.84829572]",1.577353946648727,4,0.16563825171058733,2,6,1.4117156949381395
AdaBoost,15,1.7099037383698976,0.8659929665615851,0.6821195718543023,1.1329698108243085,"{'learning_rate': 0.01, 'n_estimators': 100}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.43586813 -1.8671682  -0.42048362 -3.81950008  0.09973014 -4.1536603
 -2.32238772 -2.93876454 -3.85535993 -4.45299182 -0.73716407 -0.85258888
 -2.16719213 -2.87919846 -2.80001909 -2.44366045 -0.42048362  4.60517019
 -4.3328793  -2.02649646 -3.47605357 -3.9649959  -2.34753198 -4.41548946
  1.78094732 -2.61087168  0.34484456 -4.20746219 -3.95596544 -2.3151932
 -2.90759973 -0.62866493 -2.25160621 -2.02649646 -4.30961588 -2.30576747
 -1.11034787 -4.25121875 -1.8671682  -2.62354128 -2.68108008]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.45409874 -4.17220193 -4.3328793  -2.01942703 -3.91754311 -0.91948065
 -2.2564782  -4.26683245 -1.12280993 -3.67731801 -2.00310617]",1.5481125384158874,5,0.1838733947072828,4,9,1.3642391437086046
AdaBoost,9,2.118547049890059,0.8642875085142063,0.6061505521311559,1.1672473141518542,"{'learning_rate': 0.01, 'n_estimators': 50}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.81186902 -1.72133295 -0.2180516  -3.80341     1.60943791 -4.12904036
 -2.38463236 -2.83491092 -3.80341    -4.63195579 -0.90455528 -0.87201332
 -2.25276943 -2.87919846 -2.81674179 -2.52685959 -0.87201332  4.60517019
 -4.40872489 -1.8671682  -3.18755546 -4.0262202  -2.6373651  -4.45299182
  0.34484456 -2.67422369  1.60943791 -4.36105775 -3.98571582 -2.36882456
 -3.0872629  -0.37843644 -2.36322486 -1.72133295 -4.22176984 -2.52789088
 -0.66302925 -4.36105775 -1.97170617 -2.91555261 -2.52685959]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.3099192  -4.12977216 -4.48382589 -2.52187845 -4.12904036 -0.66317278
 -1.78650395 -4.41548946 -1.72133295 -3.98571582 -2.3099192 ]",1.4704380606453622,10,0.25813695638305045,6,16,1.2123011042623117
AdaBoost,25,2.306200304564072,0.9347307096133548,0.5712647889152824,1.304345416785766,"{'learning_rate': 0.01, 'n_estimators': 200}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.46841346 -2.3682979  -0.38793683 -3.63649278  0.9029128  -3.92500665
 -2.35471238 -3.62391278 -3.54961739 -4.41582711 -0.73716407 -0.55108389
 -2.02786701 -2.99695586 -3.191671   -2.32322722 -0.49544656  4.60517019
 -4.16660566 -2.41809727 -3.46019467 -4.04549952 -2.56371753 -4.47988705
  2.17497871 -2.62119452  1.60943791 -4.1536603  -3.85154848 -2.47943511
 -3.91776302 -0.59967907 -2.15707349 -2.03620319 -4.44422118 -2.10702386
 -0.69379537 -4.1536603  -1.00736688 -2.57637325 -2.84234893]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.54963583 -3.91987076 -3.97876182 -2.57346046 -3.94961308 -1.17959226
 -2.36121189 -4.25435753 -1.41883876 -3.35085325 -2.31740437]",1.5059954985286372,7,0.3634659206980724,10,17,1.1425295778305649
AdaBoost,21,2.3831268431071133,0.9521804936426068,0.5569637259612119,1.3817028089282362,"{'learning_rate': 0.5, 'n_estimators': 50}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.96260382 -2.26838585 -0.2300991  -3.55534806  1.60943791 -4.15382675
 -2.49155119 -4.08196468 -3.72109987 -4.43317595 -0.73716407 -0.75123606
 -1.6435033  -2.75912789 -3.13021223 -1.8840181  -0.81556902  4.60517019
 -4.3265275  -2.49155119 -3.37211419 -4.06044213 -2.53072677 -4.16193594
  2.36349231 -1.91156946  1.70694927 -4.13210463 -4.06044213 -2.65962949
 -4.42476573 -0.72251706 -2.36774822 -1.79253919 -4.71376772 -2.23125656
 -0.79975457 -4.06044213 -1.34983352 -2.61514781 -3.56146083]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.13021223 -3.84869986 -4.14733699 -2.64061328 -3.85550471 -1.07858696
 -2.34322942 -4.13210463 -1.12825182 -2.80640103 -2.53072677]",1.5091442196038187,6,0.3952167676813949,14,20,1.1139274519224238
AdaBoost,14,2.415129351626564,0.930819333665492,0.5510142851350297,1.3894029666164018,"{'learning_rate': 1.0, 'n_estimators': 50}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.63696237 -1.68497694 -0.26962726 -3.32996486  1.66361089 -3.86868381
 -2.31660326 -3.7323555  -3.88349587 -4.55022841 -0.73716407 -0.90976723
 -1.72390857 -2.56411218 -3.62937546 -3.35877708 -0.63696237  4.60517019
 -4.50004696 -2.06141253 -3.31644428 -4.1264685  -2.7080502  -4.22302301
  2.03160926 -2.58733346  1.70230587 -4.1264685  -4.16265321 -2.34454315
 -4.49223865 -1.2023839  -2.002249   -1.92179001 -4.49223865 -2.71650617
 -0.71749691 -4.1264685  -2.002249   -2.85738526 -3.31644428]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.85738526 -3.62937546 -4.16265321 -2.0825808  -3.31644428 -0.70267804
 -2.0825808  -4.16265321 -1.68497694 -2.27899437 -2.28619369]",1.4818336188005217,8,0.37980504853046226,11,19,1.1020285702700594
AdaBoost,20,2.463095792881467,0.9301383226103804,0.542097062170613,1.4122943793597054,"{'learning_rate': 0.1, 'n_estimators': 50}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.71162835 -2.46809953 -0.37935629 -3.63738852  1.60943791 -3.95978159
 -2.34783751 -3.65634976 -3.52395626 -4.48548149 -0.73716407 -0.66193763
 -2.01150801 -3.12026882 -3.22772465 -2.34783751 -0.5213769   4.60517019
 -4.04586449 -2.35887357 -3.37962342 -4.01482115 -2.63058276 -4.48969692
  1.87189344 -2.66019205  1.69069738 -4.09943798 -3.84437369 -2.54418367
 -4.25148684 -0.65037105 -2.08934286 -2.34167025 -4.24620071 -2.1489016
 -1.02660254 -3.84437369 -1.17590617 -2.53828649 -3.21678496]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.03413305 -3.92130571 -3.95978159 -2.53828649 -3.92130571 -1.26063253
 -2.43991657 -4.14344912 -1.33002839 -3.83083981 -2.34783751]",1.4722353847809935,9,0.3880412604397674,12,21,1.084194124341226
