Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,15,2.0911120060553428,0.7683818779884075,0.6112508763685247,1.2511459963958709,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.80570699 -2.05660195 -0.76183932 -2.6267601   0.01760665 -3.43245259
 -2.25384531 -3.40487864 -3.06720888 -3.76457861 -1.2454514  -0.91130202
 -1.76833389 -2.62235091 -3.30185616 -2.41955021 -1.01466412  0.72398499
 -3.82778099 -2.00431119 -2.81009613 -3.3026872  -2.65085449 -3.91793868
  0.60955775 -2.30144132 -0.26062154 -3.61257339 -3.26797224 -2.13675566
 -3.64427851 -0.90250399 -2.26818931 -1.48955225 -4.04691336 -2.40949143
 -1.13255025 -3.41055469 -1.46454323 -2.55417874 -3.10069155]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.95193904 -3.59071884 -3.71138362 -1.79971234 -3.174151   -1.31479749
 -1.80784239 -3.46442872 -1.19403852 -3.27093427 -1.66461812]",1.3796327543569322,1,0.1571310016198828,9,10,1.2225017527370494
Gradient Boosting,14,2.559629389436343,0.6687975725745616,0.5241509402254315,1.4063587792967516,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.88291369 -1.75726502 -0.62712848 -2.58622948 -0.15628958 -3.36071371
 -2.17563494 -2.92116018 -3.30067607 -3.38847176 -1.25812867 -1.22116332
 -2.61069463 -2.77870474 -3.07616679 -2.49704555 -1.22116332  0.67018246
 -3.48819189 -1.8353861  -3.02315052 -3.17377263 -2.25903556 -3.40201716
  0.12731031 -2.66846687 -0.6806423  -3.54856624 -3.28369801 -2.11988639
 -3.0097764  -1.37570604 -2.00639974 -1.91596705 -3.58697636 -2.29483367
 -1.29369434 -3.38083754 -1.90193745 -2.37594697 -2.98281358]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.94175333 -3.49484138 -3.36071371 -1.93308403 -3.00125534 -1.32193221
 -1.91596705 -2.96566949 -1.22116332 -3.02315052 -1.84451945]",1.192948512799993,8,0.1446466323491301,4,12,1.0483018804508628
Gradient Boosting,23,2.8057517710863187,0.7090803157435177,0.4783954475041165,1.4411540270457115,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.05584921 -2.08203032 -0.75446282 -2.66770581 -0.10966101 -2.99429663
 -2.20822744 -3.24337596 -3.10173054 -3.49581343 -1.23406171 -0.73769663
 -2.28577484 -2.56688918 -3.28826983 -2.14293193 -1.06195713  0.7644108
 -3.78295072 -2.30718152 -2.98827959 -3.11600122 -2.52693969 -3.66364464
  0.5160478  -2.42555755 -0.75710478 -3.72006055 -3.18810098 -2.20905251
 -3.14829047 -1.19907994 -2.11246278 -2.12739107 -3.62500218 -2.21506687
 -1.22046626 -3.58628434 -1.57832078 -2.36105614 -2.66689339]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.69565412 -3.63099763 -3.59016253 -2.41056143 -2.90751305 -1.35111709
 -2.12739107 -3.52644813 -1.59086979 -3.32755201 -2.30526416]",1.1874757632476343,9,0.2306848682394012,11,20,0.9567908950082331
Gradient Boosting,24,2.915086272573073,0.7945488881388332,0.4580695675356692,1.5091097240448317,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.00023193 -2.34145046 -0.72297188 -3.11109643  0.30067642 -3.00209268
 -2.31167288 -3.43529282 -3.06850334 -4.06536749 -1.14820503 -0.74524956
 -1.59841137 -2.61967443 -3.41312706 -2.22622767 -0.99237605  0.7159479
 -3.80690669 -2.08035983 -2.8575903  -3.05501017 -2.59676646 -3.9922793
  0.67349605 -2.12791831  0.04767744 -3.64925254 -3.25701674 -2.53978557
 -3.97653661 -0.91542029 -1.91798869 -1.52537968 -4.00477745 -2.29727963
 -0.95719217 -3.63181203 -1.2242043  -2.36361247 -3.13599087]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.54324286 -3.5521003  -3.57077403 -2.52453623 -3.32571187 -1.25152345
 -2.37394777 -3.7603201  -1.94988916 -3.54250377 -1.92406405]",1.2526184556745024,2,0.336479320603164,21,23,0.9161391350713384
Gradient Boosting,27,2.9461563242552304,0.7837524147622869,0.452293475519724,1.48816285529168,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.17131429 -2.35340436 -0.76898059 -2.63418684  0.3090151  -2.92470694
 -2.29623888 -3.52717777 -3.07445599 -3.83435389 -1.15243321 -0.5506336
 -1.80089426 -2.61679113 -3.38436013 -2.18149717 -0.96388218  0.65823942
 -3.86484208 -2.14819432 -2.81641169 -3.16700618 -2.52755792 -3.87875822
  0.70128333 -2.12932126  0.06412221 -3.63248576 -3.22513609 -2.50789222
 -3.89753946 -0.97412165 -1.87140511 -1.59582707 -4.04564435 -2.41370687
 -0.98556719 -3.70525981 -1.22041951 -2.34944012 -3.10533691]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.06866024 -3.42133338 -3.24460407 -2.23413942 -3.20994    -1.22542248
 -2.2056924  -3.65004982 -1.94057557 -3.34038539 -2.18143721]",1.2360458902820108,3,0.33145893924256287,20,23,0.904586951039448
Gradient Boosting,28,2.956616680725635,0.7809067271625612,0.4503488382171945,1.5355650921262054,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.28722886 -2.35925917 -0.77436838 -3.11069344  0.64893889 -2.87208239
 -2.28696312 -3.58234889 -3.07360545 -3.68576939 -1.0951223  -0.56465586
 -1.86126853 -2.62081475 -3.33925577 -2.30625174 -1.0355863   0.65244485
 -3.80730442 -1.75726262 -2.86472417 -3.03971449 -2.51976127 -3.97171631
  0.81352349 -2.14359479 -0.00705557 -3.66863447 -3.26761959 -2.55879783
 -3.72970151 -1.08666781 -2.21230849 -1.52867601 -4.00976317 -2.39532304
 -1.00133746 -3.80005139 -1.32073488 -2.34391891 -3.14843916]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.72160709 -3.34958461 -3.08271216 -2.35302119 -3.11979141 -1.42159792
 -1.86554228 -3.58905387 -1.72189882 -3.37841453 -1.87087027]",1.2312555653797557,4,0.33055788894536664,19,23,0.900697676434389
Gradient Boosting,18,3.063475824343699,0.784107381059866,0.4304831407733279,1.479225436176827,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.90546107 -2.33245515 -0.77840672 -3.19015369  0.38869429 -3.10791666
 -2.2957072  -3.49886703 -3.04718719 -3.7533771  -1.15566971 -0.77497069
 -1.68182445 -2.63792255 -3.29260154 -2.19145493 -0.96118227  0.60180344
 -3.78627857 -2.25523102 -3.04778978 -3.12384891 -2.77221961 -3.7585582
  0.73711301 -2.1901203   0.08044567 -3.6311127  -3.29600555 -2.54978139
 -3.71371061 -0.96784789 -1.57524771 -1.59267753 -4.07647094 -2.19836083
 -1.02422473 -3.57011193 -1.36802423 -2.44879246 -3.1222205 ]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.01098685 -3.48237195 -3.27508741 -2.44920769 -3.157113   -1.20453722
 -1.77073173 -3.46026212 -2.14757455 -3.40575279 -1.95811748]",1.2145905218331938,5,0.3536242402865381,22,27,0.8609662815466557
Gradient Boosting,17,3.134993605747847,0.7789596672377953,0.4171875952624128,1.5558074213270094,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.95676119 -2.32211617 -0.71724269 -3.05709691  0.26176244 -3.085646
 -2.32340164 -3.46620865 -3.06716522 -3.82289669 -1.15858952 -0.53487123
 -1.73954091 -2.61697396 -3.27736493 -2.21207831 -0.97843503  0.71749834
 -3.70380083 -2.15412095 -2.90198647 -2.81290754 -2.83116625 -3.92155037
  0.69563007 -2.15555281 -0.00642798 -3.60801733 -3.25274146 -2.59596518
 -3.70395249 -0.96649216 -2.09248444 -1.62802011 -4.05437958 -2.42421291
 -1.13675766 -3.62034494 -1.35517665 -2.35814079 -3.09801365]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.44667591 -3.72100308 -3.4302928  -2.8511193  -3.05968987 -1.23259153
 -2.07965853 -3.64796738 -1.92354868 -3.53494402 -2.20489084]",1.196147262500208,6,0.3617720719753825,23,29,0.8343751905248256
Gradient Boosting,26,3.140262996160347,0.7788501048525145,0.4162079868535854,1.505896997606004,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.96822023 -2.3094186  -0.75171207 -3.12887638  0.30574292 -2.87215345
 -2.32949674 -3.51147189 -3.05745693 -3.69484075 -1.17867225 -0.5436883
 -1.67047298 -2.6551398  -3.31615642 -2.18092408 -1.01842366  0.84286961
 -3.81757371 -1.98209543 -2.80340686 -2.88305665 -2.48811925 -3.77244009
  0.7313903  -2.2862341  -0.34892464 -3.62853356 -3.23222762 -2.34703182
 -3.81887739 -1.01013886 -2.1813636  -1.51391465 -4.02511572 -2.52661191
 -0.91450624 -3.67784227 -1.3511857  -2.44735988 -3.16308338]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.13655935 -3.24431535 -3.39165121 -2.0669207  -2.8207969  -1.30906337
 -1.86804334 -3.40981441 -2.20019928 -3.16403742 -1.8775386 ]",1.1950580917061,7,0.3626421179989291,24,31,0.8324159737071709
Gradient Boosting,19,3.191394394168296,0.7182277257133757,0.4067023811719755,1.5336656508478144,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.00909241 -2.01882084 -0.8158918  -2.74006585 -0.02256725 -2.70146491
 -2.1457438  -3.28536072 -3.13569637 -3.46424448 -1.24050508 -0.64848953
 -2.192147   -2.59887279 -3.42768312 -2.16118779 -0.9742975   0.85620091
 -3.60233169 -2.26216974 -3.08337271 -3.06765418 -2.57191598 -3.732026
  0.49590859 -2.58487638 -0.4667739  -3.66356089 -3.39154552 -2.24947182
 -3.21818112 -0.90768511 -1.80688857 -2.1662629  -3.69260909 -2.30132269
 -1.28034776 -3.21585785 -1.49837367 -2.48145058 -2.71132526]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.7421307  -3.4095435  -3.29733081 -2.46361265 -2.74695332 -1.39914113
 -2.1662629  -3.47199316 -1.92412748 -3.13123995 -2.09495042]",1.1249301068853512,13,0.3115253445414002,17,30,0.8134047623439511
