Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,10,4.286111029559145,0.4577132070057,0.2031885897535129,1.7655073560272485,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.8818846  -2.42450435 -0.1235889  -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907 -0.23194037 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -1.8818846  -0.25946901
 -2.97655878  1.29519195 -1.83594956 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -0.4750114
 -3.08298184 -3.32382604 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -2.2444673  -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -3.61256559 -2.97655878 -2.2444673  -0.63118789 -0.38640802
 -2.17751948 -3.18396844 -0.30472283  0.0434455   0.63738188]",0.6609017967592129,2,0.2545246172521871,8,10,0.4063771795070258
KNN,11,4.33436017225656,0.4794753823148701,0.1942188110495148,1.774817734197744,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.8818846  -2.42450435 -0.36599347 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907 -0.23194037 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -1.8818846  -0.25946901
 -2.97655878  1.29519195 -1.83594956 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.08298184 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -3.08298184 -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -3.61256559 -2.97655878 -2.2444673  -0.63118789 -0.36599347
 -2.17751948 -3.06113974 -0.30472283  0.0434455   0.63738188]",0.6736941933643849,1,0.2852565712653553,9,10,0.38843762209902954
KNN,29,4.675920355567862,0.5197587249214728,0.1307209106285076,1.897585449094372,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.14068666 -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907  0.50332877 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -1.04005328  0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -2.64388134 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -2.2444673  -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -2.2707817  -2.97655878 -2.2444673  -1.12380841 -1.46205602
 -2.17751948 -3.06113974 -0.43877593  0.28585008 -0.72739964]",0.6504796355499805,3,0.3890378142929652,10,13,0.26144182125701526
KNN,18,4.971483453747656,0.5415181167945785,0.0757741191307415,1.872242335025088,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.04337006 -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907  0.50332877 -1.50870899
 -3.40253297 -2.35262806 -3.98566524 -1.85365284 -1.47915378  0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.64388134 -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.98566524 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -2.64388134 -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -2.70988219 -2.97655878 -3.98566524 -1.12380841 -0.1235889
 -2.17751948 -3.06113974 -0.43877593  0.0434455  -0.72739964]",0.61729223592532,5,0.465743997663837,14,19,0.151548238261483
KNN,17,4.971483453747656,0.5415181167945785,0.0757741191307415,1.872242335025088,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.04337006 -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907  0.50332877 -1.50870899
 -3.40253297 -2.35262806 -3.98566524 -1.85365284 -1.47915378  0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.64388134 -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.98566524 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -2.64388134 -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -2.70988219 -2.97655878 -3.98566524 -1.12380841 -0.1235889
 -2.17751948 -3.06113974 -0.43877593  0.0434455  -0.72739964]",0.61729223592532,4,0.465743997663837,15,19,0.151548238261483
KNN,14,5.030468593118177,0.5259012538292005,0.0648084601076142,1.8090374086865324,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.04337006 -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907  0.50332877 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -0.14068666  0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.08298184 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -2.2444673  -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -3.61256559 -2.97655878 -3.98566524 -0.63118789 -0.1235889
 -2.17751948 -3.06113974 -0.30472283  0.0434455  -0.48499506]",0.5907097139368147,6,0.4610927937215863,13,19,0.12961692021522842
KNN,1,5.034251515280595,0.1060529190394798,0.0641051942513867,2.049645354850924,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.52951305 -2.12292633 -2.61775913 -2.01412501 -1.81514283 -2.05700177
 -1.30006171 -2.53113312 -2.93342193 -2.45436689 -2.45436689 -2.01412501
 -2.12292633 -1.30006171 -2.51317704 -2.34363103 -2.05700177 -1.81514283
 -2.67408935 -1.4587712  -2.67408935 -2.34363103 -2.51317704 -3.12526621
 -2.45436689 -2.67408935 -1.4587712  -3.12526621 -2.45436689 -2.57946844
 -2.34363103 -2.93342193 -2.45436689 -2.34363103 -2.01412501 -1.88023765
 -2.34363103 -2.93342193 -2.34363103 -2.93342193 -2.93342193]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.34363103 -1.52951305 -2.45436689 -2.34363103 -2.12292633 -1.88023765
 -2.34363103 -3.12526621 -2.12292633 -2.67408935 -2.28104605]",0.1701581132908665,19,0.04194772478809311,3,22,0.1282103885027734
KNN,12,5.047904713658774,0.4912457684560996,0.0615669902293573,1.831074188538761,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.8818846  -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907 -0.38640802 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -1.8818846   0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.08298184 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -3.08298184 -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -3.61256559 -2.97655878 -3.98566524 -0.63118789 -0.36599347
 -2.17751948 -3.06113974 -0.30472283  0.0434455  -0.48499506]",0.5528127586854569,8,0.4296787782267423,12,20,0.1231339804587146
KNN,13,5.047904713658774,0.4912457684560996,0.0615669902293573,1.831074188538761,"{'metric': 'chebyshev', 'n_neighbors': 3, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.8818846  -2.42450435 -0.43877593 -2.53396732  0.51082562 -3.61256559
 -2.35262806 -3.43417736 -3.062636   -3.15772907 -0.38640802 -1.50870899
 -3.40253297 -2.35262806 -2.2444673  -1.85365284 -1.8818846   0.17362532
 -2.97655878  1.29519195 -1.33175353 -4.12415884 -2.2444673  -4.59619647
  0.0434455  -1.07893144  1.29519195 -3.18396844 -4.22838663 -1.66407224
 -3.08298184 -1.86734342 -2.35262806 -0.30472283 -2.4403386  -1.50870899
 -3.08298184 -4.32291965 -1.85365284 -1.48025571 -2.42450435]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-1.8325025  -3.61256559 -2.97655878 -3.98566524 -0.63118789 -0.36599347
 -2.17751948 -3.06113974 -0.30472283  0.0434455  -0.48499506]",0.5528127586854569,9,0.4296787782267423,11,20,0.1231339804587146
KNN,2,5.107829245740368,0.0813975884923096,0.0504266929792397,2.074100223334107,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-2.26771302 -2.33025732 -2.71800316 -2.75815196 -1.30251549 -2.44521656
 -2.07275437 -2.58931959 -2.99924786 -2.1803761  -2.13746404 -2.63627013
 -2.72999544 -1.33522646 -2.06972476 -2.06972476 -2.40175846 -1.87372084
 -2.29042149 -1.06150732 -1.95798906 -2.72999544 -2.06972476 -3.09109028
 -1.90308279 -2.32941061 -1.06150732 -2.99924786 -2.44993685 -1.77055784
 -2.20792424 -3.09478997 -1.80668463 -2.40175846 -1.93774856 -2.67479909
 -2.20792424 -2.79541452 -2.33025732 -2.99924786 -2.0807399 ]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.09252854 -2.44521656 -2.42164839 -2.06972476 -2.36621581 -2.52072762
 -2.40175846 -2.88046059 -2.40175846 -1.90532767 -2.21031602]",0.1318242814715493,20,0.030970895513069904,2,22,0.10085338595847938
