Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,15,0.4244095730614646,0.7693491568657209,0.5816799543257597,0.5454280313359686,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.3510291111914805,3,0.18766920253996122,9,12,1.1633599086515192
Gradient Boosting,14,0.4827760428623902,0.6687975725745613,0.5241509402254312,0.6107738574247725,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",1.1929485127999926,9,0.1446466323491301,5,14,1.0483018804508624
Gradient Boosting,29,0.4965179773048634,0.8504431274190978,0.510606178258445,0.6425750342617402,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.3610493056775428,2,0.33983694916065277,18,20,1.02121235651689
Gradient Boosting,23,0.4988132370838537,0.8582700963162929,0.5083438514012644,0.6221542237989112,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.3666139477175574,1,0.34992624491502855,20,21,1.0166877028025287
Gradient Boosting,28,0.499045336267181,0.7702697236863643,0.5081150824310687,0.6422500621343336,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.278384806117433,5,0.26215464125529553,11,16,1.0162301648621375
Gradient Boosting,16,0.527278221949898,0.7759153748978608,0.4802872887667648,0.6320588722243371,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.2562026636646255,6,0.295628086131096,14,20,0.9605745775335295
Gradient Boosting,22,0.5529433582959835,0.859461642689846,0.4549904017736544,0.6535940371513216,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.3144520444635004,4,0.40447124091619163,23,27,0.9099808035473087
Gradient Boosting,27,0.5762337953770007,0.7781587315440294,0.4320341413075572,0.6713605571936037,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.2101928728515865,7,0.3461245902364722,19,26,0.8640682826151143
Gradient Boosting,24,0.5804183846681664,0.7794248346929393,0.4279095934780131,0.6443384166110129,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.2073344281709524,8,0.3515152412149262,21,29,0.8558191869560261
Gradient Boosting,20,0.6014398552693421,0.7139710437047272,0.4071897438323267,0.6643400092359533,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",1.121160787537054,13,0.3067812998724005,16,29,0.8143794876646535
Gradient Boosting,26,0.6180798769121868,0.7837162440012972,0.3907884770950021,0.6747280094311777,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.1745047210962993,10,0.39292776690629516,22,32,0.7815769541900042
Gradient Boosting,11,0.6220226151645881,0.5220908545357813,0.3869023101691979,0.6839813883832354,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.9089931647049792,19,0.1351885443665834,4,23,0.7738046203383957
Gradient Boosting,10,0.6269521759563923,0.5295966077808483,0.3820434798635894,0.6927083328969164,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.9116400876444377,18,0.14755312791725889,6,24,0.7640869597271789
Gradient Boosting,18,0.6318294823686008,0.7836886079338157,0.3772361541795693,0.6727139169558187,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.160924762113385,11,0.4064524537542464,24,35,0.7544723083591385
Gradient Boosting,13,0.6319483908261336,0.4414375090091115,0.3771189518482757,0.6930785776138938,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.8185564608573872,20,0.06431855716083579,1,21,0.7542379036965514
Gradient Boosting,9,0.6546685501598064,0.4414904653860002,0.3547247866516024,0.6944516077967979,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.7962152520376026,22,0.08676567873439778,2,24,0.7094495733032048
Gradient Boosting,12,0.6603638681593722,0.4422345947976307,0.3491111864009721,0.7124539142383386,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.7913457811986029,23,0.09312340839665861,3,26,0.6982223728019443
Gradient Boosting,17,0.6657117070276729,0.7939216696722204,0.3438400795701137,0.7198470545453157,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.1377617492423342,12,0.45008159010210674,25,37,0.6876801591402275
Gradient Boosting,19,0.6913268533915549,0.7765646105326021,0.3185924652913009,0.7075898447173752,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.095157075823903,15,0.45797214524130114,26,41,0.637184930582602
Gradient Boosting,25,0.6944632767537594,0.7875750261679522,0.3155010440618813,0.6896597306410001,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.1030760702298334,14,0.4720739821060709,27,41,0.6310020881237626
Gradient Boosting,4,0.7611178037641516,0.547154493757081,0.2498028917269807,0.8169355699556694,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.7969573854840617,21,0.29735160203010036,15,36,0.49960578345396134
Gradient Boosting,21,0.7695539690482612,0.7814343939766009,0.2414877705069109,0.7487998952859095,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.0229221644835118,16,0.5399466234696899,29,45,0.4829755410138219
Gradient Boosting,3,0.7784105528291693,0.7282402190649688,0.2327582630525383,0.788895565266369,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.9609984821175072,17,0.4954819560124305,28,45,0.46551652610507666
Gradient Boosting,6,0.781628866050724,0.3844199373485478,0.2295861269385402,0.8150486580042458,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.6140060642870879,26,0.1548338104100076,7,33,0.4591722538770803
Gradient Boosting,2,0.7957194595299213,0.4648697122516675,0.2156977085758815,0.7935100940359402,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",0.680567420827549,24,0.249172003675786,10,34,0.43139541715176294
Gradient Boosting,5,0.8220213917210368,0.3730176681257521,0.1897731626328173,0.8128894430726251,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.5627908307585694,27,0.1832445054929348,8,35,0.3795463252656346
Gradient Boosting,1,0.837154386162199,0.4824446678843536,0.1748572999199417,0.8100435786235077,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.6573019678042953,25,0.3075873679644119,17,42,0.3497145998398834
Gradient Boosting,8,0.8940164785967418,0.3979599203269547,0.1188110780292163,0.8790462144301283,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.516770998356171,28,0.2791488422977384,12,40,0.23762215605843262
Gradient Boosting,7,0.8964346122332767,0.3979599203269547,0.116427640337213,0.8815292473430152,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",0.5143875606641677,29,0.28153227998974173,13,42,0.23285528067442596
