Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,10,0.479708104094465,0.6136019198244528,0.5271748594934784,0.5800843943605517,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",1.1407767793179313,4,0.08642706033097436,3,7,1.0543497189869568
XGBoost,9,0.5134448613611075,0.6121008762542481,0.4939221650764306,0.5832518146285202,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 1.0}",1.1060230413306789,6,0.11817871117781753,6,12,0.9878443301528613
XGBoost,11,0.559792209612331,0.5075820443529633,0.4482398193708969,0.6455986281288918,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9558218637238602,10,0.05934222498206637,2,12,0.8964796387417939
XGBoost,12,0.5623294952210267,0.4950613643915387,0.4457389393269766,0.6556847743968695,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.9408003037185153,11,0.04932242506456208,1,12,0.8914778786539532
XGBoost,17,0.5802174279296759,0.684108700624275,0.4281076668424226,0.6433712784140925,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10, 'subsample': 0.8}",1.1122163674666976,5,0.2560010337818524,17,22,0.8562153336848453
XGBoost,28,0.5905205736892118,0.9866297671324512,0.4179523530175546,0.6413155740314058,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.404582120150006,1,0.5686774141148966,27,28,0.8359047060351094
XGBoost,23,0.6113594491934001,0.939056892658976,0.3974124785518829,0.657699974925101,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25, 'subsample': 0.8}",1.3364693712108588,2,0.5416444141070931,26,28,0.7948249571037658
XGBoost,14,0.6210011798191405,0.4966825780384449,0.3879090897224458,0.7125062507263261,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.8845916677608907,12,0.10877348831599909,4,16,0.7758181794448916
XGBoost,6,0.6543983798571473,0.4722657057076012,0.3549910804878439,0.7237537989163564,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 10, 'subsample': 1.0}",0.8272567861954451,13,0.11727462521975729,5,18,0.7099821609756878
XGBoost,26,0.6582106488367313,0.6435226666945001,0.3512335108313482,0.694112761489791,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.8}",0.9947561775258482,9,0.2922891558631519,21,30,0.7024670216626963
