Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,11,2.315419580741996,0.890960068538484,0.5695508752060665,1.3796473486087564,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.74910379 -2.1899073   0.08432974 -3.44236691  1.52651675 -4.41866583
 -2.27413879 -4.33977386 -3.62390752 -5.14896463 -0.87395686 -0.14798329
 -0.84360718 -2.69598125 -3.10403902 -2.32172576 -0.46466538  4.44448014
 -4.85492304 -1.04946192 -2.71210818 -4.22800144 -2.78336502 -4.4817923
  1.51664191 -1.65155799  0.22803203 -4.41887049 -3.77666418 -1.86858906
 -2.40016258 -0.71393115 -1.90736504 -1.83892574 -5.54378195 -2.22775989
 -2.48988945 -4.68695358 -1.06103906 -2.65553425 -3.6248389 ]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.04978371 -4.43898428 -3.93627428 -2.59139359 -2.6308996  -2.31540293
 -2.09560128 -4.36289071  0.93596569 -1.54180955 -1.83360581]",1.4605109437445505,1,0.32140919333241746,3,4,1.139101750412133
MLP,9,2.3267615635681933,0.7167626746349864,0.567442338756962,1.3357612980158968,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-1.02839461 -1.75720783 -1.57121217 -3.39176521  1.43314526 -4.1100557
 -1.72893888 -3.61966382 -4.90891928 -4.58868669 -0.2234388  -0.01155084
 -0.73901016 -2.92585117 -3.29908211 -2.29530533 -0.92603698  2.82787028
 -3.64091198 -0.47743849 -2.14150464 -3.76199694 -3.10735582 -4.35251305
 -0.15034362 -1.8113405  -0.02420964 -4.05835487 -4.31996896 -1.46902481
 -1.44571581 -1.50913652 -1.98505126 -1.41665361 -3.68958374 -2.60990026
 -2.69832282 -4.79300629 -1.50386582 -3.10390913 -2.74595302]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.43026535 -4.16868656 -3.72830128 -3.25114313 -3.8557017  -1.456633
 -1.56040133 -4.07746431 -0.1991018  -0.81551342 -1.30433932]",1.2842050133919485,6,0.1493203358780244,2,8,1.134884677513924
MLP,10,2.4507370642288344,0.874404935905523,0.5443946172126183,1.3702575838725888,"{'alpha': 0.01, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.76589042 -2.02162423 -0.01560248 -3.38508399  1.58186701 -4.27777556
 -2.07454698 -4.48260118 -3.85540928 -5.15996334 -0.29934414 -0.18392182
 -0.84281788 -2.76816556 -3.20994081 -1.94634767 -1.14041859  4.13254659
 -4.48586876 -1.10444006 -2.70156591 -4.25218922 -2.99550173 -4.36979842
  1.30125508 -1.78424309  0.44100856 -4.51843843 -3.76541565 -1.89445913
 -2.09927539 -0.89025868 -1.94124259 -1.25731888 -5.45783247 -1.99171909
 -2.60084386 -4.63246331 -1.61979411 -2.52695012 -3.61089783]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.40260429 -4.18399198 -3.75079329 -2.84799541 -1.90176839 -1.73940134
 -1.23441995 -3.89337857  0.13930775 -1.64145703 -1.22195184]",1.4187995531181414,2,0.33001031869290476,4,6,1.0887892344252368
MLP,26,3.533875101178396,0.9999476909791584,0.3430333503762426,1.6658376103292305,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[ 7.52495938e-04 -2.46275955e+00  5.80618102e-02 -3.52234785e+00
  1.63619235e+00 -4.12641520e+00 -2.31845315e+00 -4.67277252e+00
 -3.53744497e+00 -5.38855002e+00 -7.16061196e-01 -1.14624418e-01
 -7.73249529e-01 -2.87890443e+00 -4.03187350e+00 -2.46326762e+00
 -4.19801834e-01  4.59579997e+00 -4.81344960e+00 -2.50375604e+00
 -3.08012411e+00 -4.17654913e+00 -2.73937231e+00 -4.79311001e+00
  2.64716109e+00 -1.77527704e+00  1.74580189e+00 -4.37728563e+00
 -3.83173237e+00 -2.28271567e+00 -5.21286580e+00 -3.30671423e-01
 -1.85092074e+00 -9.36312761e-01 -5.64088301e+00 -1.78460216e+00
 -8.96192111e-03 -4.61733288e+00 -6.45060791e-01 -2.64082632e+00
 -4.18971649e+00]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.21316236 -1.88493626 -2.61401119 -2.68792934 -3.4123712  -1.29812898
 -0.82586693 -4.02268347 -0.94196942 -0.79876452 -0.69347668]",1.3429810413554009,3,0.6569143406029158,12,15,0.6860667007524851
MLP,12,3.5664423383399835,0.9365362031792628,0.3369789234163266,1.6468074766215095,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.63828454 -2.28715835  0.05461329 -3.51710681  1.5327891  -3.83910788
 -2.130346   -4.57762743 -3.77403811 -5.24346061 -0.49103    -0.16589028
 -0.77065714 -2.91165996 -3.45435148 -2.03533403 -0.37015758  4.58063353
 -5.01379438 -1.73945315 -2.94773365 -4.20065581 -2.84569837 -4.67005886
  2.16317625 -1.76037719  0.97917604 -4.43352247 -3.76902181 -2.16334997
 -2.93890124 -0.6006178  -1.95936682 -1.44978684 -5.46731429 -1.89597093
 -2.24385605 -4.54641828 -1.26239811 -2.5911446  -3.79681886]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.72568328 -2.40444249 -3.16876747 -4.15843708 -3.06968778 -0.79163503
 -1.07015597 -3.99633352 -0.07372266 -0.54665834 -1.3439802 ]",1.2735151265955893,7,0.5995572797629362,11,18,0.6739578468326531
MLP,25,3.584080767478191,0.9999285450162558,0.3336998432666943,1.580215130004052,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[ 3.45494310e-03 -2.46545600e+00  5.52691416e-02 -3.54534087e+00
  1.63100966e+00 -4.07735010e+00 -2.28194092e+00 -4.67671256e+00
 -3.55133628e+00 -5.34725234e+00 -7.28061047e-01 -8.83384861e-02
 -7.76378457e-01 -2.86445856e+00 -4.06838370e+00 -2.43465972e+00
 -4.09183723e-01  4.59212015e+00 -4.80286070e+00 -2.47524607e+00
 -3.06913507e+00 -4.18042726e+00 -2.63132917e+00 -4.79340177e+00
  2.65780288e+00 -1.78045698e+00  1.79234322e+00 -4.36400484e+00
 -3.82452926e+00 -2.29259008e+00 -5.20576825e+00 -3.80223962e-01
 -1.84906303e+00 -9.50586760e-01 -5.61628846e+00 -1.78624469e+00
 -3.23573981e-02 -4.61191657e+00 -6.30727527e-01 -2.63713938e+00
 -4.14818694e+00]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.25486724 -1.42755183 -2.05508506 -3.24690971 -4.01121419 -0.64244019
 -0.98762567 -3.85113106  0.25417818 -1.01457161 -0.33415858]",1.33362838828295,4,0.6662287017495616,13,17,0.6673996865333884
MLP,8,3.595466770055681,0.8555508818992166,0.3315831233058085,1.7376823132183423,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.95612956 -2.05342154 -1.25393409 -3.2705678   1.6721863  -4.05972234
 -2.20040445 -4.68514173 -4.18740549 -5.3293685  -0.7326031   0.20151932
 -0.79195513 -2.7359549  -3.19410901 -2.18223545 -1.52842637  3.80474013
 -3.38766719 -1.17513961 -2.53862265 -4.10574422 -2.55156807 -4.24725647
  0.60079865 -0.74508545  0.47000771 -4.41990949 -3.84798535 -2.25537985
 -2.63944048 -0.99029146 -1.97678405 -1.28762043 -5.28608271 -2.06401402
 -2.41176611 -4.42763723 -1.38983242 -2.79627483 -3.63569623]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.90322664 -3.85958889 -3.00678336 -2.87127579 -2.90182257 -1.28193558
 -1.32954346 -3.3932214  -1.3604432  -0.67283905 -2.06517843]",1.1871340052050252,12,0.523967758593408,8,20,0.6631662466116172
MLP,14,3.602935368719987,0.925933145535377,0.3301946700918742,1.5747697237219926,"{'alpha': 0.01, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.28450722 -2.25079958  0.250843   -3.4157585   1.54601774 -4.01343914
 -2.29140945 -4.40189207 -3.75037525 -5.19514564 -0.74681416 -0.01350307
 -0.75241934 -2.77534767 -3.22885186 -2.03602081 -0.16033575  4.49619009
 -5.05088614 -1.37547839 -2.87768703 -4.23754008 -2.74971162 -4.61818143
  1.84577477 -1.78877521  0.64474282 -4.35745533 -3.68886654 -1.88693456
 -3.34164572 -1.09919707 -1.7680191  -2.1429495  -5.52593709 -2.19944938
 -2.23876372 -4.49364609 -1.16052599 -2.84131097 -3.49261297]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.50344873 -3.25729372 -3.14948693 -3.95409183 -3.0496634  -0.00429331
 -1.38334971 -4.27650322 -0.18752328  0.37135729 -1.51419246]",1.2561278156272513,9,0.5957384754435028,10,19,0.6603893401837485
MLP,27,3.8175784554347256,0.999873330400843,0.2902913499386347,1.6583215968525538,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.03024991 -2.45752538  0.0357038  -3.54597572  1.60996878 -4.09525791
 -2.30640195 -4.66691895 -3.53456484 -5.34037508 -0.74114487 -0.09533654
 -0.79139212 -2.86276515 -4.00701941 -2.44186514 -0.28627266  4.60456195
 -4.79291476 -2.48841807 -3.08052053 -4.16989454 -2.70527554 -4.78925443
  2.67266379 -1.77767845  1.77965409 -4.35436241 -3.81868575 -2.28410377
 -5.2010124  -0.37917213 -1.85004715 -0.94900924 -5.60934782 -1.78850424
 -0.07339467 -4.59090516 -0.64707893 -2.62324143 -4.14880765]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.26795686 -1.94588338 -2.630454   -2.18544297 -2.33115511  0.09850343
 -1.04616941 -3.34294528 -1.14796617 -0.76603629 -0.48943447]",1.2901646803394777,5,0.7095819804622083,16,21,0.5805826998772694
MLP,29,3.948284896220713,0.9999310057894863,0.2659923099248032,1.838462460275733,"{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[ 1.57136490e-03 -2.46123137e+00  4.40297996e-03 -3.55448093e+00
  1.59508988e+00 -4.11357606e+00 -2.34410062e+00 -4.66750552e+00
 -3.54721785e+00 -5.35520731e+00 -7.06134949e-01 -1.20715041e-01
 -8.09731419e-01 -2.86307424e+00 -4.05634240e+00 -2.46776014e+00
 -4.11272735e-01  4.61448880e+00 -4.83701070e+00 -2.47585249e+00
 -3.09635062e+00 -4.18058176e+00 -2.74170614e+00 -4.81179233e+00
  2.65478156e+00 -1.83051807e+00  1.79220042e+00 -4.36810669e+00
 -3.83484483e+00 -2.29944395e+00 -5.19816341e+00 -4.08775265e-01
 -1.84532737e+00 -9.73281639e-01 -5.60024914e+00 -1.79356937e+00
  2.78702419e-03 -4.62032231e+00 -6.37997582e-01 -2.62428788e+00
 -4.19514505e+00]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-4.27477194 -2.39263707 -3.04547514 -1.51220542 -1.69904806  1.46336479
 -0.44556849 -4.52210176 -0.46968912 -0.85414153  1.65423661]",1.2659233157142895,8,0.7339386958646832,17,25,0.5319846198496063
