Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,19,0.9601231192481954,0.7649739861496891,0.0799836835938558,0.8357016684195012,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8449576697435449,1,0.6849903025558334,10,11,0.15996736718771154
Random Forest,1,1.024381652365969,0.2243679983820444,0.0184093940558973,0.9134453842738288,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.24277739243794172,26,0.2059586043261471,1,27,0.03681878811179462
Random Forest,26,1.050841382355602,0.5776961156718093,-0.0069450452135424,0.9327795398382562,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.5707510704582669,9,0.5846411608853518,3,12,-0.013890090427084889
Random Forest,17,1.0634325746289055,0.5958936661774239,-0.0190102711228161,0.9020879872902356,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.5768833950546078,8,0.61490393730024,4,12,-0.038020542245632116
Random Forest,20,1.0725313739604698,0.5951764342397885,-0.0277289902921862,0.9311475068088468,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.5674474439476023,11,0.6229054245319747,5,16,-0.05545798058437246
Random Forest,32,1.09192923202243,0.792140139510918,-0.0463165501192093,0.8781222969908525,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7458235893917087,2,0.8384566896301273,23,25,-0.09263310023841864
Random Forest,21,1.0941430698888146,0.7731172443737486,-0.0484379103053345,0.91683138435349,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7246793340684141,3,0.8215551546790831,19,22,-0.09687582061066902
Random Forest,31,1.0991250219451096,0.6477282415296977,-0.0532117534588392,0.9054205926826562,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.5945164880708584,7,0.7009399949885369,11,18,-0.10642350691767843
Random Forest,29,1.123082155941357,0.6440342929187803,-0.0761681365820106,0.9547388733509802,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5678661563367697,10,0.7202024295007909,12,22,-0.1523362731640212
Random Forest,16,1.1250174508792634,0.5977938545850607,-0.0780225892914989,0.9448366928555338,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.5197712652935619,15,0.6758164438765596,7,22,-0.1560451785829977
Random Forest,22,1.1306769029115649,0.5984773728471238,-0.0834456315110345,0.9692455562053964,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.5150317413360893,17,0.6819230043581582,8,25,-0.16689126302206891
Random Forest,15,1.1312913911062863,0.70701808445315,-0.0840344509593415,0.927733369690733,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6229836334938085,5,0.7910525354124914,17,22,-0.16806890191868296
Random Forest,24,1.15811083654801,0.6262360712472088,-0.1097335794447289,0.9642098652348235,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.5165024918024799,16,0.7359696506919378,13,29,-0.2194671588894579
Random Forest,25,1.1633838994601648,0.7767906037801089,-0.1147863730077225,0.9749568156473188,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.6620042307723863,4,0.8915769767878314,24,28,-0.22957274601544508
Random Forest,27,1.1775642629588117,0.6249522490714117,-0.128374386388278,0.9696326257066404,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.49657786268313364,19,0.7533266354596897,14,33,-0.25674877277655606
Random Forest,14,1.1831055609540524,0.6926699639138245,-0.1336842101676305,0.957253135167396,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.558985753746194,12,0.8263541740814551,20,32,-0.2673684203352611
Random Forest,30,1.1920649649435855,0.6941349797515235,-0.1422693568955826,0.9736112092030034,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.5518656228559409,13,0.8364043366471061,22,35,-0.28453871379116524
Random Forest,28,1.2150088767925205,0.6149850491740305,-0.1642548427567429,0.9939395732121254,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.4507302064172876,20,0.7792398919307735,16,36,-0.32850968551348586
Random Forest,2,1.2213214326917323,0.2873128801817283,-0.1703037070212014,1.018330756980331,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.11700917316052689,30,0.4576165872029297,2,32,-0.3406074140424028
Random Forest,23,1.2214172901482632,0.7929307952390772,-0.1703955602661544,0.9920224611261652,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6225352349729227,6,0.9633263555052316,26,32,-0.34079112053230887
Random Forest,4,1.2342332360166248,0.5000109151602554,-0.1826761512369286,1.037851012030423,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.3173347639233268,21,0.682687066397184,9,30,-0.3653523024738572
Random Forest,3,1.26196676650013,0.4160597917865904,-0.2092511810897157,1.010461288769313,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.20680861069687473,29,0.6253109728763061,6,35,-0.4185023621794314
Random Forest,13,1.2638197052600766,0.7374469294344645,-0.211026717849821,1.0243388441714634,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.5264202115846436,14,0.9484736472842855,25,39,-0.42205343569964193
Random Forest,18,1.2839583208283816,0.7407558726548991,-0.2303240918440847,1.0068500245388945,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.5104317808108143,18,0.9710799644989838,27,45,-0.4606481836881695
Random Forest,9,1.3166330129278203,0.5050431536354556,-0.2616338783312277,1.038425494700046,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.2434092753042279,24,0.7666770319666834,15,39,-0.5232677566624555
