Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,31,0.9240834128011596,0.8442212563098543,0.1145179191570237,0.8156232447706355,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.958739175466878,8,0.7297033371528306,4,12,0.2290358383140474
SVR,32,0.9277588723010802,0.8404203468090767,0.1109959930181501,0.8167130945973864,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9514163398272268,12,0.7294243537909266,3,15,0.22199198603630022
SVR,29,0.9373998618387636,0.8467378496296742,0.1017577323168403,0.8280420361242609,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9484955819465145,15,0.744980117312834,6,21,0.20351546463368053
SVR,30,0.9374412985110508,0.8431497178094025,0.1017180265605289,0.8276796880292941,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9448677443699314,16,0.7414316912488736,5,21,0.20343605312105772
SVR,28,0.9402350477449368,0.8508586578204195,0.0990409793906463,0.831399942884442,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9498996372110657,14,0.7518176784297732,7,21,0.19808195878129253
SVR,27,0.9406772155616848,0.8538139257192755,0.0986172820565832,0.8293367528523377,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9524312077758587,10,0.7551966436626923,8,18,0.1972345641131663
SVR,26,0.9426530831888632,0.8544815523150946,0.0967239514830143,0.8336519792921266,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9512055037981089,13,0.7577576008320803,9,22,0.19344790296602854
SVR,23,0.9456893960666698,0.8588466457601569,0.0938144731741454,0.8360524596462061,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9526611189343023,9,0.7650321725860115,10,19,0.18762894634829075
SVR,22,0.9516882691413688,0.9906896529698088,0.0880661883988616,0.8341018294721007,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0787558413686704,1,0.9026234645709472,16,17,0.1761323767977232
SVR,21,0.9523288497842164,0.9907029393684408,0.0874523664508439,0.8369081927290051,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0781553058192848,2,0.9032505729175969,17,19,0.17490473290168784
SVR,25,0.9524805092427672,0.8574683251674109,0.0873070421964782,0.8389333169060003,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9447753673638891,17,0.7701612829709327,12,29,0.17461408439295645
SVR,20,0.9562929106462048,0.9908632964936396,0.0836538945682878,0.8400346684268811,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0745171910619273,3,0.9072094019253518,18,21,0.1673077891365755
SVR,24,0.9568216035192392,0.8572808491944771,0.083147286551245,0.8408533503178055,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.9404281357457221,18,0.7741335626432321,13,31,0.16629457310249007
SVR,19,0.9661424155745072,0.9907589705854462,0.0742158286985099,0.8455043910988528,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.064974799283956,4,0.9165431418869363,19,23,0.1484316573970197
SVR,18,0.9919022044087112,0.9909093800085867,0.0495320922489578,0.8536596408744263,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0404414722575446,5,0.9413772877596289,20,25,0.09906418449791565
SVR,17,1.0042413157225865,0.9908522258800654,0.0377084172315224,0.8609718048226557,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0285606431115877,6,0.953143808648543,22,28,0.0754168344630447
SVR,16,1.025789317373732,0.9912031209138752,0.0170605308224089,0.866157513802685,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.0082636517362842,7,0.9741425900914663,24,31,0.034121061644817874
SVR,6,1.057168484969929,0.7552206224760313,-0.0130078485395521,0.9156476996741724,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7422127739364792,24,0.7682284710155833,11,35,-0.026015697079104116
SVR,15,1.084732180966845,0.991238064481306,-0.039420138327427,0.8869399900844613,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9518179261538791,11,1.030658202808733,26,37,-0.07884027665485394
SVR,14,1.1130589542930849,0.9912547178598936,-0.0665636297493244,0.9015874915501464,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.9246910881105692,19,1.057818347609218,27,46,-0.1331272594986488
SVR,7,1.1136714496992253,0.8045040129338005,-0.0671505396529357,0.9531136176306334,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7373534732808648,25,0.8716545525867362,14,39,-0.13430107930587143
SVR,8,1.136767948445752,0.8112395923959191,-0.0892822384659977,0.9671029954504148,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7219573539299214,27,0.9005218308619168,15,42,-0.1785644769319954
SVR,13,1.147289937538227,0.9910953293297704,-0.0993646971132851,0.9166993870099684,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.8917306322164853,20,1.0904600264430555,28,48,-0.1987293942265702
SVR,9,1.1532681045138409,0.8403412876603038,-0.1050931407362985,0.9699741023053126,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.7352481469240053,26,0.9454344283966023,21,47,-0.210186281472597
SVR,5,1.1870619602128694,0.8309378906841485,-0.1374753404918112,0.9671303023270206,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.6934625501923373,28,0.9684132311759597,23,51,-0.2749506809836224
SVR,4,1.2203911624132382,0.8205898895556061,-0.1694122965158981,0.9143059461998168,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.651177593039708,29,0.9900021860715041,25,54,-0.33882459303179613
SVR,12,1.2289965923337112,0.9909755176315156,-0.1776582555786525,0.963754989892766,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.813317262052863,21,1.1686337732101681,29,50,-0.3553165111573051
SVR,11,1.2709142509508768,0.9908452548711756,-0.2178249061885582,0.9927970605310557,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7730203486826174,22,1.2086701610597337,30,52,-0.4356498123771163
SVR,10,1.2980721815602296,0.990808682264982,-0.2438483804488125,1.0146093529736566,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.7469603018161695,23,1.2346570627137945,31,54,-0.48769676089762504
SVR,2,1.366215533926766,0.144395093895765,-0.309145210381329,1.0839372406274077,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",-0.16475011648556404,31,0.453540304277094,2,33,-0.618290420762658
SVR,1,1.404874075722024,0.0809920295880223,-0.3461888858299067,1.1087295451706327,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.2651968562418844,32,0.427180915417929,1,33,-0.6923777716598134
SVR,3,2.10428490827897,0.9795100110985204,-1.016383535790478,1.3095375728290066,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",-0.03687352469195759,30,1.9958935468889984,32,62,-2.032767071580956
