Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,30,0.8245447891813273,0.9697229579925384,0.2098985594175804,0.7526761818921149,"{'learning_rate': 0.1, 'n_estimators': 100}",1.1796215174101188,1,0.759824398574958,2,3,0.4197971188351608
AdaBoost,24,0.8995803309839195,0.9653010233157352,0.137997444461807,0.772167300889873,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1032984677775421,2,0.8273035788539282,4,6,0.2759948889236139
AdaBoost,25,0.9047330082304172,0.9683535502554772,0.1330600077467486,0.7823383913304883,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1014135580022257,3,0.8352935425087287,6,9,0.26612001549349706
AdaBoost,22,0.90479161628127,0.9635471633197752,0.1330038479043528,0.7971633754667491,"{'learning_rate': 0.05, 'n_estimators': 200}",1.096551011224128,4,0.8305433154154224,5,9,0.26600769580870554
AdaBoost,26,0.9657080317083704,0.9668158796989176,0.0746320672375239,0.8323384926205627,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0414479469364415,5,0.8921838124613937,7,12,0.14926413447504783
AdaBoost,32,0.9934747880851642,0.9587936905589304,0.0480251994221465,0.6977743561324249,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0068188899810768,6,0.9107684911367839,8,14,0.0960503988442929
AdaBoost,28,1.0291585587894587,0.9558601143654352,0.0138320312537213,0.8031003210231126,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9696921456191565,8,0.9420280831117138,10,18,0.027664062507442688
AdaBoost,23,1.03491360451423,0.967245349311932,0.0083173885351927,0.8251716109776571,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9755627378471247,7,0.9589279607767393,11,18,0.01663477707038541
AdaBoost,19,1.0369723199554506,0.9435149090448092,0.0063446709130576,0.8005487504301043,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9498595799578667,10,0.9371702381317516,9,19,0.012689341826115141
AdaBoost,29,1.0491930781401484,0.9679850358967974,-0.0053655948886655,0.8250443938670995,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9626194410081319,9,0.9733506307854629,13,22,-0.010731189777331007
AdaBoost,21,1.0651517178005554,0.9480700517824808,-0.0206576012791763,0.8340423613825346,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9274124505033046,11,0.9687276530616571,12,23,-0.041315202558352526
AdaBoost,27,1.1173516690389311,0.960348487314274,-0.0706770268008905,0.9087954370460916,"{'learning_rate': 0.1, 'n_estimators': 50}",0.8896714605133835,12,1.0310255141151645,15,27,-0.141354053601781
AdaBoost,13,1.1408842370480317,0.9364899017670584,-0.0932265791460755,0.8702509902586165,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8432633226209829,13,1.0297164809131338,14,27,-0.18645315829215092
AdaBoost,20,1.165086455586788,0.9270933907972718,-0.1164178090024283,0.8490727869060529,"{'learning_rate': 0.05, 'n_estimators': 50}",0.8106755817948436,14,1.0435111997997002,16,30,-0.23283561800485664
AdaBoost,1,1.1959613943449563,0.3372408514340379,-0.1460030224569251,0.9809487512383078,"{'learning_rate': 0.05, 'n_estimators': 50}",0.19123782897711283,24,0.483243873890963,1,25,-0.2920060449138502
AdaBoost,15,1.209038129984929,0.9362022430673024,-0.1585335093423208,0.8802977940519092,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7776687337249816,15,1.094735752409623,17,32,-0.3170670186846415
AdaBoost,2,1.224495948902807,0.6507592873712805,-0.1733456155559856,0.9712849678633776,"{'learning_rate': 0.05, 'n_estimators': 50}",0.4774136718152949,21,0.8241049029272661,3,24,-0.3466912311119712
AdaBoost,31,1.2541875239459528,0.9685604110614964,-0.201796897430003,0.8014715665216084,"{'learning_rate': 0.1, 'n_estimators': 100}",0.7667635136314934,16,1.1703573084914993,20,36,-0.4035937948600059
AdaBoost,16,1.277156941325896,0.9373123161347122,-0.2238068233907881,0.9391788651698844,"{'learning_rate': 0.1, 'n_estimators': 50}",0.7135054927439242,17,1.1611191395255003,19,36,-0.4476136467815761
AdaBoost,18,1.298653936124957,0.9267968621395344,-0.2444058336347248,0.9442617065573288,"{'learning_rate': 0.05, 'n_estimators': 50}",0.6823910285048096,18,1.1712026957742592,21,39,-0.4888116672694496
AdaBoost,14,1.3442608294390643,0.9359345462333376,-0.2881076101552486,0.922026653098734,"{'learning_rate': 0.05, 'n_estimators': 50}",0.647826936078089,19,1.2240421563885862,22,41,-0.5762152203104971
AdaBoost,17,1.3540407985672744,0.9368956479390804,-0.2974790449134776,0.9790659152231136,"{'learning_rate': 0.05, 'n_estimators': 50}",0.6394166030256028,20,1.234374692852558,23,43,-0.5949580898269553
AdaBoost,3,1.4491771575853394,0.748587747018733,-0.388641314444732,1.0065940427349205,"{'learning_rate': 0.05, 'n_estimators': 50}",0.359946432574001,22,1.137229061463465,18,40,-0.7772826288894641
AdaBoost,4,1.5879238065728194,0.8312240443204959,-0.5215921603894798,1.0857580029630027,"{'learning_rate': 0.1, 'n_estimators': 50}",0.30963188393101615,23,1.3528162047099757,24,47,-1.0431843207789595
AdaBoost,8,1.7719167794663766,0.8820642075014482,-0.6978992753547923,1.2245290250829637,"{'learning_rate': 0.05, 'n_estimators': 100}",0.18416493214665586,25,1.5799634828562406,26,51,-1.3957985507095847
AdaBoost,9,1.8216675075787088,0.9074614114980905,-0.745571788076153,1.1903556871988947,"{'learning_rate': 0.05, 'n_estimators': 200}",0.16188962342193747,26,1.6530331995742436,29,55,-1.491143576152306
AdaBoost,5,1.8274968866983,0.808290546193344,-0.7511576590931328,1.209017323295397,"{'learning_rate': 0.05, 'n_estimators': 50}",0.05713288710021114,28,1.5594482052864769,25,53,-1.5023153181862656
AdaBoost,7,1.872394892583401,0.8414554393400198,-0.7941801602289627,1.2433393387728442,"{'learning_rate': 0.05, 'n_estimators': 50}",0.04727527911105711,29,1.6356355995689824,28,57,-1.5883603204579253
AdaBoost,12,1.88244222761582,0.9405356361151268,-0.8038077923325022,1.20508523328065,"{'learning_rate': 0.1, 'n_estimators': 200}",0.1367278437826246,27,1.7443434284476291,30,57,-1.6076155846650044
AdaBoost,6,1.8824436827711963,0.8235663759004309,-0.8038091867023098,1.2491488002105773,"{'learning_rate': 0.05, 'n_estimators': 50}",0.019757189198121083,30,1.6273755626027406,27,57,-1.6076183734046197
AdaBoost,11,2.114814472346221,0.9393427832530208,-1.026473252986435,1.2947575221950955,"{'learning_rate': 0.1, 'n_estimators': 200}",-0.08713046973341432,31,1.9658160362394559,32,63,-2.05294650597287
AdaBoost,10,2.1175438264209423,0.923823577335518,-1.0290885949479534,1.2675242982761463,"{'learning_rate': 0.05, 'n_estimators': 200}",-0.10526501761243534,32,1.9529121722834715,31,63,-2.0581771898959067
