Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,2,0.8645466356788106,0.7846593520569539,0.1478580807782714,0.7937920920881868,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.9325174328352253,1,0.6368012712786826,2,3,0.2957161615565427
MLP,1,1.001700181035302,0.1984011511670015,0.0126724464297209,0.9352389165147804,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",0.2110735975967224,3,0.1857287047372806,1,4,0.025344892859441803
MLP,3,1.7136840086611649,0.937290291108297,-0.689095671436549,1.142446542970049,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.24819461967174794,2,1.626385962544846,3,5,-1.378191342873098
MLP,29,1.8397917267815933,0.9992373341667168,-0.8133939666504792,1.1799234480751284,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",0.18584336751623753,4,1.8126313008171961,5,9,-1.6267879333009585
MLP,21,1.848476310693035,0.9866488138868732,-0.8219539421295665,1.1574170396541916,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.16469487175730668,5,1.8086027560164397,4,9,-1.643907884259133
MLP,4,2.165402357189864,0.9468832903754498,-1.134332659908181,1.2780767114116194,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.18744936953273128,6,2.0812159502836307,6,12,-2.268665319816362
MLP,18,2.2460965526842385,0.9898629974992406,-1.213869036294216,1.1507072802850165,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.22400603879497538,7,2.2037320337934565,8,15,-2.427738072588432
MLP,14,2.387178690347401,0.9635419323277912,-1.3529268945921644,1.1969357109544587,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.38938496226437325,8,2.3164688269199556,10,18,-2.705853789184329
MLP,27,2.521452519646725,0.9981418724042832,-1.4852741317201388,1.1633177203715477,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.4871322593158556,9,2.4834160041244218,11,20,-2.9705482634402776
MLP,28,2.562928846744408,0.999663617278481,-1.5261553468179656,1.2462016610394862,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.5264917295394846,10,2.5258189640964464,14,24,-3.052310693635931
MLP,25,2.574915603591218,0.997121899647289,-1.5379701148861624,1.256687061398423,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5408482152388734,11,2.5350920145334515,15,26,-3.075940229772325
MLP,15,2.5889200066877804,0.9375632742404036,-1.5517735795458676,1.298777074955848,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-0.6142103053054639,13,2.4893368537862712,12,25,-3.103547159091735
MLP,17,2.5997516354452928,0.9895083047427936,-1.5624497935715884,1.301376631568514,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.5729414888287948,12,2.551958098314382,16,28,-3.124899587143177
MLP,16,2.7727169056534366,0.9669792017323432,-1.7329333178040858,1.2633169298002167,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-0.7659541160717426,14,2.699912519536429,17,31,-3.4658666356081715
MLP,22,2.865553136592962,0.6691792639548129,-1.824437512883169,1.3715778707582056,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-1.155258248928356,15,2.4936167768379818,13,28,-3.648875025766338
MLP,23,3.216479121782584,0.9998811119854164,-2.1703283303165923,1.5024581460145254,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-1.170447218331176,16,3.1702094423020086,21,37,-4.340656660633185
