Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,16,0.433393472039803,0.931387404050624,0.4886437635089634,0.5664465506219495,"{'learning_rate': 0.05, 'n_estimators': 50}",1.4200311675595874,1,0.44274364054166065,2,3,0.9772875270179266
AdaBoost,7,0.5036795525770665,0.8595293881407573,0.4057139827439683,0.6415358122010942,"{'learning_rate': 0.1, 'n_estimators': 50}",1.2652433708847255,5,0.453815405396789,3,8,0.8114279654879365
AdaBoost,17,0.512198403115708,0.9454502638474582,0.3956626837934635,0.5935034430823852,"{'learning_rate': 0.05, 'n_estimators': 100}",1.3411129476409216,2,0.5497875800539948,5,7,0.7913253675869268
AdaBoost,4,0.512281605606374,0.8057885076255943,0.3955645140810923,0.6366096102831533,"{'learning_rate': 0.05, 'n_estimators': 200}",1.2013530217066866,8,0.410223993544502,1,9,0.7911290281621846
AdaBoost,14,0.5602714663206971,0.9412028270633832,0.3389418002014712,0.6216069754921244,"{'learning_rate': 0.1, 'n_estimators': 50}",1.2801446272648545,3,0.602261026861912,10,13,0.6778836004029425
AdaBoost,9,0.5698838964158274,0.9144551483744924,0.3276001986451664,0.7020945723560473,"{'learning_rate': 0.1, 'n_estimators': 50}",1.2420553470196587,6,0.5868549497293261,8,14,0.6552003972903326
AdaBoost,27,0.5842432497576954,0.9631545385048204,0.3106577540606106,0.6667899778673477,"{'learning_rate': 0.1, 'n_estimators': 50}",1.273812292565431,4,0.6524967844442098,12,16,0.6213155081212212
AdaBoost,3,0.5856023303886283,0.8103339936271112,0.3090541896293081,0.6580788236896643,"{'learning_rate': 0.05, 'n_estimators': 200}",1.1193881832564192,13,0.5012798039978031,4,17,0.6181083792586161
AdaBoost,15,0.5954322707047036,0.9303454220501928,0.2974559501327561,0.65231880173162,"{'learning_rate': 0.05, 'n_estimators': 50}",1.2278013721829488,7,0.6328894719174367,11,18,0.5949119002655121
AdaBoost,6,0.609923816016188,0.8515119471163968,0.2803575336832824,0.6875401878000565,"{'learning_rate': 0.1, 'n_estimators': 50}",1.1318694807996792,12,0.5711544134331143,7,19,0.5607150673665648
AdaBoost,5,0.626422417833672,0.8481395153846,0.2608910131262353,0.6956663671409253,"{'learning_rate': 0.1, 'n_estimators': 50}",1.1090305285108353,16,0.5872485022583647,9,25,0.5217820262524706
AdaBoost,12,0.6391064922351001,0.9081144644680714,0.2459252119138653,0.7205722823787171,"{'learning_rate': 0.1, 'n_estimators': 50}",1.1540396763819367,10,0.6621892525542061,13,23,0.4918504238277306
AdaBoost,29,0.6536074252492482,0.9568016625365596,0.2288157190162832,0.7017581630043831,"{'learning_rate': 0.05, 'n_estimators': 50}",1.1856173815528428,9,0.7279859435202765,16,25,0.45763143803256634
AdaBoost,20,0.6871916066359905,0.9587253325480604,0.1891901092471087,0.7052764764074234,"{'learning_rate': 0.05, 'n_estimators': 100}",1.1479154417951691,11,0.7695352233009517,18,29,0.37838021849421744
AdaBoost,11,0.6917217679904593,0.8973077301741905,0.1838450212142518,0.7144841226340324,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0811527513884422,19,0.7134627089599387,15,34,0.36769004242850356
AdaBoost,10,0.7063996951996642,0.9062025949963404,0.1665266947940074,0.7592391887987311,"{'learning_rate': 0.1, 'n_estimators': 50}",1.0727292897903478,21,0.739675900202333,17,38,0.3330533895880148
AdaBoost,21,0.7082994685747459,0.9400534502443944,0.1642851728839162,0.730359056853559,"{'learning_rate': 0.05, 'n_estimators': 50}",1.1043386231283105,17,0.7757682773604782,19,36,0.3285703457678324
AdaBoost,19,0.7094729632239368,0.9556382269823074,0.1629005793307916,0.7019789949794042,"{'learning_rate': 0.05, 'n_estimators': 100}",1.118538806313099,14,0.7927376476515158,20,34,0.3258011586615832
AdaBoost,33,0.7253738369576713,0.9700657354799428,0.1441393116284139,0.7224513650821268,"{'learning_rate': 0.1, 'n_estimators': 100}",1.1142050471083567,15,0.8259264238515289,24,39,0.28827862325682774
AdaBoost,22,0.7371231670173852,0.954258859825581,0.1302764050822016,0.7281958177352937,"{'learning_rate': 0.05, 'n_estimators': 200}",1.0845352649077826,18,0.8239824547433794,23,41,0.26055281016440324
AdaBoost,18,0.7399601900383185,0.9496789908915604,0.1269290325248927,0.6707234540016507,"{'learning_rate': 0.1, 'n_estimators': 50}",1.076608023416453,20,0.8227499583666676,22,42,0.25385806504978536
AdaBoost,31,0.769316188367457,0.9709233164015468,0.0922922098857026,0.7259200256644203,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0632155262872494,22,0.8786311065158442,26,48,0.18458441977140516
AdaBoost,23,0.7728293916054804,0.9455039791941534,0.0881470196562134,0.7087948419545319,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0336509988503668,23,0.85735695953794,25,48,0.17629403931242682
AdaBoost,8,0.7818524391739315,0.8952013503920815,0.0775008241227029,0.7704542921361501,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9727021745147844,26,0.8177005262693786,21,47,0.15500164824540574
AdaBoost,2,0.7832762260279924,0.7673294157694408,0.0758209135236086,0.7816355307531844,"{'learning_rate': 0.05, 'n_estimators': 200}",0.8431503292930494,30,0.6915085022458322,14,44,0.1516418270472173
