Model,PC,MSE,R2,Q2,MAE,Best Params,y_train,y_train_pred,y_test,y_pred,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,9,1.9309177499540795,0.812931885789488,0.6410318620306165,1.262729786408762,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.409181   -2.36814121 -0.04836598 -3.45539987  1.50991962 -4.20437261
 -2.22262027 -4.58213781 -3.64962525 -5.25912419 -0.63728977 -0.19540644
 -0.88824697 -2.77912495 -2.51270632 -2.35068484 -0.51203316  3.28763609
 -4.23093697 -2.39173931 -2.9911738  -4.07471305 -2.41945889 -4.70386801
  0.61222199 -1.89176536 -0.79574435 -4.26978304 -3.79202641 -2.19276338
 -0.72532543 -1.05733922 -1.95578861 -1.05551717 -5.52856901 -1.89195458
 -1.75907992 -4.51500346 -1.78305116 -2.53887283 -3.81730333]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-2.84770311 -4.11429717 -3.77956358 -2.44216347 -2.67391532 -1.30263972
 -1.29155637 -3.70235312  0.59756048 -1.34167459 -1.07817162]",1.4539637478201044,2,0.1719000237588716,10,12,1.2820637240612327
SVR,11,2.128362206281225,0.8677228157648562,0.6043258610412847,1.306731179299882,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.27455384 -2.36770562 -0.04892063 -3.45516049  1.50960791 -4.20453372
 -2.22293388 -4.58174023 -3.64950691 -5.25886578 -0.63698224 -0.19503288
 -0.88840358 -2.77933925 -2.87117137 -2.35139005 -0.51249701  3.36245066
 -4.7151333  -2.39200865 -2.99067949 -4.07433866 -2.60801684 -4.70378767
  0.55486122 -1.89187145  0.15122679 -4.26935137 -3.8131455  -2.19280422
 -1.57399231 -0.47870213 -1.95651107 -1.0554471  -5.52861876 -1.89178425
 -2.13921919 -4.51508059 -1.47345806 -2.53879265 -4.0633119 ]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.13283679 -4.04507336 -4.08112698 -2.59975317 -2.52656454 -1.97065339
 -1.38618045 -3.54487125  1.06700125 -1.88237341 -1.29447234]",1.472048676806141,1,0.2633969547235715,12,13,1.2086517220825694
SVR,10,2.1953610848147025,0.8538474981726489,0.5918704042131671,1.344663488618658,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.37339835 -2.36787322  0.03837393 -3.45534933  1.5091935  -4.20386603
 -2.22280221 -4.58167797 -3.64964784 -5.25852971 -0.63668333 -0.19530017
 -0.88861733 -2.77961494 -2.91490236 -2.35105122 -0.51250349  3.35784224
 -4.71544016 -2.39120393 -2.99053641 -4.07412784 -2.60818249 -4.70441646
  0.44982206 -1.89211233 -0.32618447 -4.2698667  -3.72846842 -2.1922235
 -1.54793294 -1.10803185 -1.90630138 -1.05582582 -5.52859849 -1.89206911
 -2.21231111 -4.5148406  -1.34688953 -2.53904756 -4.06356107]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.3139457  -4.12081277 -4.11133873 -2.65977794 -2.4464964  -1.66469848
 -1.48242922 -3.45679719  0.8368491  -1.95019822 -1.45578181]",1.445717902385816,3,0.2619770939594819,11,14,1.1837408084263341
SVR,23,2.9306975682681173,0.9668705931824454,0.455167342545986,1.5542867438180343,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.10993408 -2.36767135 -0.04880826 -3.45545752  1.50967864 -4.0041362
 -2.22263816 -4.58211925 -3.64992806 -5.25937256 -0.63685498 -0.19480269
 -0.8884471  -2.77899614 -3.86079878 -2.3506799  -0.51242547  4.50557595
 -4.71528145 -2.39174592 -2.99095763 -4.07483273 -2.80779754 -4.70432459
  2.09946148 -1.6918758   1.67176221 -4.26934874 -3.72849905 -2.19222154
 -3.45315671 -0.47860283 -1.95674258 -1.10496531 -5.52839943 -1.89173413
 -1.83934563 -4.51524426 -0.74212634 -2.53888737 -4.06357449]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.37306082 -2.55635838 -3.10797202 -3.12952783 -3.74257345 -0.71766207
 -1.17315694 -4.21444208 -0.37674564 -0.80793803 -1.61912721]",1.4220379357284314,4,0.5117032506364594,14,18,0.910334685091972
SVR,22,2.981675517528169,0.9635348354731036,0.4456902638232835,1.5749867500779031,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.11040285 -2.36815913 -0.04902196 -3.45512394  1.50944706 -4.00463927
 -2.22241576 -4.5820085  -3.64954209 -5.25890683 -0.63732146 -0.19497842
 -0.88835398 -2.77960187 -3.83059879 -2.35097775 -0.5123418   4.50525859
 -4.7154496  -2.39114712 -2.99072091 -4.07441503 -2.80827049 -4.70392193
  1.98622323 -1.69184349  1.67196616 -4.26916135 -3.72842221 -2.19277527
 -3.30891492 -0.47855583 -1.95642163 -1.07875632 -5.52815366 -1.89176048
 -1.8539199  -4.51465237 -0.74225867 -2.53883225 -4.06356423]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.4663885  -2.5565112  -3.1310461  -3.12762549 -3.76587757 -0.7490488
 -1.16447836 -4.19656524 -0.37937143 -0.8371622  -1.78794634]",1.409225099296387,5,0.5178445716498201,15,20,0.891380527646567
SVR,24,3.0452773844225067,0.967939796444889,0.4338663299809538,1.5777171060839594,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.11021002 -2.36772692 -0.04859769 -3.45561751  1.50948705 -4.00405457
 -2.22260653 -4.58172564 -3.6500494  -5.2593227  -0.63682623 -0.19509898
 -0.88842657 -2.778855   -3.92515295 -2.35074687 -0.51236954  4.50553571
 -4.71552784 -2.39163922 -2.99089504 -4.07436895 -2.80849297 -4.70426807
  2.07862361 -1.69195858  1.67149338 -4.26947632 -3.72852025 -2.19218882
 -3.44389675 -0.47849431 -1.95672453 -1.0557619  -5.52808244 -1.89176091
 -1.76682264 -4.51527938 -0.74193967 -2.53893379 -4.06313006]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.39922681 -2.45369756 -3.06668426 -3.19234562 -3.78164936 -0.72487642
 -1.18631568 -4.21175847 -0.53276942 -0.85983373 -1.55581998]",1.4018061264258428,7,0.5340734664639353,17,24,0.8677326599619075
SVR,29,3.143397722475868,0.989868975915324,0.4156252241395586,1.567725720433294,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.10972982 -2.36771143 -0.04858562 -3.45552896  1.50926106 -4.00416949
 -2.22212356 -4.58248616 -3.64960677 -5.25923021 -0.63722999 -0.19542993
 -0.8884998  -2.88452482 -3.92542158 -2.35124061 -0.51216402  4.50520204
 -4.71558471 -2.39161781 -2.99067119 -4.07466123 -2.60798258 -4.70436408
  2.23916745 -1.69152426  1.67206192 -4.26906374 -3.72842573 -2.19220921
 -5.12364688 -0.47874557 -1.95634066 -1.05563844 -5.52790815 -1.89178511
 -1.28744494 -4.51501066 -0.74183369 -2.53933828 -4.06372559]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.76768352 -2.62196205 -3.03472411 -2.52798258 -3.29532597 -0.45736329
 -1.2328826  -4.02637404 -0.89393909 -0.58271267 -0.78907307]",1.4054942000548825,6,0.5742437517757654,24,30,0.8312504482791171
SVR,20,3.16969869562938,0.9643811939892104,0.4107357298253012,1.6203694504140316,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.11035073 -2.36812187 -0.0489754  -3.45528362  1.50961259 -4.00442337
 -2.22258978 -4.5818159  -3.6496954  -5.25882932 -0.63684928 -0.19505892
 -0.88846953 -2.77886262 -3.67255136 -2.35108918 -0.51242923  4.50520099
 -4.71588726 -2.39120246 -2.99134353 -4.07434491 -2.80808601 -4.70417297
  1.76006335 -1.69183156  1.67198243 -4.2695177  -3.72833253 -2.19205664
 -3.65712174 -0.47889144 -1.95616342 -1.41237201 -5.52800059 -1.89195285
 -1.9566572  -4.51506591 -0.74208168 -2.53901477 -4.06345568]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.32852135 -2.5654183  -2.94881661 -3.45599335 -3.84819014 -1.02756846
 -1.32831512 -4.30693142 -0.44613466 -0.88892772 -1.65865759]",1.3751169238145116,10,0.5536454641639093,19,29,0.8214714596506023
SVR,16,3.189354531908758,0.9367488863086813,0.4070816026882922,1.634829383127984,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.11007568 -2.36811831  0.01504413 -3.45500253  1.50926589 -4.00398423
 -2.2224052  -4.5827202  -3.64978928 -5.25912528 -0.63687952 -0.19538604
 -0.888681   -2.77922513 -3.23370331 -2.3510293  -0.42395608  4.50497204
 -4.76595627 -2.39135725 -2.99119438 -4.07486301 -2.80805461 -4.70414155
  1.58515309 -1.69174085  1.3337199  -4.26915548 -3.72868252 -2.19214306
 -2.81340543 -0.47854529 -1.95634096 -1.55466638 -5.52814289 -1.89159421
 -2.29438754 -4.51482077 -0.96563369 -2.53896287 -4.06338062]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.43740502 -2.94650824 -3.54541665 -3.3902942  -3.22842828 -0.69896351
 -1.52464574 -3.90670723 -0.30455773 -0.35506769 -1.47222747]",1.3438304889969734,14,0.5296672836203891,16,30,0.8141632053765844
SVR,21,3.194341779900718,0.9640552988597252,0.4061544460938138,1.6182150755310345,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","8    -0.009950
26   -2.468100
6     0.051293
34   -3.555348
4     1.609438
37   -4.104295
24   -2.322388
44   -4.682131
33   -3.549617
49   -5.358942
15   -0.737164
9    -0.095310
16   -0.788457
30   -2.879198
36   -4.025352
25   -2.451005
11   -0.412110
0     4.605170
46   -4.815431
27   -2.491551
31   -3.091042
39   -4.174387
29   -2.708050
45   -4.804021
1     2.659260
21   -1.791759
2     1.771957
40   -4.369448
35   -3.828641
23   -2.292535
48   -5.223594
10   -0.378436
22   -1.856298
18   -0.955511
51   -5.628340
20   -1.791759
7    -0.000000
42   -4.615121
14   -0.641854
28   -2.639057
38   -4.163560
Name: Log Standard Value, dtype: float64","[-0.11009253 -2.36804217 -0.04891531 -3.45532959  1.50937391 -4.00410125
 -2.22256293 -4.58160899 -3.64979249 -5.25888663 -0.63688404 -0.19545823
 -0.88871248 -2.77931964 -3.6992641  -2.35073479 -0.51233755  4.50529574
 -4.71539157 -2.39160287 -2.9906414  -4.07447374 -2.80813027 -4.70409179
  2.00179959 -1.69188519  1.67199664 -4.26919471 -3.72861978 -2.19195124
 -3.4973105  -0.47853716 -1.9566691  -1.38258866 -5.52871102 -1.89179594
 -1.9478473  -4.5151979  -0.74200295 -2.53896551 -4.0634785 ]","19   -1.589235
41   -4.532599
47   -5.040841
12   -0.470004
43   -4.653960
5     0.150823
17   -0.955511
50   -5.370638
3     1.714798
32   -3.218876
13   -0.530628
Name: Log Standard Value, dtype: float64","[-3.33286024 -2.57432693 -2.9587452  -3.41922466 -3.80845463 -0.93442643
 -1.31563464 -4.31445663 -0.38131024 -0.65471414 -1.59044953]",1.3702097449535389,11,0.5579008527659114,21,32,0.8123088921876275
