Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL4650319,,0.969,0.867,0.86,IC50,'=',0.01,nM,CHEMBL5257147,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4103912,,0.954,0.953,0.974,IC50,'=',0.07,nM,CHEMBL4411272,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccc(F)cc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4792967,,0.873,0.755,0.8,IC50,'=',0.17,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4761468,,0.984,0.867,0.9,IC50,'=',0.18,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4747958,,0.816,0.867,0.881,IC50,'=',0.2,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4745195,,0.925,0.886,0.949,IC50,'=',0.86,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(CCO)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4756020,,0.912,0.867,0.878,IC50,'=',0.95,nM,CHEMBL4706705,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3353410,,1,1,1,IC50,'=',1,nM,CHEMBL4118234,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4790568,,0.984,0.848,0.949,IC50,'=',1.01,nM,CHEMBL4706705,C#CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21
CHEMBL4796010,,0.824,0.867,0.9,IC50,'=',1.1,nM,CHEMBL4706659,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C
CHEMBL3604943,,0.923,0.907,0.682,Ki,'=',1.46,nM,CHEMBL3603765,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4800367,,1,0.886,0.949,IC50,'=',1.51,nM,CHEMBL4706705,C=CCn1cc(-c2ccnc(Nc3cc(NC(=O)C=C)c(N(C)CCN(C)C)cc3OC)n2)c2ccccc21
