Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,1,1.7456378176733731,0.6832255137091344,-0.181545691126616,0.9814193938188638,"{'learning_rate': 0.05, 'n_estimators': 50}",0.5016798225825184,17,0.8647712048357504,1,18,-0.363091382253232
AdaBoost,21,1.9266496710892045,0.9849042723138732,-0.3040646771848889,1.0334681440218534,"{'learning_rate': 0.1, 'n_estimators': 50}",0.6808395951289843,1,1.2889689494987622,4,5,-0.6081293543697779
AdaBoost,4,2.0153465091456004,0.90593246983157,-0.3640996774358396,1.1582866360573052,"{'learning_rate': 0.1, 'n_estimators': 50}",0.5418327923957305,11,1.2700321472674097,3,14,-0.7281993548716792
AdaBoost,2,2.0159352491708225,0.7871980308666557,-0.3644981697421772,1.0550514380756957,"{'learning_rate': 0.05, 'n_estimators': 50}",0.42269986112447855,20,1.151696200608833,2,22,-0.7289963394843544
AdaBoost,19,2.0168947238865105,0.9839265255983196,-0.36514759610347,1.1026307834302116,"{'learning_rate': 0.1, 'n_estimators': 100}",0.6187789294948496,2,1.3490741217017896,7,9,-0.7302951922069401
AdaBoost,10,2.027929241837001,0.9738562805070494,-0.3726163774314535,1.052965828393547,"{'learning_rate': 0.05, 'n_estimators': 200}",0.6012399030755959,3,1.346472657938503,6,9,-0.745232754862907
AdaBoost,9,2.0510664296639107,0.9732390174493276,-0.3882769252867406,1.0346494923475056,"{'learning_rate': 0.1, 'n_estimators': 200}",0.584962092162587,4,1.3615159427360681,8,12,-0.7765538505734811
AdaBoost,5,2.056856159397684,0.9445010430037648,-0.3921957394591127,1.2040024142918362,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5523053035446521,8,1.3366967824628775,5,13,-0.7843914789182254
AdaBoost,20,2.0702818906801355,0.9808826621680554,-0.4012830282348263,1.0900831783357914,"{'learning_rate': 0.05, 'n_estimators': 50}",0.5795996339332291,5,1.3821656904028816,10,15,-0.8025660564696525
AdaBoost,18,2.0712133091511027,0.9798751129742402,-0.4019134645543567,1.074410366746288,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5779616484198835,6,1.381788577528597,9,15,-0.8038269291087135
AdaBoost,12,2.103073584212543,0.9827539135718328,-0.4234782876441354,1.0753281851188203,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5592756259276974,7,1.4062322012159683,14,21,-0.8469565752882708
AdaBoost,13,2.1086169254019653,0.9759237581165316,-0.4272303322151773,1.0778873262820932,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5486934259013543,10,1.403154090331709,12,22,-0.8544606644303547
AdaBoost,7,2.1092793440926005,0.976759757305482,-0.4276786943792627,1.1260989192008657,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5490810629262193,9,1.4044384516847448,13,22,-0.8553573887585255
AdaBoost,6,2.120266414310696,0.9608485900296933,-0.4351153604178106,1.128547391568001,"{'learning_rate': 0.1, 'n_estimators': 50}",0.5257332296118826,15,1.3959639504475039,11,26,-0.8702307208356213
AdaBoost,11,2.1372282892382497,0.9792692727274112,-0.4465961097640816,1.101990597819298,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5326731629633296,12,1.4258653824914926,15,27,-0.8931922195281631
AdaBoost,14,2.141497155389407,0.9788223341056804,-0.4494855180685022,1.108366983029311,"{'learning_rate': 0.05, 'n_estimators': 200}",0.5293368160371783,14,1.4283078521741825,16,30,-0.8989710361370042
AdaBoost,8,2.1449801309364527,0.98281178978784,-0.4518429914849504,1.0952322225384172,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5309687983028897,13,1.4346547812727903,17,30,-0.9036859829699007
AdaBoost,15,2.1574591552638096,0.982103132501016,-0.4602894958366403,1.1199616930316196,"{'learning_rate': 0.1, 'n_estimators': 200}",0.5218136366643757,16,1.4423926283376562,18,34,-0.9205789916732805
AdaBoost,17,2.2036715822278143,0.9830343959486524,-0.4915686611955796,1.1310412295150414,"{'learning_rate': 0.1, 'n_estimators': 200}",0.49146573475307276,18,1.4746030571442321,20,38,-0.9831373223911594
AdaBoost,16,2.214132631336597,0.9844848446175845,-0.4986492866116925,1.1080597470403115,"{'learning_rate': 0.1, 'n_estimators': 200}",0.48583555800589195,19,1.483134131229277,21,40,-0.997298573223385
AdaBoost,3,2.261818033663241,0.917265172457342,-0.5309254444024192,1.215314129067731,"{'learning_rate': 0.1, 'n_estimators': 200}",0.3863397280549228,21,1.4481906168597611,19,40,-1.0618508888048384
