Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,5,1.9057652713632915,0.9911796596263326,-0.2899289428085525,1.0460990084254815,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.7012507168177801,1,1.2811086024348852,3,4,-0.5798578856171052
Gradient Boosting,21,2.0004142310717814,0.9484214164026114,-0.3539926732003673,1.0877252883353834,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.594428743202244,3,1.3024140896029786,4,7,-0.7079853464007345
Gradient Boosting,1,2.0506089129578773,0.7080491975626931,-0.387967252290911,0.9854660686382324,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.32008194527178213,19,1.0960164498536042,2,21,-0.7759345045818221
Gradient Boosting,7,2.067632224280662,0.998366241578871,-0.3994895852390776,1.082707731296454,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.5988766563397934,2,1.3978558268179486,7,9,-0.7989791704781553
Gradient Boosting,6,2.0825061520491164,0.9551528461833864,-0.4095570947115574,1.118850442229951,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.545595751471829,8,1.3647099408949437,6,14,-0.8191141894231146
Gradient Boosting,9,2.0927959020530764,0.9990692829100828,-0.4165217752752226,1.1002473540783335,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.5825475076348602,4,1.4155910581853055,8,12,-0.8330435505504453
Gradient Boosting,17,2.0991890009885013,0.9967324306676016,-0.4208489836019564,1.1273989739146362,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.5758834470656453,5,1.417581414269558,9,14,-0.8416979672039127
Gradient Boosting,14,2.114312058072372,0.923091609918544,-0.4310851177835155,1.1260435051090252,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.4920064921350285,14,1.3541767277020595,5,19,-0.8621702355670311
Gradient Boosting,16,2.118421566423273,0.996654214099437,-0.4338666637809136,1.1528369782948025,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.5627875503185233,6,1.4305208778803506,10,16,-0.8677333275618273
Gradient Boosting,8,2.122991203705296,0.9985857226339512,-0.4369596508747553,1.100131719387013,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.5616260717591959,7,1.4355453735087065,11,18,-0.8739193017495106
Gradient Boosting,2,2.1262362584806422,0.6399929063021363,-0.4391560861538621,1.119965807943335,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.20083682014827425,20,1.0791489924559985,1,21,-0.8783121723077243
Gradient Boosting,19,2.147893531429647,0.9965950267469804,-0.4538149445237815,1.1598261152671328,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.542780082223199,9,1.4504099712707619,12,21,-0.9076298890475629
Gradient Boosting,4,2.173395492038358,0.9902627029148868,-0.4710761033778348,1.1980075923120417,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",0.519186599537052,10,1.4613388062927215,13,23,-0.9421522067556695
