Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,7,1.526171759325922,-0.0159351170445825,-0.0329987399986972,0.9721041330106708,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0489338570432797,14,0.0170636229541147,1,15,-0.0659974799973944
KNN,1,1.5295655876634486,0.0224230880421474,-0.0352958735782003,0.97891651645349,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",-0.012872785536052898,3,0.0577189616203477,4,7,-0.0705917471564006
KNN,3,1.536922145824069,-0.0042070369420497,-0.040275205205988,0.928306001356168,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0444822421480377,9,0.0360681682639383,2,11,-0.080550410411976
KNN,14,1.5443816177592389,0.0189546872952135,-0.0453241946549145,0.9622673403806647,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.026369507359701002,4,0.064278881950128,5,9,-0.090648389309829
KNN,4,1.5583314272336466,0.0098751730750136,-0.0547662089775027,0.9772950260130248,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0448910359024891,10,0.0646413820525163,6,16,-0.1095324179550054
KNN,2,1.5631826124572377,0.0190968726334963,-0.0580497635268826,0.9509309431215276,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0389528908933863,8,0.0771466361603789,7,15,-0.1160995270537652
KNN,20,1.5674647937736823,-0.0246305405799567,-0.0609481842828054,0.9514676102676372,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0855787248627621,18,0.0363176437028487,3,21,-0.12189636856561081
KNN,13,1.5845850657164968,0.0267697392154705,-0.072536145622867,0.9712883717904788,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0457664064073965,12,0.09930588483833751,11,23,-0.145072291245734
KNN,17,1.5852455891976505,0.0444206348594793,-0.0729832250027608,0.9737721245091794,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.028562590143281504,6,0.11740385986224011,13,19,-0.1459664500055216
KNN,16,1.5852881389937894,0.0280332169442254,-0.0730120250939239,0.9750156799790416,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.044978808149698506,11,0.1010452420381493,12,23,-0.1460240501878478
KNN,10,1.585427210314287,0.0231620490469849,-0.0731061563723767,0.970965336341084,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.049944107325391805,15,0.0962682054193616,10,25,-0.1462123127447534
KNN,12,1.5909065413899497,0.0664707687556565,-0.0768148753043107,0.9706543857842652,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.010344106548654211,2,0.1432856440599672,19,21,-0.15362975060862138
KNN,19,1.5974693981733177,0.0433594641032438,-0.0812569852742957,0.9787023966533798,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0378975211710519,7,0.1246164493775395,14,21,-0.1625139705485914
KNN,11,1.5977410106150636,0.0530903921433038,-0.0814408278256841,0.9579323707116978,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0283504356823803,5,0.1345312199689879,16,21,-0.1628816556513682
KNN,8,1.6123114480755525,0.0833816695855121,-0.0913029180170021,0.9867638169681444,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.007921248431490002,1,0.1746845876025142,20,21,-0.1826058360340042
KNN,18,1.6146648108737962,0.0462996700457003,-0.0928958060982356,0.9914291831038377,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0465961360525353,13,0.1391954761439359,18,31,-0.1857916121964712
KNN,5,1.6207231739992205,-0.0012581194096783,-0.096996446433621,0.9896250875311956,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0982545658432993,20,0.09573832702394271,9,29,-0.193992892867242
KNN,15,1.6240914246887288,0.0311328846381464,-0.0992762676247815,0.9973936069121362,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.06814338298663511,17,0.1304091522629279,15,32,-0.198552535249563
KNN,21,1.6297889194331965,-0.0084018594882004,-0.1031326519774731,0.996149134740506,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.11153451146567349,21,0.0947307924892727,8,29,-0.2062653039549462
KNN,6,1.648339885331602,0.0204339041552004,-0.1156889873189657,0.995276903126478,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.0952550831637653,19,0.1361228914741661,17,36,-0.2313779746379314
KNN,9,1.6544554990409173,0.0599880110849994,-0.1198283780641014,0.9969198786284214,"{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'}",-0.05984036697910201,16,0.1798163891491008,21,37,-0.2396567561282028
