Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,1.896115067759064,0.3561634844868554,-0.2833971431582296,0.9903941433927504,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.0727663413286258,2,0.639560627645085,6,8,-0.5667942863164592
MLP,2,2.3152252011182908,0.6806959768576055,-0.5670744141044486,1.0410532207939764,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",0.11362156275315693,1,1.247770390962054,11,12,-1.1341488282088972
MLP,17,3.1055221302381,-0.6104152306519741,-1.1019917502542005,1.299652059438602,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.7124069809061746,3,0.49157651960222637,3,6,-2.203983500508401
MLP,13,3.2082343576152708,-0.975186937492112,-1.171513152950015,1.4410717931940502,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.1467000904421267,7,0.19632621545790285,2,9,-2.34302630590003
MLP,19,3.238043177327335,-0.6272614197180599,-1.1916894358718082,1.3247353815916705,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.8189508555898681,4,0.5644280161537483,4,8,-2.3833788717436164
MLP,14,3.2685032594986847,-1.0389967500871156,-1.2123065297938962,1.5085002977493993,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.2513032798810118,9,0.17330977970678063,1,10,-2.4246130595877924
MLP,16,3.4320568058576457,-0.7460988386515712,-1.3230087533665218,1.399404583049412,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-2.069107592018093,6,0.5769099147149506,5,11,-2.6460175067330436
MLP,20,3.5328788778038027,-0.497597893124194,-1.391250792735956,1.4667821006661297,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.88884868586015,5,0.8936528996117621,7,12,-2.782501585471912
MLP,21,4.024186204073687,-0.5100026940782865,-1.723795177657009,1.6148305391668358,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.2337978717352955,8,1.2137924835787226,9,17,-3.447590355314018
MLP,15,4.052255464164758,-0.6228724077854457,-1.7427940289524742,1.626227845653768,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.3656664367379197,11,1.1199216211670284,8,19,-3.4855880579049483
MLP,18,4.106628806819935,-0.5387996366959313,-1.779596960279891,1.5972304392809862,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.3183965969758225,10,1.2407973235839596,10,20,-3.559193920559782
MLP,4,6.106735222611302,0.2047811204396562,-3.1333812868149,1.694866401207554,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-2.9286001663752437,13,3.338162407254556,12,25,-6.2667625736298
MLP,12,6.982978888955873,0.981214912931786,-3.726472200556856,2.1367640536805705,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-2.74525728762507,12,4.7076871134886416,14,26,-7.452944401113712
MLP,7,7.206012169642239,0.7304189050246821,-3.877433648060349,2.092221405848484,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-3.1470147430356668,15,4.607852553085031,13,28,-7.754867296120699
MLP,10,7.330248033372268,0.973842687328376,-3.961523456374225,2.1437923399952785,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",-2.9876807690458493,14,4.935366143702601,15,29,-7.92304691274845
MLP,8,7.692549047180979,0.7540654785059537,-4.206749125423396,2.146137051106043,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-3.4526836469174427,16,4.96081460392935,16,32,-8.413498250846793
MLP,11,8.643245080658595,0.9194810681785002,-4.850233581680073,2.3919448605330462,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-3.930752513501573,17,5.769714649858574,17,34,-9.700467163360146
MLP,9,9.413001746852148,0.9999765447858754,-5.371248114562494,2.452528567056552,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-4.371271569776619,18,6.3712246593483695,18,36,-10.742496229124988
