Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,1,1.6392689485140914,0.2094578064444726,-0.1095492679552454,0.9656332997574804,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.09990853848922719,19,0.319007074399718,1,20,-0.21909853591049078
SVR,21,1.649496359911154,0.9872040164781511,-0.1164717542495012,0.9485820035777311,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.87073226222865,1,1.1036757707276523,4,5,-0.23294350849900236
SVR,19,1.6525016012516232,0.987157501833534,-0.1185058703305559,0.9434706820500248,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8686516315029781,2,1.1056633721640898,5,7,-0.23701174066111175
SVR,20,1.6526581888875598,0.9870588189001346,-0.1186118576348247,0.9446416223640994,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8684469612653098,3,1.1056706765349593,6,9,-0.23722371526964947
SVR,15,1.6527931630135455,0.9870891224023972,-0.118703215701978,0.9444963260315558,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8683859067004192,4,1.1057923381043753,7,11,-0.23740643140395612
SVR,18,1.6554264169891917,0.9869155863431336,-0.1204855498477361,0.9385318110210936,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8664300364953975,5,1.1074011361908698,8,13,-0.24097109969547226
SVR,14,1.6576141141515832,0.9870514829728166,-0.1219663061246363,0.9465017100097974,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8650851768481803,7,1.1090177890974529,9,16,-0.24393261224927254
SVR,13,1.657865641749074,0.9877887850921754,-0.1221365541256853,0.9606784123758724,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.86565223096649,6,1.1099253392178607,10,16,-0.24427310825137072
SVR,12,1.661398146800668,0.9877748263981468,-0.1245275518918527,0.9604466946302316,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8632472745062941,8,1.1123023782899994,11,19,-0.24905510378370532
SVR,9,1.6737836835554758,0.9877300492668268,-0.132910778605191,0.9621685985946954,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8548192706616359,9,1.120640827872018,12,21,-0.26582155721038203
SVR,17,1.6756797270227686,0.9867560151936304,-0.1341941272851334,0.9477856560130404,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8525618879084971,10,1.1209501424787638,13,23,-0.2683882545702667
SVR,16,1.67676790058242,0.9866801849397944,-0.1349306642503545,0.9524579362134328,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.8517495206894399,12,1.1216108491901489,14,26,-0.269861328500709
SVR,8,1.6774055735183744,0.9876953807772058,-0.1353622770982183,0.9628668096269472,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8523331036789874,11,1.123057657875424,15,26,-0.2707245541964367
SVR,11,1.680994092212423,0.9884728766959664,-0.1377911880427185,0.9414005534525868,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8506816886532479,13,1.126264064738685,16,29,-0.2755823760854371
SVR,10,1.682109006866476,0.9884749627872856,-0.1385458248821212,0.9492016278030192,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.8499291379051644,14,1.127020787669407,17,31,-0.2770916497642425
SVR,3,1.6956872324536456,0.1988586895516191,-0.1477363303656973,0.9635829550337506,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.051122359185921784,20,0.3465950199173164,2,22,-0.2954726607313946
SVR,7,1.7372057834258643,0.9877386549694754,-0.175838416896126,0.995202969745074,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.8119002380733494,15,1.1635770718656016,18,33,-0.3516768337922521
SVR,2,1.7415972355034006,0.2069157370135886,-0.1788107982386186,0.9716513764177444,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.02810493877497,21,0.3857265352522072,3,24,-0.3576215964772372
SVR,6,1.821852920627344,0.9881694187275188,-0.2331323522211028,1.019868120331558,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.7550370665064161,16,1.2213017709486216,19,35,-0.46626470444220547
SVR,5,1.913401621794152,0.9877298219599446,-0.2950976535549443,1.0504602438567443,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.6926321684050003,17,1.282827475514889,20,37,-0.5901953071098887
SVR,4,1.9891575503034955,0.9879245635889096,-0.3463735196030404,1.0670120864051091,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.6415510439858692,18,1.33429808319195,21,39,-0.6927470392060808
