Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,1,1.916137890307114,0.6901669275782742,-0.2969497137237398,0.9877643617356934,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.39321721385453445,17,0.987116641302014,1,18,-0.5938994274474796
XGBoost,2,2.011566136237376,0.7385352797780396,-0.3615409087867292,1.1054125297793502,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.3769943709913104,19,1.1000761885647687,2,21,-0.7230818175734584
XGBoost,5,2.014107325769959,0.9931624957217868,-0.3632609285480799,1.1163228556003475,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.6299015671737069,1,1.3564234242698667,4,5,-0.7265218570961598
XGBoost,6,2.0657808513248983,0.9065044596202352,-0.3982364720695504,1.0864575458666872,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.5082679875506848,5,1.3047409316897856,3,8,-0.7964729441391007
XGBoost,7,2.070548893005097,0.9555279578594106,-0.4014637504003211,1.093336703645003,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.5540642074590895,2,1.3569917082597316,5,7,-0.8029275008006421
XGBoost,16,2.102409426090599,0.9562569247883096,-0.4230287481352723,1.038389153998452,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.5332281766530373,4,1.3792856729235818,6,10,-0.8460574962705445
XGBoost,10,2.1398642203996627,0.9449599907178512,-0.4483802559794889,1.0373779557812337,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.4965797347383623,8,1.3933402466973401,7,15,-0.8967605119589779
XGBoost,8,2.145299989509176,0.9900321330136852,-0.4520594897267644,1.0971479763528555,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.5379726432869207,3,1.4420916227404497,13,16,-0.9041189794535289
XGBoost,4,2.156184532731596,0.9562965382853016,-0.459426759737833,1.205618936449735,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.4968697785474686,7,1.4157232980231345,11,18,-0.9188535194756658
XGBoost,9,2.157160568276669,0.9405705383106764,-0.4600873953983306,1.0332225099296388,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.4804831429123458,9,1.400657933709007,8,17,-0.9201747907966613
XGBoost,13,2.1699936338044505,0.9365254481794236,-0.4687735347135893,1.1016280348495042,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.46775191346583433,10,1.405298982893013,10,20,-0.9375470694271786
XGBoost,12,2.208789531588126,0.9382807394318436,-0.4950327766912785,1.0727623506870174,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.44324796274056516,12,1.433313516123122,12,24,-0.9900655533825569
XGBoost,3,2.213618714160524,0.9068933443247388,-0.4983014386109001,1.1172180956904576,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.4085919057138387,16,1.4051947829356388,9,25,-0.9966028772218001
XGBoost,17,2.214556148021114,0.9992096917803038,-0.4989359464838867,1.0716534860577829,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.5002737452964171,6,1.4981456382641904,14,20,-0.9978718929677733
XGBoost,14,2.272132498921403,0.987784180756105,-0.5379068536378695,1.06587024968683,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.44987732711823547,11,1.5256910343939745,15,26,-1.075813707275739
XGBoost,15,2.277524521529117,0.984529112326612,-0.5415564772963974,1.089774600026728,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.44297263503021456,13,1.5260855896230094,16,29,-1.0831129545927949
XGBoost,18,2.313412986094573,0.9877918544788346,-0.5658478052220162,1.1033835310295956,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.4219440492568184,15,1.5536396597008508,17,32,-1.1316956104440323
XGBoost,19,2.3175648357909484,0.9931424979928616,-0.5686580102194625,1.1163800312182497,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.4244844877733991,14,1.561800508212324,18,32,-1.137316020438925
XGBoost,11,2.3837700976037577,0.9986492277330709,-0.6134694487852781,1.0938474814468542,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}",0.38517977894779276,18,1.612118676518349,19,37,-1.2269388975705562
XGBoost,21,2.407798364505332,0.9883072675278974,-0.6297331289916532,1.119307130402965,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.3585741385362442,20,1.6180403965195507,20,40,-1.2594662579833065
