Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
AdaBoost,5,0.8729858110282857,0.960962557399979,0.293018597652804,0.7190597030468505,"{'learning_rate': 0.1, 'n_estimators': 200}",1.253981155052783,1,0.667943959747175,4,5,0.586037195305608
AdaBoost,4,0.874439581884814,0.9286456544240952,0.291841271577333,0.6814305996007768,"{'learning_rate': 0.1, 'n_estimators': 100}",1.2204869260014282,2,0.6368043828467622,2,4,0.583682543154666
AdaBoost,6,1.0109832062179267,0.9661974428760476,0.1812623803821986,0.7774507410305692,"{'learning_rate': 0.1, 'n_estimators': 200}",1.1474598232582462,3,0.7849350624938489,6,9,0.3625247607643973
AdaBoost,2,1.0225677961000863,0.7870052153554792,0.1718806819662078,0.8140060219162959,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9588858973216869,17,0.6151245333892714,1,18,0.3437613639324155
AdaBoost,12,1.0794457354320417,0.9714107598290216,0.1258184839286944,0.8391971857510697,"{'learning_rate': 0.1, 'n_estimators': 200}",1.097229243757716,4,0.8455922759003272,7,11,0.25163696785738887
AdaBoost,8,1.0867613786130794,0.9679851602209886,0.1198939618919504,0.8532623335691656,"{'learning_rate': 0.1, 'n_estimators': 200}",1.087879122112939,5,0.8480911983290382,8,13,0.23978792378390068
AdaBoost,7,1.112008392673308,0.9494395939399212,0.0994478456093096,0.8697394220368285,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0488874395492307,7,0.8499917483306115,9,16,0.19889569121861916
AdaBoost,10,1.1163727949115632,0.9678665847441053,0.0959133652365136,0.8540009911026509,"{'learning_rate': 0.1, 'n_estimators': 100}",1.0637799499806189,6,0.8719532195075916,10,16,0.19182673047302723
AdaBoost,3,1.1325461912042016,0.8432090436725262,0.0828154543114574,0.8607216459563645,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9260244979839837,18,0.7603935893610688,5,23,0.16563090862291485
AdaBoost,13,1.1458222728020933,0.9737316067701184,0.0720639132586908,0.8380748844316891,"{'learning_rate': 0.1, 'n_estimators': 50}",1.0457955200288092,8,0.9016676935114276,11,19,0.14412782651738154
AdaBoost,22,1.1676905377809303,0.9771405268289018,0.0543540530910583,0.8799558606947977,"{'learning_rate': 0.05, 'n_estimators': 50}",1.0314945799199602,9,0.9227864737378435,12,21,0.10870810618211668
AdaBoost,14,1.17275650501929,0.9753563195976214,0.0502514152506999,0.8728609034852319,"{'learning_rate': 0.1, 'n_estimators': 200}",1.0256077348483212,10,0.9251049043469215,13,23,0.10050283050139974
AdaBoost,19,1.182387722409171,0.9765025638820358,0.0424516417714628,0.8936660058382124,"{'learning_rate': 0.05, 'n_estimators': 100}",1.0189542056534986,11,0.9340509221105731,15,26,0.08490328354292553
AdaBoost,17,1.1827809205795474,0.975720123651204,0.0421332130062053,0.8955182259519231,"{'learning_rate': 0.05, 'n_estimators': 100}",1.0178533366574092,12,0.9335869106449987,14,26,0.08426642601241052
AdaBoost,1,1.195715969760136,0.6990504491449823,0.0316578546514678,0.9171560251508842,"{'learning_rate': 0.1, 'n_estimators': 50}",0.73070830379645,24,0.6673925944935145,3,27,0.06331570930293551
AdaBoost,18,1.2182366069377006,0.9801864697065618,0.0134196754595369,0.881926252465963,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9936061451660987,13,0.9667667942470248,18,31,0.026839350919073857
AdaBoost,11,1.2213900515566378,0.9554870426380352,0.0108658805744925,0.9206890003389296,"{'learning_rate': 0.1, 'n_estimators': 50}",0.9663529232125276,16,0.9446211620635427,16,32,0.021731761148984896
AdaBoost,9,1.2251621185699384,0.9621413375147756,0.0078110987061941,0.94972831392712,"{'learning_rate': 0.05, 'n_estimators': 50}",0.9699524362209697,15,0.9543302388085815,17,32,0.015622197412388239
AdaBoost,16,1.2270288820908608,0.9775481617248152,0.0062993134340856,0.9082360935169602,"{'learning_rate': 0.1, 'n_estimators': 200}",0.9838474751589008,14,0.9712488482907295,19,33,0.012598626868171259
AdaBoost,21,1.3021393801160273,0.9779294839430964,-0.0545283936763887,0.9289131700658354,"{'learning_rate': 0.05, 'n_estimators': 100}",0.9234010902667077,21,1.032457877619485,20,41,-0.10905678735277735
AdaBoost,20,1.3040775979551968,0.9812651713544044,-0.0560980457241997,0.947516624153961,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9251671256302046,19,1.037363217078604,21,40,-0.11219609144839937
AdaBoost,23,1.3099086493019902,0.9846301593702614,-0.0608202815340332,0.8916681841924088,"{'learning_rate': 0.1, 'n_estimators': 100}",0.9238098778362283,20,1.0454504409042946,22,42,-0.12164056306806637
AdaBoost,24,1.4080276428237597,0.9808835334527244,-0.1402812564555011,0.9467817451678208,"{'learning_rate': 0.1, 'n_estimators': 100}",0.8406022769972232,23,1.1211647899082255,23,46,-0.2805625129110023
AdaBoost,25,1.410647420190982,0.9848503017227206,-0.1424028646804216,0.943262164252998,"{'learning_rate': 0.1, 'n_estimators': 200}",0.842447437042299,22,1.1272531664031422,24,46,-0.28480572936084325
AdaBoost,15,1.634799847785459,0.9684116891945878,-0.3239311273375302,1.099914601943223,"{'learning_rate': 0.1, 'n_estimators': 50}",0.6444805618570575,25,1.292342816532118,25,50,-0.6478622546750605
