Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,5,0.7940979545752688,0.8276905858211833,0.3569053718463322,0.7046079738054061,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1845959576675154,1,0.47078521397485107,1,2,0.7138107436926643
Gradient Boosting,4,0.9066316275033424,0.8824710407183772,0.2657707704668919,0.7426979302682217,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1482418111852692,2,0.6167002702514853,4,6,0.5315415409337839
Gradient Boosting,6,0.931449841265516,0.8314250574303805,0.2456719150815258,0.753725428822205,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0770969725119064,5,0.5857531423488547,2,7,0.4913438301630517
Gradient Boosting,8,1.031546980105157,0.9040275042645758,0.1646089531252077,0.778686968337838,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0686364573897835,6,0.739418551139368,6,12,0.32921790625041547
Gradient Boosting,7,1.0398998304552522,0.9396361196180468,0.1578444561774844,0.818856483292574,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0974805757955313,3,0.7817916634405624,7,10,0.3156889123549689
Gradient Boosting,15,1.0904823698785446,0.9306434780885124,0.1168805433578259,0.8469547867137287,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0475240214463384,8,0.8137629347306865,8,16,0.23376108671565188
Gradient Boosting,11,1.102481730976559,0.980675527103624,0.1071629453978406,0.8397008145495461,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0878384725014647,4,0.8735125817057834,9,13,0.21432589079568132
Gradient Boosting,12,1.1331062902919944,0.9811380597753164,0.0823618620152955,0.885653113139123,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.063499921790612,7,0.8987761977600209,11,18,0.1647237240305911
Gradient Boosting,13,1.1668662093989317,0.9889720964139544,0.0550216296176615,0.863785444644963,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.0439937260316159,9,0.9339504667962929,12,21,0.11004325923532299
Gradient Boosting,2,1.167905515018846,0.7426627310929692,0.0541799552910546,0.8964246477055514,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.7968426863840238,21,0.6884827758019146,5,26,0.10835991058210914
Gradient Boosting,16,1.1967373157706842,0.922473916764802,0.0308307247878465,0.873747333413272,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9533046415526485,13,0.8916431919769554,10,23,0.061661449575693084
Gradient Boosting,18,1.227647989983763,0.9990084584714872,0.0057979332732641,0.8835872000067755,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",1.0048063917447514,10,0.9932105251982232,17,27,0.011595866546528222
Gradient Boosting,20,1.23099016000769,0.937174683757842,0.0030913004499706,0.8512688295047669,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9402659842078126,15,0.9340833833078713,13,28,0.006182600899941271
Gradient Boosting,9,1.2323839075006078,0.9436566136058052,0.0019625838722061,0.9265559535748452,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9456191974780113,14,0.9416940297335992,14,28,0.003925167744412095
Gradient Boosting,10,1.2402732644025194,0.9627738254409144,-0.0044265561752836,0.8884648497831132,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9583472692656307,12,0.967200381616198,15,27,-0.008853112350567294
Gradient Boosting,1,1.24792671538999,0.5967880667229302,-0.0106246494816846,0.9339982270810778,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.5861634172412455,24,0.6074127162046148,3,27,-0.021249298963369245
Gradient Boosting,17,1.255098559496735,0.9890221676964284,-0.0164327168522524,0.8783997634309108,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.9725894508441759,11,1.0054548845486808,18,29,-0.0328654337045049
Gradient Boosting,19,1.28550335571245,0.9358582694583548,-0.0410558266383636,0.8896559421702404,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8948024428199912,16,0.9769140960967184,16,32,-0.0821116532767272
Gradient Boosting,22,1.3363613682082625,0.9354890503434136,-0.0822428293830346,0.8866254799716037,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8532462209603789,17,1.017731879726448,19,36,-0.16448565876606913
Gradient Boosting,21,1.3716352445008035,0.9361154123969856,-0.1108091293302786,0.8930530363309453,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.825306283066707,19,1.0469245417272641,20,39,-0.22161825866055718
Gradient Boosting,3,1.3892194172849242,0.9580145483520626,-0.1250495476474902,0.958215739433497,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.8329650007045724,18,1.0830640959995528,22,40,-0.2500990952949804
Gradient Boosting,23,1.391267683105934,0.9337231766646246,-0.1267083212772832,0.8974133940994489,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.8070148553873413,20,1.0604314979419078,21,41,-0.25341664255456653
Gradient Boosting,14,1.4912264193631046,0.9968854419881138,-0.2076591988782692,0.9806624006294128,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7892262431098446,22,1.204544640866383,23,45,-0.41531839775653834
Gradient Boosting,24,1.5315147163164131,0.9885628393734586,-0.2402863920335396,0.9220698305892616,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.7482764473399189,23,1.228849231406998,24,47,-0.48057278406707915
Gradient Boosting,25,1.7881866120173835,0.990206616467306,-0.4481503165938274,0.984904438199138,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.5420562998734786,25,1.4383569330611334,25,50,-0.8963006331876548
