Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
MLP,1,1.0466472896242716,0.4064922967462103,0.1523800739557681,0.8636919410142799,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",0.5588723707019784,2,0.2541122227904422,1,3,0.30476014791153616
MLP,3,1.1366106377994496,0.9428335683934578,0.0795238909007198,0.9134605723172612,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",1.0223574592941775,1,0.863309677492738,2,3,0.15904778180143953
MLP,2,1.6031520979147935,0.7700040712573993,-0.2983014202998619,1.009953009183175,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.47170265095753744,3,1.0683054915572612,3,6,-0.5966028405997237
MLP,4,2.00408544341887,0.9921577914117792,-0.622994462582356,1.2023360984801774,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.01}",0.36916332882942315,4,1.6151522539941352,4,8,-1.245988925164712
MLP,19,2.733645150545222,0.5303062654383881,-1.213823246194151,1.4381194863102995,"{'alpha': 0.0001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.6835169807557628,5,1.744129511632539,5,10,-2.427646492388302
MLP,24,3.209484582081752,0.6270199078414993,-1.5991784539764322,1.4665275182065165,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.01}",-0.9721585461349329,6,2.2261983618179313,7,13,-3.1983569079528644
MLP,5,3.504491211999965,0.3689667634225295,-1.838087492687648,1.4408746188415502,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.4691207292651185,10,2.2070542561101774,6,16,-3.6761749853752956
MLP,18,4.112972344720001,0.9945718968205656,-2.3308616467205856,1.671381480269832,"{'alpha': 0.01, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.3362897499000201,7,3.325433543541151,10,17,-4.661723293441171
MLP,14,4.113218219747434,0.9810858795526408,-2.331060766877524,1.5570733065274829,"{'alpha': 0.01, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.3499748873248834,8,3.3121466464301648,9,17,-4.662121533755048
MLP,13,4.152936894194094,0.9883948071774432,-2.363226655263036,1.5485388935471722,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100), 'learning_rate_init': 0.001}",-1.3748318480855928,9,3.351621462440479,11,20,-4.726453310526072
MLP,16,4.29813036086797,0.9959036949664538,-2.480810560275005,1.700825365782298,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.484906865308551,11,3.476714255241459,13,24,-4.96162112055001
MLP,17,4.34335903184629,0.9944577026817396,-2.5174386804925475,1.7074579473113345,"{'alpha': 0.001, 'hidden_layer_sizes': (200, 100), 'learning_rate_init': 0.001}",-1.5229809778108079,12,3.511896383174287,14,26,-5.034877360985095
MLP,10,4.495691845573728,0.987489369139114,-2.6408043353657504,1.6101473974467408,"{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}",-1.6533149662266364,13,3.6282937045048644,18,31,-5.281608670731501
