Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,5,0.923325682379016,0.7722804819625498,0.2522512078602982,0.7671985833556293,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",1.024531689822848,1,0.5200292741022516,3,4,0.5045024157205964
Random Forest,4,0.9387012542459676,0.7550528926874033,0.2397994094197445,0.7639359020794607,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9948523021071478,2,0.5152534832676587,2,4,0.47959881883948907
Random Forest,6,1.013966599235825,0.715465243896402,0.17884630058697,0.8178175971090489,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.894311544483372,6,0.5366189433094319,4,10,0.3576926011739401
Random Forest,10,1.0460583221019144,0.7442808994046598,0.1528570451500679,0.8219008881536237,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8971379445547277,5,0.5914238542545919,8,13,0.30571409030013585
Random Forest,8,1.0532091650680253,0.783473520564688,0.1470659854051325,0.7912134565124862,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9305395059698205,3,0.6364075351595555,12,15,0.294131970810265
Random Forest,11,1.0904470969888238,0.8007318899298195,0.1169091088588052,0.8215107305299398,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9176409987886247,4,0.6838227810710142,13,17,0.23381821771761047
Random Forest,7,1.1223062968892776,0.7089055585039733,0.0911081605057594,0.84773658607505,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8000137190097327,10,0.6177973979982139,10,20,0.18221632101151886
Random Forest,9,1.1480009097703268,0.7957031250903449,0.0702995594747585,0.8532147410294111,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8660026845651034,7,0.7254035656155864,16,23,0.14059911894951704
Random Forest,14,1.1496575538671985,0.6986420885387055,0.0689579379363546,0.8461446898002,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7676000264750601,11,0.6296841506023508,11,22,0.13791587587270926
Random Forest,2,1.1511918068548237,0.5480424269829826,0.0677154339746132,0.8610575943500327,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6157578609575958,21,0.48032699300836934,1,22,0.13543086794922643
Random Forest,12,1.1589892368225674,0.779110235848781,0.0614007403064466,0.840548293620418,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8405109761552276,8,0.7177094955423344,15,23,0.1228014806128932
Random Forest,20,1.1673344545906297,0.7806882651816632,0.0546424245514542,0.8689001320209143,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8353306897331174,9,0.726045840630209,17,26,0.10928484910290837
Random Forest,16,1.1802590798063517,0.6057332816156578,0.0441755079711491,0.8535599580896894,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.6499087895868069,18,0.5615577736445087,5,23,0.08835101594229822
Random Forest,18,1.2102006620144512,0.7106176582210206,0.0199275287822979,0.8892616128877352,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7305451870033185,12,0.6906901294387228,14,26,0.03985505756459573
Random Forest,3,1.2126293339754033,0.5817449161160233,0.0179606859228789,0.877149573855306,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.5997056020389022,22,0.5637842301931444,6,28,0.03592137184575783
Random Forest,15,1.253299060326822,0.7296015437203645,-0.0149754051404285,0.889658664776357,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.714626138579936,13,0.744576948860793,19,32,-0.029950810280857
