Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,3,0.9839571640854072,0.5928622512089711,0.2031492300026262,0.798566693184232,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7960114812115973,20,0.3897130212063449,3,23,0.4062984600052524
SVR,8,0.9889027931934706,0.989728051357536,0.1991440471484062,0.743084134209499,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.1888720985059422,1,0.7905840042091299,8,9,0.39828809429681233
SVR,7,0.9999150234244272,0.9896447050720972,0.1902258701593882,0.7439460957396037,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.1798705752314853,2,0.799418834912709,9,11,0.38045174031877627
SVR,11,1.015413186873348,0.8592190832044516,0.177674791790751,0.8017407716595583,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",1.0368938749952026,5,0.6815442914137007,7,12,0.3553495835815019
SVR,2,1.0199550795290242,0.4546409910114232,0.1739965720551541,0.7813896405213504,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.6286375630665773,24,0.2806444189562691,2,26,0.34799314411030813
SVR,1,1.0259041152442785,0.3664071757031695,0.1691787874366045,0.8458136327536813,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.535585963139774,25,0.197228388266565,1,26,0.33835757487320905
SVR,4,1.0272525892066269,0.6108381653164259,0.1680867353082812,0.7806558813449154,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7789249006247071,21,0.44275143000814465,4,25,0.33617347061656244
SVR,9,1.0856142314122024,0.9896526323702508,0.1208229709623491,0.8477509895125531,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.1104756033326,3,0.8688296614079017,11,14,0.24164594192469824
SVR,6,1.0866926241702544,0.6198795584478407,0.119949642192583,0.8142719619189527,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7398292006404237,22,0.49992991625525773,5,27,0.23989928438516595
SVR,5,1.1146229542172206,0.6206707797856594,0.0973304613821124,0.8365185435654501,"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7180012411677719,23,0.523340318403547,6,29,0.19466092276422486
SVR,10,1.1185474207909956,0.9902869776946834,0.0941522598045586,0.8429884543188115,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.084439237499242,4,0.8961347178901249,12,16,0.1883045196091171
SVR,17,1.1814435140589783,0.9902094452152704,0.0432163022448568,0.8601044644746749,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0334257474601272,6,0.9469931429704136,13,19,0.08643260448971357
SVR,14,1.1818230458172958,0.9902423007653384,0.0429089411270232,0.8707074316496546,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0331512418923616,7,0.9473333596383152,14,21,0.08581788225404641
SVR,20,1.1922831239044536,0.990228133919046,0.034437920657619,0.861374787859389,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.024666054576665,8,0.955790213261427,15,23,0.06887584131523805
SVR,19,1.195344417562075,0.990197507741098,0.0319587535787032,0.8647493444350253,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0221562613198012,9,0.9582387541623949,16,25,0.0639175071574063
SVR,18,1.1958348141972697,0.990231585976673,0.031561609322203,0.8626461822812418,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0217931952988761,10,0.9586699766544701,17,27,0.06312321864440607
SVR,15,1.2018407552298025,0.9901616552511482,0.0266977403337791,0.8877849164601787,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0168593955849272,11,0.963463914917369,18,29,0.05339548066755817
SVR,22,1.2179234306579132,0.990016457069362,0.0136732990610536,0.8649987260710631,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",1.0036897561304157,12,0.9763431580083084,20,32,0.02734659812210727
SVR,21,1.2357137956950046,0.9901414628430326,-0.0007341025980598,0.8756345161647606,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9894073602449728,13,0.9908755654410925,22,35,-0.0014682051961196763
SVR,25,1.2367887686235024,0.9899423732513524,-0.0016046618429799,0.8671926073344156,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9883377114083725,14,0.9915470350943323,23,37,-0.0032093236859598306
SVR,16,1.2438328331456945,0.8201796177540269,-0.0073092478181602,0.80238621208749,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8128703699358667,18,0.8274888655721871,10,28,-0.01461849563632045
SVR,13,1.2636114636768918,0.9902245443886938,-0.0233268322654747,0.9166885466317468,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9668977121232191,15,1.0135513766541684,24,39,-0.046653664530949324
SVR,12,1.2668465639520894,0.9902099059770292,-0.0259467554078669,0.920787927259792,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.9642631505691622,16,1.016156661384896,25,41,-0.05189351081573379
SVR,24,1.328133935707875,0.898653895595358,-0.0755799011963902,0.7792552902466336,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8230739943989678,17,0.9742337967917483,19,36,-0.15115980239278048
SVR,23,1.3443014571794591,0.8950548967844006,-0.0886730544390479,0.7851938257820897,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8063818423453527,19,0.9837279512234486,21,40,-0.17734610887809588
