Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,5,0.8293602269522681,0.9717400974979762,0.3283484692482531,0.6983312749563605,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.3000885667462292,1,0.6433916282497231,2,3,0.6566969384965061
XGBoost,7,0.9016363190848132,0.9733356226397704,0.2698161857603303,0.7226699102052853,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.2431518084001008,2,0.7035194368794401,4,6,0.5396323715206607
XGBoost,6,0.9308305130424822,0.9746011521638542,0.2461734736751505,0.775042516360576,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.2207746258390046,3,0.7284276784887037,6,9,0.49234694735030093
XGBoost,4,0.9476640810107396,0.902579788589353,0.2325409273744412,0.7322491270444355,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1351207159637942,6,0.6700388612149117,3,9,0.4650818547488824
XGBoost,10,0.9645871609739616,0.9292886790276188,0.2188358904158911,0.7958543844390334,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",1.1481245694435098,5,0.7104527886117277,5,10,0.43767178083178215
XGBoost,8,0.9826827163035148,0.9896416267632674,0.2041813325507756,0.7832729248333777,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.193822959314043,4,0.7854602942124917,8,12,0.4083626651015513
XGBoost,11,1.0661890097714095,0.9516646011142296,0.1365543497121781,0.8380500542490109,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0882189508264077,7,0.8151102514020514,9,16,0.27310869942435634
XGBoost,1,1.1627495312846277,0.636460332097659,0.0583554923557447,0.9001452270844529,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.6948158244534036,24,0.5781048397419143,1,25,0.11671098471148933
XGBoost,9,1.1689661524958637,0.9310039386123592,0.0533210055104154,0.904497121509753,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.9843249441227746,9,0.8776829331019438,11,20,0.10664201102083082
XGBoost,12,1.169739707369339,0.9314422881441948,0.0526945475516109,0.8859574702748084,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.9841368356958057,10,0.878747740592584,12,22,0.1053890951032217
XGBoost,16,1.205129854960864,0.9167386116260806,0.0240340861128854,0.8669195000031541,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.940772697738966,13,0.8927045255131952,13,26,0.048068172225770756
XGBoost,14,1.206884854080055,0.9916995499935934,0.0226128124533031,0.9120696452626014,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",1.0143123624468966,8,0.9690867375402903,15,23,0.04522562490660631
XGBoost,3,1.2083308067254042,0.8407149356310621,0.0214418179010176,0.8984931134878548,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.8621567535320798,18,0.8192731177300445,10,28,0.04288363580203525
XGBoost,17,1.2085926661270934,0.9336576118855282,0.0212297529113175,0.8716755691865039,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.1, 'subsample': 0.8}",0.9548873647968457,12,0.9124278589742107,14,26,0.04245950582263491
XGBoost,13,1.2737585279265,0.9989463808592948,-0.0315443606860628,0.9589665479827348,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.8}",0.967402020173232,11,1.0304907415453575,19,30,-0.06308872137212551
XGBoost,2,1.286619762921934,0.6888405923222584,-0.041959941143526,0.8890920664128006,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'reg_alpha': 0.5, 'reg_lambda': 0.5, 'subsample': 0.8}",0.6468806511787324,25,0.7308005334657843,7,32,-0.08391988228705194
