,PC1,PC2,PC3
MACCS_sim_score,-4.54887237828025e-10,7.305112013469127e-06,-7.175706961785422e-05
ECFP4_sim_score,-4.952261143240021e-09,-1.340154077738769e-06,-8.409023299272115e-05
MCSS_rdkit_sim_score,-2.928180651292245e-09,-2.169293313121969e-06,-8.281891012831458e-05
rdkit_MaxAbsEStateIndex,1.2502366410017463e-08,-7.816435155637804e-06,-5.806179379667669e-06
rdkit_MinAbsEStateIndex,-1.3363207554002679e-09,8.606520236921563e-07,1.1781160034893248e-05
rdkit_MinEStateIndex,-2.2487653962136636e-08,1.6530603963230361e-06,1.5248027893824786e-05
rdkit_qed,-8.242623438091472e-09,8.103504414265546e-06,3.3772383903266106e-06
rdkit_SPS,8.298933952304904e-10,1.519870020184594e-06,4.265870952330298e-05
rdkit_MolWt,1.769203879351051e-08,-1.6015033811579053e-06,3.536791133917713e-05
rdkit_MaxPartialCharge,0.9999999814242152,-0.00019270076450532837,-1.6151509198984211e-06
rdkit_MinPartialCharge,0.00019270837300388615,0.9999971292646056,0.0018490284245817738
rdkit_FpDensityMorgan1,-3.0916925692798485e-09,-4.31276552208609e-06,-1.9268298799422327e-05
rdkit_FpDensityMorgan2,-6.219551148955746e-09,-2.7606185990671317e-06,-1.874791206158183e-05
rdkit_AvgIpc,1.5354032599779403e-09,2.0401158097391335e-06,3.206339003081443e-05
rdkit_BalabanJ,1.8270786388446232e-10,-8.102873125183801e-07,-4.086878186068973e-05
rdkit_BertzCT,9.654581040162816e-09,2.2700387934033116e-06,3.482119265934555e-05
rdkit_Chi0,1.3068791679502622e-08,2.218213802272238e-06,1.697507531634983e-05
rdkit_Chi1v,8.196458457079835e-09,-1.98451392997715e-06,5.979810683231804e-05
rdkit_Chi2n,1.0146832070531481e-08,4.895345474032311e-07,3.7591099373159996e-05
rdkit_HallKierAlpha,-1.964763597362842e-08,-1.1155209374127925e-05,4.9044953791831675e-05
rdkit_Ipc,4.6568052681483965e-08,6.208272898607429e-06,0.00011448072811248545
rdkit_Kappa1,1.8401528765534855e-08,-5.229977849019359e-06,4.684212985556016e-05
rdkit_Kappa2,1.3609633331371845e-08,5.721504954684762e-07,3.3356598301803527e-07
rdkit_Kappa3,1.0780465904421804e-08,-3.877885702076548e-06,-3.1676071173771297e-05
rdkit_PEOE_VSA1,1.5343567725624525e-07,-0.0001137020974616757,-0.00028761738774121863
rdkit_PEOE_VSA10,2.7616345696784534e-09,-3.1397907850383874e-06,2.605508835949067e-05
rdkit_PEOE_VSA11,-1.0875892196873704e-08,6.264101040757888e-07,9.456516069967483e-05
rdkit_PEOE_VSA12,-6.487106047676338e-09,-3.5860264745685236e-06,-5.2133569806031315e-05
rdkit_PEOE_VSA14,5.0202213690407284e-08,1.2369928619145157e-06,3.016734043935358e-05
rdkit_PEOE_VSA2,-3.23970671090518e-09,2.917369773167924e-06,4.39994357633713e-05
rdkit_PEOE_VSA3,-1.2822908728281635e-08,-6.301386235524622e-06,-2.9458772290445693e-05
rdkit_PEOE_VSA4,7.366920927651361e-08,8.70444448488799e-06,0.00010605448680185065
rdkit_PEOE_VSA5,-6.147445448585459e-09,5.528813619140921e-06,4.692568373874022e-05
rdkit_PEOE_VSA6,2.3722366293455597e-09,2.8871116598712453e-06,5.127826005042189e-05
rdkit_PEOE_VSA7,5.492539825860136e-10,2.493490054694299e-06,1.3877835521368935e-05
rdkit_PEOE_VSA8,4.217369846001632e-09,1.0034681725820436e-05,-2.0053047652708584e-05
rdkit_PEOE_VSA9,3.1777341189184573e-09,-1.0877965252175384e-05,1.8801650818874106e-05
rdkit_SMR_VSA1,1.8959782558457718e-08,-2.0238293649267025e-06,2.363809069142582e-05
rdkit_SMR_VSA10,-8.523762743198353e-10,-2.7334810460472236e-06,4.251421470271481e-05
rdkit_SMR_VSA2,-1.8592267218466388e-09,1.6750454761851903e-06,-7.768099791126975e-06
rdkit_SMR_VSA3,1.2365923625459906e-08,1.7256121580787886e-05,-5.512845288220801e-05
rdkit_SMR_VSA4,-3.235013989633339e-09,-1.4645591101132644e-06,-2.666400598404336e-05
rdkit_SMR_VSA5,3.39569887440719e-09,1.2295955385462767e-06,3.4425305524143816e-05
rdkit_SMR_VSA6,1.0081962679795842e-08,2.7392113104554514e-06,-2.3592044724845762e-05
rdkit_SMR_VSA7,-3.424458973614228e-08,-3.0497432743078326e-05,-6.851509420391515e-05
rdkit_SMR_VSA9,5.4889156831934866e-09,4.58471548376843e-06,-2.7485057355854545e-05
rdkit_SlogP_VSA1,1.0156390438535369e-08,7.538610538009251e-06,6.737931082924186e-06
rdkit_SlogP_VSA10,1.783926187951346e-06,-2.9531979975640013e-05,-0.002762908191152989
rdkit_SlogP_VSA11,7.702869808947678e-09,2.590600333461159e-06,4.720977854555195e-05
rdkit_SlogP_VSA12,-9.931340918366562e-09,8.936116765969185e-06,0.0001354376216719764
rdkit_SlogP_VSA2,8.9668569296623e-08,1.504463594379929e-05,-3.9534695260448346e-05
rdkit_SlogP_VSA3,3.0489623829298413e-10,-3.390319513974773e-06,3.3918303401145566e-05
rdkit_SlogP_VSA4,-3.270590463809652e-09,-2.2626065284857477e-06,-4.453923497675432e-06
rdkit_SlogP_VSA5,8.358016015771682e-09,2.138922262464074e-06,3.2897032432241185e-05
rdkit_SlogP_VSA6,-5.321645946127177e-09,-1.823501880504113e-06,-2.1673086417529403e-05
rdkit_SlogP_VSA8,8.986205053878661e-10,-8.092207122298657e-07,-1.230183443790777e-05
rdkit_TPSA,1.7703729510306138e-09,-4.7933754013631134e-06,2.441645154258254e-05
rdkit_EState_VSA10,9.991689616289582e-10,-3.2506082538870777e-06,4.1833243568892754e-05
rdkit_EState_VSA11,5.344249163866911e-08,-7.132146595154149e-06,-5.1680543916798774e-05
rdkit_EState_VSA2,-4.135812337126646e-09,-6.762947167203983e-07,-4.036998913490847e-05
rdkit_EState_VSA5,-2.1104681338695482e-09,1.900789476998742e-06,-4.222262275550669e-05
rdkit_EState_VSA6,-1.0021064972725073e-09,9.025463855383956e-07,-2.017037870799198e-05
rdkit_EState_VSA8,1.0696985844947974e-08,4.500874315704697e-06,4.700319696298223e-05
rdkit_EState_VSA9,1.0420671095422032e-08,2.266631777403688e-06,-7.276028989620361e-06
rdkit_VSA_EState10,2.2222273152168737e-09,1.3651965907774063e-05,-6.066643783085877e-06
rdkit_VSA_EState2,5.634302633767429e-09,3.6376685811959223e-06,0.0001084778911553786
rdkit_VSA_EState3,-4.056588579681645e-08,-8.716052813517333e-05,-0.00011596114142837142
rdkit_VSA_EState4,-1.0681339188602155e-08,5.0103040736564395e-06,-6.423950246750294e-05
rdkit_VSA_EState5,-6.988873268300148e-10,-1.0098316891239748e-06,-3.5905542273494916e-05
rdkit_VSA_EState6,-1.7995297920017262e-08,1.6281216199935026e-06,-1.5169475979336096e-05
rdkit_VSA_EState7,-6.423906889009497e-09,-7.030670034966578e-07,-3.0996491523238824e-05
rdkit_VSA_EState8,-6.123254213984857e-09,-2.5690222150228535e-06,3.240297332143876e-05
rdkit_VSA_EState9,-7.570882309308042e-08,-4.0601163465615054e-05,-0.0006922564211973564
rdkit_FractionCSP3,7.0981690901651065e-09,1.8056428392195528e-06,2.103137166807241e-05
rdkit_NHOHCount,-6.767656078356065e-10,6.099029754852783e-07,6.9424362638779155e-06
