TSNE1,TSNE2
70.27222,-92.45738
-18.236723,-13.763126
74.48253,-119.17549
-92.65273,-13.542613
93.12435,-74.04313
-67.1573,-4.417352
-77.38054,-33.704597
-21.568937,22.97292
-49.973305,10.749876
-77.808655,17.503435
1.1012993,43.639378
-56.39526,-21.589977
-10.706136,6.0803127
-54.410744,-46.90645
106.279465,-14.626433
-36.716568,-6.608732
-67.626755,58.6871
52.8589,6.733326
52.892418,-15.073127
77.72727,16.205252
-30.13559,53.999054
-12.862317,-39.189117
-31.938368,-29.735523
0.5920312,-25.587784
17.911549,-15.16368
85.979294,-24.967236
104.92249,8.763079
92.305725,-108.60825
-36.06647,77.8944
23.76779,24.08598
24.038965,-36.442997
34.25978,-108.94169
-23.693254,-56.48478
59.642933,36.958073
44.166637,-58.957253
27.882374,65.357506
10.602156,5.776952
-3.1559982,-70.25911
73.709625,-4.4432325
-9.234648,103.32626
15.667691,112.97544
7.5021462,-50.669044
-11.307821,81.03851
3.925607,66.31901
-45.641563,37.41537
35.46986,95.02691
36.55473,-82.76785
22.16499,-67.988144
2.4873714,23.487684
11.239169,-89.19123
12.941756,88.987816
63.548927,-41.07457
