Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,25,0.7644572995350358,0.7460487819499138,0.2108532678633586,0.7656280135831853,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9569020498132723,1,0.5351955140865552,17,18,0.4217065357267171
Random Forest,19,0.7762097917916561,0.6676429151424847,0.1987212091278164,0.7712862555806741,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8663641242703012,4,0.4689217060146683,9,13,0.39744241825563287
Random Forest,17,0.8170992170889398,0.6078341699081441,0.1565111911556903,0.7958402950524107,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7643453610638344,11,0.4513229787524538,4,15,0.31302238231138063
Random Forest,26,0.8195423177719721,0.6545245252404592,0.1539891864322502,0.7762087331343397,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8085137116727095,7,0.500535338808209,13,20,0.30797837286450047
Random Forest,23,0.820726664270929,0.7454418227541412,0.1527665894736786,0.7912238059483009,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8982084122278198,3,0.5926752332804626,21,24,0.3055331789473572
Random Forest,28,0.8219020202873725,0.5403501523552117,0.1515532733603553,0.7915431395230527,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.691903425715567,17,0.3887968789948564,2,19,0.3031065467207106
Random Forest,20,0.823716333649859,0.7610101569535866,0.1496803637001965,0.7877762409571981,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.9106905206537832,2,0.6113297932533901,25,27,0.2993607274003931
Random Forest,32,0.8427505592906112,0.5840203836281314,0.130031395769238,0.7900046760997119,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.7140517793973693,13,0.45398898785889336,7,20,0.26006279153847595
Random Forest,16,0.8442338393512789,0.6585385295249083,0.1285002106874403,0.800788540935485,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7870387402123487,8,0.530038318837468,15,23,0.25700042137488066
Random Forest,24,0.8520567366364106,0.5735742441116729,0.1204246597938102,0.8018217768624564,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6939989039054831,16,0.4531495843178627,6,22,0.24084931958762046
