TSNE1,TSNE2
31.837683,136.0504
50.00841,32.609707
-8.04228,109.06243
14.263618,92.25128
84.084404,36.061348
36.939785,109.174774
13.838394,116.28164
6.3343744,20.079174
37.392235,80.87112
-3.0083802,77.236946
-74.28767,31.367964
60.247444,87.79554
-3.037094,-11.1132145
-38.2446,125.09472
75.92442,0.53225666
43.871616,58.05174
-23.880907,56.16217
15.9613495,39.96254
33.30094,-5.3536263
-53.991055,45.208057
-26.464483,-13.602178
31.898096,-64.965195
87.653465,-24.124537
-39.216568,9.146464
64.35811,-21.235973
36.28566,-31.231636
20.915073,64.29571
-24.494762,92.19877
9.190108,-51.80117
-10.62333,8.118192
65.11314,-50.269085
-19.380024,-58.197197
27.358305,21.037819
-93.93116,8.048085
-0.052417863,-75.02616
-70.03209,-53.851364
13.711973,-0.19349034
-12.75064,-33.64477
-73.843124,54.717724
-60.52413,-75.08384
-83.76105,-80.937874
10.845728,-25.62019
-76.11463,-4.8243103
-11.211921,-97.30353
-15.743472,32.020855
-56.375477,-99.565735
-40.937557,-59.438084
-40.85105,-37.41941
49.199448,10.6131315
-63.49142,-27.444994
-30.38833,-83.75047
-96.28197,-34.285107
