Model,PC,MSE,R2,Q2,MAE,Best Params
Gradient Boosting,1,1.6571119109397423,0.3879191092959316,0.5409611700332633,1.2292448522695991,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,2,0.5341713543080417,0.42541276494124,0.8520284647859084,0.6620810246659704,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,3,0.5341713543080417,0.4285531673186347,0.8520284647859084,0.6620810246659704,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,4,0.4976493907519458,0.466312861946534,0.8621454637092767,0.6556557816072218,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,5,0.4970905303421172,0.4871592919003852,0.8623002743934247,0.6556557816072218,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,6,0.4970905303421172,0.5601759987967592,0.8623002743934247,0.6556557816072218,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,7,0.4970168498590916,0.538332233713364,0.862320684724493,0.6556557816072219,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,8,0.4970168498590916,0.6220380522854827,0.862320684724493,0.6556557816072219,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,9,0.4928493541538751,0.7560260791364715,0.8634751283922891,0.6556557816072223,"{'learning_rate': 0.01, 'n_estimators': 100}"
Gradient Boosting,10,0.4928493541538751,0.7560260791364714,0.8634751283922891,0.6556557816072223,"{'learning_rate': 0.01, 'n_estimators': 100}"
