Model,PC,MSE,R2,Q2,MAE,Best Params
MLP,1,2.509003783322364,0.138987075033979,0.3049774408867344,1.3336871338792238,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,2,0.0925682539517201,0.6144141093971764,0.9743575417534932,0.2227400115946456,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 100)}"
MLP,3,0.4708736191394177,0.374637583978388,0.8695626567131585,0.5248610888163653,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,4,0.2605085144108896,0.5305938751828079,0.92783618121257,0.32654870549503,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
MLP,5,0.0588355005814929,0.6643339477162742,0.9837018977601096,0.1852613449344116,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,6,0.0019301093488686,0.8834132130364631,0.9994653377775132,0.0221208934572177,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)}"
MLP,7,0.0020012137748478,0.854477886233614,0.9994456410435196,0.0283555366016033,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,8,0.0040795612042202,0.8526171156188409,0.998869915188226,0.0435440009644395,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,9,0.0034995430101075,0.8574394837270654,0.9990305868190476,0.0380890538454477,"{'alpha': 0.001, 'hidden_layer_sizes': (100,)}"
MLP,10,0.004051017351712177,0.8392693345494,0.9988778221597295,0.04326035891561027,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,)}"
