Model,PC,MSE,R2,Q2,MAE,Best Params
Random Forest,1,0.8001254608834972,0.8404867462873656,0.7783561550877585,0.7814726723936705,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,2,0.4745856415763111,0.8330817438349283,0.8685343843164708,0.5724728976569311,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,3,0.4651897526122274,0.852013985360701,0.8711371523299626,0.6076405115431377,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,4,0.1381595184510661,0.8423118324968857,0.961728243409596,0.3060478518807965,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,5,0.1753813587552889,0.8435114740584376,0.951417370673928,0.3580914945515903,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,6,0.2087205323296546,0.8330746737203385,0.94218204074322,0.364451678194442,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,7,0.2258841392035053,0.8446634805503358,0.937427526600048,0.3856936247197641,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,8,0.2277592233650745,0.8522414056744435,0.9369081069797234,0.3929411531424966,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,9,0.2077422513178632,0.8737508429002206,0.942453035700209,0.4105354695126615,"{'max_depth': 10, 'n_estimators': 100}"
Random Forest,10,0.20465568219441244,0.8745201279579194,0.9433080504217174,0.3986930771061897,"{'max_depth': 10, 'n_estimators': 100}"
