Model,PC,MSE,R2,Q2,MAE,Best Params
AdaBoost,1,1.4894437615281844,0.4748168859915935,0.587407152721857,0.936312250628376,{'n_estimators': 50}
AdaBoost,2,0.0840828615251258,0.6635755811606072,0.9767080918796484,0.1493037309837989,{'n_estimators': 100}
AdaBoost,3,0.0290562706706856,0.8182911376585872,0.9919510828424952,0.0735333791401169,{'n_estimators': 50}
AdaBoost,4,0.0011020655202646,0.8747941800642463,0.9996947153275352,0.0115767543154211,{'n_estimators': 50}
AdaBoost,5,0.0097941423083067,0.854083534450956,0.9972869112845956,0.0309609004788626,{'n_estimators': 100}
AdaBoost,6,0.0048724685830299,0.8953274791791791,0.998650270834071,0.0310729299436718,{'n_estimators': 50}
AdaBoost,7,0.0199215271359575,0.9146739427220486,0.9944815106045224,0.0711266881730371,{'n_estimators': 100}
AdaBoost,8,0.0188831368425587,0.9135974703071712,0.9947691565155704,0.0436565698093425,{'n_estimators': 100}
AdaBoost,9,0.0024211994388048,0.9223922350946108,0.9993293002420852,0.0159355735949935,{'n_estimators': 50}
AdaBoost,10,0.018857959250402775,0.9414099740684156,0.9947761309947037,0.043084746658087265,{'n_estimators': 100}
