Model,PC,MSE,R2,Q2,MAE,Best Params
PLS,1,3.550051461277509,0.1038976517977211,0.016595404119457,1.797717883514583,{'n_components': 1}
PLS,2,3.007686337870146,0.1063754959743858,0.1668367064841792,1.5236443105998676,{'n_components': 1}
PLS,3,2.7506054914878586,0.1128761368871017,0.2380510222772873,1.3652356996868436,{'n_components': 1}
PLS,4,1.0099841482201113,0.1171984838392524,0.720222913960595,0.8845273876764922,{'n_components': 1}
PLS,5,0.7892966327842779,0.1208450328898027,0.7813558635249258,0.814702432309974,{'n_components': 1}
PLS,6,0.6725492849132306,0.1295304851739527,0.8136962055468799,0.6921039917120336,{'n_components': 1}
PLS,7,0.5795925154805057,0.1999479471278343,0.8394462869965312,0.5991910194648524,{'n_components': 1}
PLS,8,0.521498883189121,0.2437694599507289,0.855538883289821,0.5655671635106859,{'n_components': 1}
PLS,9,0.4515704239404065,0.3047712065986876,0.87490986113567,0.5080582050726373,{'n_components': 1}
PLS,10,0.44263536016907473,0.3311910290597563,0.87738497533417,0.4864608442757945,{'n_components': 1}
