Model,PC,MSE,R2,Q2,MAE,Best Params
SVR,1,4.023474273941118,0.0422625227095299,-0.1145480947414159,1.653223776940981,"{'C': 0.1, 'gamma': 'scale'}"
SVR,2,0.88318128872566,0.6747388616317267,0.7553487469683128,0.7440697533442939,"{'C': 1, 'gamma': 'auto'}"
SVR,3,1.7934541937037614,0.2492840121147346,0.5031928083783785,1.1215339910674258,"{'C': 1, 'gamma': 'scale'}"
SVR,4,3.937197215785911,0.0533724779085316,-0.0906483692207182,1.6402905801328571,"{'C': 0.1, 'gamma': 'scale'}"
SVR,5,3.9279752579074736,0.0544893048603077,-0.0880937820944209,1.6371343393325524,"{'C': 0.1, 'gamma': 'scale'}"
SVR,6,3.9574172225912414,0.0964199414517306,-0.0962495408763943,1.6188029230171426,"{'C': 0.1, 'gamma': 'auto'}"
SVR,7,1.1338994065795769,0.3446925744013093,0.6858969792806027,0.9102792514712263,"{'C': 1, 'gamma': 'scale'}"
SVR,8,1.2181398971284898,0.3602030546895386,0.6625614061294403,0.9315890913497288,"{'C': 1, 'gamma': 'scale'}"
SVR,9,1.0691806286724264,0.4304317439989356,0.7038248161944824,0.8737518178987561,"{'C': 1, 'gamma': 'scale'}"
SVR,10,1.0964482807791571,0.4424457101033541,0.6962713667042091,0.8799357303564391,"{'C': 1, 'gamma': 'scale'}"
