Model,PC,MSE,R2,Q2,MAE,Best Params
XGBoost,1,3.7080507656426855e-06,0.9972517178597362,0.9999989728278014,0.0017394195627279,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,2,6.21305693865277e-07,0.9999991774741384,0.9999998278912626,0.0005713343227678,"{'max_depth': 6, 'n_estimators': 200}"
XGBoost,3,6.663853471190027e-07,0.9999991755770764,0.9999998154036864,0.0005861428380659,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,4,5.598194920054007e-07,0.9999995720705636,0.9999998449236392,0.0006087409790101,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,5,4.061881183381968e-07,0.9999997592584016,0.9999998874812754,0.0003977888249681,"{'max_depth': 6, 'n_estimators': 200}"
XGBoost,6,3.804104757200369e-07,0.9999983776449404,0.9999998946219756,0.0003632406170946,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,7,3.3614485183651826e-07,0.9999998317468352,0.9999999068840564,0.0003171620463959,"{'max_depth': 9, 'n_estimators': 200}"
XGBoost,8,2.991115096147291e-07,0.9999998875407776,0.9999999171427127,0.0002921171773616,"{'max_depth': 9, 'n_estimators': 100}"
XGBoost,9,2.677887689262336e-07,0.9999998418006074,0.999999925819468,0.0002945390983577,"{'max_depth': 6, 'n_estimators': 200}"
XGBoost,10,2.6778876892623357e-07,0.9999998074743369,0.999999925819468,0.0002945390983577464,"{'max_depth': 6, 'n_estimators': 200}"
