Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Gradient Boosting,5,0.5737347405333908,0.968715675559926,0.3230566296199966,0.6588056322341606,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.2917723051799226,1,0.6456590459399294,4,5,0.6461132592399932
Gradient Boosting,9,0.6302839663243375,0.8879108518915315,0.2563348141278504,0.7206505206988413,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.144245666019382,6,0.6315760377636811,3,9,0.512669628255701
Gradient Boosting,7,0.6330218785555325,0.9545472539118848,0.2531043813116909,0.7066842126230913,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.2076516352235758,2,0.7014428726001939,7,9,0.5062087626233819
Gradient Boosting,24,0.6411185692832532,0.9553706089385168,0.2435511841232964,0.7205581786612139,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1989217930618132,3,0.7118194248152203,8,11,0.4871023682465929
Gradient Boosting,23,0.6476777114268926,0.9328281452145528,0.235812123759985,0.712316814142058,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.1686402689745379,5,0.6970160214545678,6,11,0.4716242475199701
Gradient Boosting,3,0.6654260381272656,0.8141471097548301,0.2148710664274864,0.6757571915316802,"{'learning_rate': 0.05, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0290181761823165,10,0.5992760433273436,2,12,0.42974213285497287
Gradient Boosting,4,0.6698071800484885,0.7591353890896299,0.2097018048005741,0.7474868558413635,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",0.968837193890204,18,0.5494335842890558,1,19,0.4194036096011482
Gradient Boosting,6,0.6997603911248075,0.9962954171823422,0.1743603373467187,0.7201404183090339,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",1.1706557545290608,4,0.8219350798356234,14,18,0.34872067469343737
Gradient Boosting,16,0.7138698351566402,0.9041964495468132,0.1577127580346883,0.7450283362734477,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0619092075815015,7,0.7464836915121249,10,17,0.31542551606937663
Gradient Boosting,17,0.7152090483928549,0.9053134635310452,0.1561326349259884,0.7489473991612686,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",1.0614460984570337,8,0.7491808286050569,11,19,0.3122652698519769
