Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
KNN,8,0.4921576203141056,0.532468537583064,0.419308585106948,0.5548079766596564,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.951777122690012,1,0.11315995247611599,3,4,0.838617170213896
KNN,15,0.5743952222242545,0.4587503922108108,0.3222773344678989,0.6666063720953465,"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.7810277266787098,2,0.1364730577429119,5,7,0.6445546689357979
KNN,2,0.6101742716189139,0.3124703857864884,0.2800620238459623,0.6700452026009865,"{'metric': 'chebyshev', 'n_neighbors': 5, 'weights': 'uniform'}",0.5925324096324507,5,0.0324083619405261,1,6,0.5601240476919246
KNN,10,0.6327091322208992,0.3598252553538605,0.2534733873050246,0.7446121003006115,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.6132986426588851,3,0.1063518680488359,2,5,0.5069467746100492
KNN,21,0.661083407948443,0.388021720812422,0.2199948884690681,0.7238736274425547,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.60801660928149,4,0.1680268323433539,9,13,0.4399897769381361
KNN,24,0.6769280453612178,0.3805492523878934,0.2012999733891809,0.7685453507611464,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5818492257770743,6,0.17924927899871249,10,16,0.40259994677836186
KNN,31,0.6770825173287162,0.3655127547016623,0.2011177135974687,0.7653353273146251,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.566630468299131,8,0.1643950411041936,7,15,0.40223542719493743
KNN,14,0.6912996210330866,0.3190090233650688,0.1843431078106009,0.7964314080630381,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.5033521311756697,14,0.1346659155544679,4,18,0.36868621562120174
KNN,20,0.6968884225462155,0.331896249132647,0.1777489417868298,0.7839189727692293,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.5096451909194768,12,0.1541473073458172,6,18,0.35549788357365963
KNN,29,0.6969769326663494,0.3703403401750151,0.1776445096602683,0.7797678294806452,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5479848498352834,9,0.1926958305147468,14,23,0.3552890193205366
KNN,28,0.7094438851898189,0.3663345396259292,0.1629348881864859,0.7830344234617105,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5292694278124151,10,0.2033996514394433,18,28,0.3258697763729719
KNN,18,0.7118383692973358,0.4171050671804809,0.1601096624723225,0.7619074602808923,"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.5772147296528034,7,0.2569954047081584,20,27,0.320219324944645
KNN,26,0.7151242093487693,0.3391594263523979,0.1562327355899114,0.7940491191433462,"{'metric': 'manhattan', 'n_neighbors': 10, 'weights': 'uniform'}",0.4953921619423093,15,0.18292669076248647,11,26,0.3124654711798228
