Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,15,0.7123452826457171,0.7048292484338885,0.1595115609346244,0.7425356793464253,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.8643408093685129,2,0.5453176874992641,7,9,0.31902312186924875
Random Forest,3,0.7374721210870289,0.4682041575745213,0.1298646779767577,0.7818772160106658,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.598068835551279,18,0.33833947959776356,3,21,0.25972935595351543
Random Forest,18,0.7391566673638056,0.7769143551793882,0.1278771001753819,0.7666351417275146,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.9047914553547701,1,0.6490372550040063,14,15,0.2557542003507638
Random Forest,2,0.7446465734257349,0.3754654463718287,0.1213996198171643,0.8070098374649529,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.496865066188993,28,0.2540658265546644,1,29,0.2427992396343286
Random Forest,1,0.770887813489281,0.4331601431193433,0.0904378665249495,0.7613369805881631,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.5235980096442928,24,0.3427222765943938,4,28,0.180875733049899
Random Forest,4,0.780743925961434,0.4103188224983014,0.0788087467865479,0.8289221539439654,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.48912756928484935,29,0.3315100757117535,2,31,0.15761749357309585
Random Forest,16,0.7850320346611835,0.76836854386043,0.0737492540441951,0.7794020331615513,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.842117797904625,3,0.6946192898162349,20,23,0.14749850808839016
Random Forest,14,0.8105302359648717,0.7092172549487605,0.0436642040904494,0.7829609462804977,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7528814590392099,5,0.6655530508583112,16,21,0.08732840818089871
Random Forest,8,0.8148947447745016,0.596395436191264,0.038514567690713,0.845532774248581,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.634910003881977,14,0.557880868500551,8,22,0.07702913538142608
Random Forest,7,0.8165173547978802,0.4930614819199016,0.0366000678000194,0.8747577207379421,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.5296615497199211,23,0.4564614141198822,5,28,0.07320013560003885
Random Forest,9,0.8215100581769015,0.7075726543913647,0.0307092314710912,0.810982230884382,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7382818858624559,6,0.6768634229202736,17,23,0.06141846294218234
Random Forest,17,0.8222346916077533,0.6411587619466786,0.0298542443798184,0.8040732349793491,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6710130063264971,9,0.6113045175668602,11,20,0.05970848875963686
Random Forest,31,0.8296778496471883,0.621107863645331,0.0210721432910786,0.8054436096880842,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6421800069364096,12,0.6000357203542523,10,22,0.0421442865821573
Random Forest,20,0.8354096267719978,0.6288669784245692,0.0143092819005894,0.8186961860431675,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 100}",0.6431762603251586,11,0.6145576965239797,12,23,0.028618563801178887
Random Forest,30,0.8386214357080264,0.7684018451550485,0.0105197035247872,0.8255074886764168,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7789215486798357,4,0.7578821416302614,23,27,0.0210394070495743
Random Forest,28,0.8553160732176266,0.6320494672641066,-0.0091781174098741,0.8504820620628354,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6228713498542325,16,0.6412275846739807,13,29,-0.01835623481974813
Random Forest,10,0.865289469909248,0.5539916287021464,-0.0209456195211918,0.871651896307577,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.5330460091809546,22,0.5749372482233381,9,31,-0.041891239042383566
Random Forest,6,0.879115479630218,0.4466867449914089,-0.0372587777774249,0.9055542842985072,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.409427967213984,32,0.48394552276883385,6,38,-0.07451755555484985
Random Forest,11,0.8830439991749867,0.6154893683935536,-0.0418939951929977,0.866427555923455,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'max_samples': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.5735953732005559,19,0.6573833635865514,15,34,-0.08378799038599549
