Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,19,0.4837825990725587,0.9918557032895324,0.4291901814366144,0.6135279010665408,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.421045884726147,1,0.562665521852918,6,7,0.8583803628732289
SVR,23,0.4850850482565904,0.9917257551007383,0.4276534358325965,0.626152569356874,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.4193791909333349,2,0.5640723192681418,7,9,0.855306871665193
SVR,20,0.4863234319906707,0.9918178282701662,0.4261922803550796,0.6160498909705857,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.418010108625246,3,0.5656255479150866,8,11,0.8523845607101593
SVR,21,0.491329401505202,0.9919429969369172,0.4202857914573776,0.6313381916206775,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.4122287883942948,4,0.5716572054795397,9,13,0.8405715829147551
SVR,18,0.4929844821651156,0.9917072602797576,0.4183329798163551,0.6299857885120276,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.4100402400961127,5,0.5733742804634026,10,15,0.8366659596327102
SVR,22,0.4980374027913767,0.99197144419325,0.4123710938133847,0.6349527495876535,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.4043425380066348,6,0.5796003503798652,11,17,0.8247421876267695
SVR,24,0.5022224763385249,0.9917242358898732,0.4074331711251737,0.6408129185733941,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.399157407015047,7,0.5842910647646995,12,19,0.8148663422503475
SVR,25,0.5150097957313116,0.9916645643055708,0.3923455522721982,0.6436395682890709,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.384010116577769,8,0.5993190120333727,13,21,0.7846911045443963
SVR,17,0.521129237557344,0.9916372521411048,0.385125289523759,0.6410045907802938,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.376762541664864,9,0.6065119626173457,14,23,0.7702505790475181
SVR,26,0.5261968882365593,0.99164075417954,0.3791460236917697,0.6494978796073068,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3707867778713096,10,0.6124947304877704,15,25,0.7582920473835393
SVR,27,0.528976706069569,0.9918462604366788,0.3758661469125275,0.6497165727811652,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3677124073492064,11,0.6159801135241513,16,27,0.7517322938250551
SVR,7,0.5291660654111163,0.8263912462723448,0.3756427238882205,0.6470669692641405,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2020339701605653,23,0.45074852238412433,3,26,0.751285447776441
SVR,28,0.5349104190534977,0.99186311661386,0.3688650236016505,0.6518215702195659,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3607281402155105,12,0.6229980930122094,17,29,0.737730047203301
SVR,6,0.5368474409204501,0.8314677071475407,0.3665795526017674,0.6424244212199474,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.1980472597493081,24,0.4648881545457733,4,28,0.7331591052035349
SVR,29,0.5371487663832474,0.9918585206731726,0.3662240219706997,0.651349566796292,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3580825426438723,13,0.6256344987024729,18,31,0.7324480439413994
SVR,30,0.5379574876621597,0.9918623787835744,0.3652698205435106,0.6515998085555218,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.357132199327085,14,0.6265925582400638,19,33,0.7305396410870213
SVR,32,0.5407340539223816,0.9918580839187686,0.3619937802595797,0.6487208066350694,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3538518641783484,15,0.6298643036591889,20,35,0.7239875605191595
SVR,31,0.5427841756182349,0.9918522411208468,0.3595748640036287,0.6524660225664882,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3514271051244755,16,0.6322773771172181,22,38,0.7191497280072574
SVR,16,0.5428554037961972,0.9916449684667056,0.3594908226523746,0.6504137910799351,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3511357911190802,17,0.6321541458143309,21,38,0.7189816453047493
SVR,4,0.5436010286121179,0.7828155921372965,0.3586110680545284,0.6419862471796987,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.1414266601918248,29,0.42420452408276804,2,31,0.7172221361090567
SVR,33,0.5513818217401666,0.9918860713661845,0.3494305950027587,0.6545676527614388,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.341316666368943,18,0.6424554763634258,23,41,0.6988611900055173
SVR,14,0.5601386539309385,0.9884335172368948,0.3390985040933565,0.6617678145534751,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.3275320213302513,19,0.6493350131435383,24,43,0.678197008186713
SVR,5,0.6160025533634192,0.8194071414130966,0.2731852977059665,0.6719906350952277,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.0925924391190631,30,0.54622184370713,5,35,0.5463705954119331
SVR,15,0.6168723475058305,0.99175094448017,0.2721590370724318,0.6880986216482166,"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",1.2639099815526018,20,0.7195919074077382,25,45,0.5443180741448637
SVR,13,0.6286311334035096,0.9861951843068314,0.2582849736860113,0.6972947919692788,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.2444801579928426,21,0.7279102106208202,26,47,0.5165699473720224
SVR,9,0.6445673848052131,0.9858970808214744,0.2394819642585834,0.6927270156853443,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.225379045080058,22,0.7464151165628911,27,49,0.47896392851716685
SVR,8,0.6704580567993582,0.9832503576251485,0.2089338424125443,0.6865981634512982,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.1921842000376928,25,0.7743165152126041,28,53,0.4178676848250886
SVR,11,0.686350833535763,0.9851315679452208,0.1901821282691114,0.7125490444624638,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.1753136962143322,26,0.7949494396761094,29,55,0.3803642565382228
SVR,3,0.6923700361493627,0.9919480722309442,0.1830801366754663,0.7458671680978729,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.1750282089064106,27,0.8088679355554779,30,57,0.3661602733509327
SVR,10,0.69695039006266,0.9867799144354544,0.1776758269892198,0.7057481777302135,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",1.1644557414246743,28,0.8091040874462346,31,59,0.3553516539784397
SVR,2,0.7712596348026715,0.9620372505149896,0.0899991586077131,0.7591529290830313,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",1.0520364091227026,31,0.8720380919072764,32,63,0.17999831721542614
SVR,1,0.7882289155096657,0.1247820655152449,0.0699772891562702,0.8175933130955051,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.19475935467151512,33,0.0548047763589747,1,34,0.13995457831254043
SVR,12,0.8919945522347319,0.9919167455528604,-0.0524546552454046,0.8085619843647769,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.9394620903074558,32,1.044371400798265,33,65,-0.1049093104908092
