Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
XGBoost,7,0.5661126073063673,0.9093389299243244,0.3320499015829071,0.6531060166754366,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2413888315072314,2,0.5772890283414174,4,6,0.6640998031658141
XGBoost,9,0.5794558257543649,0.9176970103438516,0.3163063834903705,0.6898474034358014,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.234003393834222,3,0.6013906268534812,5,8,0.6326127669807409
XGBoost,5,0.5933015063189129,0.9889728229005436,0.299970015820084,0.6393818122938918,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2889428387206276,1,0.6890028070804596,8,9,0.5999400316401681
XGBoost,3,0.5974279790656044,0.7835685524888703,0.2951012355779643,0.6427563450455872,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0786697880668346,14,0.48846731691090595,2,16,0.5902024711559286
XGBoost,14,0.6026259704505468,0.930251379916315,0.2889681821671533,0.645633588734976,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.2192195620834683,5,0.6412831977491618,7,12,0.5779363643343065
XGBoost,4,0.6104463503199966,0.7800878728358766,0.2797410011504423,0.6853804796354197,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0598288739863189,16,0.5003468716854342,3,19,0.5594820023008846
XGBoost,31,0.643020974286091,0.9339721157773714,0.2413065571842836,0.7049365251676463,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.175278672961655,6,0.6926655585930878,9,15,0.48261311436856713
XGBoost,20,0.6463517546870947,0.9913499282505728,0.2373766056729722,0.7022635932709979,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.228726533923545,4,0.7539733225776006,14,18,0.4747532113459443
XGBoost,6,0.658839249063833,0.8261792902683079,0.2226427470902905,0.7457588499145281,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.8}",1.0488220373585984,17,0.6035365431780174,6,23,0.44528549418058094
XGBoost,22,0.6649607544502042,0.9262336106356328,0.2154200495694868,0.6999750350046182,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1416536602051197,7,0.710813561066146,10,17,0.4308400991389737
XGBoost,18,0.6725905223095938,0.9276746202250776,0.2064177695870152,0.6962955856285172,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1340923898120927,9,0.7212568506380624,12,21,0.41283553917403026
XGBoost,23,0.6959773982248175,0.9294483754366172,0.1788238494594105,0.7102090870212284,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 50, 'subsample': 0.8}",1.1082722248960277,10,0.7506245259772066,13,23,0.3576476989188211
