Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
Random Forest,9,2.414547020099292,0.5545132762173632,0.5511225437410894,1.2517360670790214,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.1056358199584526,3,0.003390732476273861,1,4,1.1022450874821788
Random Forest,13,2.6819839633664664,0.7393802058251966,0.5014045577983302,1.4835719729687675,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.2407847636235267,1,0.23797564802686644,12,13,1.0028091155966603
Random Forest,12,2.688923892933482,0.6060812209051852,0.5001143870521294,1.4587192429028697,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",1.1061956079573148,2,0.10596683385305583,9,11,1.0002287741042588
Random Forest,10,2.754216378645121,0.5840931465466033,0.4879761579536311,1.470130948413385,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",1.0720693045002343,4,0.09611698859297219,8,12,0.9759523159072621
Random Forest,11,2.7909482179217977,0.5391895750838076,0.4811475087531911,1.5055157388333753,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 25}",1.0203370838369987,7,0.05804206633061648,4,11,0.9622950175063822
Random Forest,2,2.818614883633595,0.4889340827730891,0.4760041247459637,1.529391889524196,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.9649382075190528,11,0.012929958027125377,2,13,0.9520082494919274
Random Forest,6,2.99008602069583,0.4713896348822251,0.4441267054264782,1.5206964684535158,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9155163403087032,13,0.027262929455746876,3,16,0.8882534108529563
Random Forest,4,3.0351339752263686,0.5102943089893198,0.4357520450570548,1.5554713414986774,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.9460463540463746,12,0.07454226393226504,5,17,0.8715040901141096
Random Forest,27,3.186052712800217,0.6354807987366671,0.4076954288636085,1.5783467581080364,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 5, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",1.0431762276002756,6,0.22778536987305859,11,17,0.8153908577272171
Random Forest,14,3.291448916682697,0.471499556141798,0.3881016998932083,1.7157289749515463,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.8596012560350064,15,0.0833978562485897,6,21,0.7762033997864166
Random Forest,7,3.3224477329458115,0.4698453936342006,0.3823388509300714,1.6749735050473662,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.852184244564272,16,0.08750654270412916,7,23,0.7646777018601428
Random Forest,8,3.342827054767271,0.6310937101617025,0.3785502238860133,1.5656645302327534,"{'bootstrap': True, 'criterion': 'squared_error', 'max_depth': 3, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}",1.0096439340477157,8,0.2525434862756892,14,22,0.7571004477720265
