,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
MACCS_sim_score,-1.539108832577668e-09,1.2174364164075311e-05,-7.290672922140704e-05,0.0004266684723128199,-0.0003790444925507543,-0.0029121687122169084,0.008295291350639796,0.023508865609400537,0.045433329180772,-0.012679601047162307,0.03202258224588439,0.060733854127577425,-0.021743263488786763,-0.01711931143919204,-0.031561961620739,-0.0328245223298918,-0.031210106201489986,0.04022513469894449,0.03688185927840172
ECFP4_sim_score,-6.058174611570579e-09,-1.7096810242931502e-06,-7.68188110981334e-05,0.00015040297941126972,0.00025058489805936373,0.0019456278668583578,0.00023128989137702417,0.0007765993144828757,0.03545645480977906,0.019016090774166643,0.036866838409873925,0.06996665566027069,-0.053400513443240545,-0.02950530101192512,-0.02383764968816832,0.014033657397242199,-0.00887086405035796,0.014906605960331635,-0.05712661203670163
MCSS_rdkit_sim_score,-3.2912528597603684e-09,-1.8090814099666405e-06,-6.303790078952374e-05,-4.1933574220058174e-05,-0.0004235823820460336,-0.00032072787264219254,0.00026620034778608673,-0.001240857782344465,0.027511151297503263,0.03476676188917343,0.03066952893749172,0.08040385384236629,-0.03276050361478011,-0.06274279329766423,-0.018293158883184855,-0.00804783098540627,-0.05101485428485483,-0.0002806703344698102,0.02434903662418719
rdkit_MaxAbsEStateIndex,2.0567007285983387e-08,-1.2792637149070178e-05,-0.00014151044193035293,-0.0036536131633765666,-0.0028482709713728415,0.0010442010287874108,-0.0016703923644946857,-0.027019059891049753,0.014773615854114184,-0.022693481735486767,-0.009632971086781001,0.011557983897629171,0.030033341186777977,-0.06404507384095484,0.08469413885453156,-0.007132653867490351,-0.0481013572713078,-0.0006982927223732799,-0.0073069742754623464
rdkit_MinAbsEStateIndex,-1.387911539592887e-09,8.89451454033764e-07,3.423325437123289e-05,0.000677958518059081,0.00026263143050532365,0.0008668175001371005,-0.002517400929277299,-0.0024681642065615228,-0.015420213184368339,-0.01141306605406403,0.018894169244811663,-0.006948231754010772,0.009087080891198586,0.004703254537186111,0.0011602207186163101,-0.011547861296221245,-0.008395370299859286,-0.08040904249638114,-0.00654159141569539
rdkit_MinEStateIndex,-2.3106662434751063e-08,1.9932784195934717e-06,2.0722196853958402e-05,7.337667089844281e-05,0.0001528444914807843,0.002022088092948069,0.008345297001149195,0.08152052394179299,0.005244616397350647,0.03921680199941607,-0.02500578395964758,-0.057844882358440305,-0.029938974646273802,-0.026425529786504177,-0.0015923456335098125,-0.04482460190376032,0.009743402888594488,-0.003255026888731085,-0.013897280914067642
rdkit_qed,-1.0324210336332171e-08,9.903764628422532e-06,1.061461037006109e-06,-0.00013554679453559818,0.0003301642997258916,0.0016062756729521533,0.0007112740980208967,-0.0029624839362853814,-0.010640135007274914,0.007721683806680853,0.012270065715049802,-0.03447816186864136,-0.020080874534962215,0.03211441903249532,-0.01821120398024733,0.0012728552582648663,-0.01746725045994556,-0.008248001679134198,-0.0735536895510599
rdkit_SPS,1.096095669571983e-09,1.2660397119892163e-06,3.7294046637467934e-05,0.00017533214647038014,0.0005933939397433162,-8.593326994915964e-05,0.0015592112555395923,0.0026827322524902333,-0.0008246281512722951,-0.0344373793744507,-0.019871631429193286,-0.04061459728766852,0.027103641767236102,0.053460118658429596,0.01701381516512913,-0.0065992495617563755,0.018242180016674023,-0.016806739328630742,-0.00655374990089046
rdkit_MolWt,1.7012154714670583e-08,-1.7140033878418838e-06,2.713187449365031e-05,0.00014616276857793114,5.478908440479587e-06,-0.0003413298071132467,-0.0021435531045844937,-0.01237290375359103,0.017421414816512926,-0.03895912071010243,-0.01965632414817506,9.4565916930086e-05,0.05472897499374673,0.005161484362348478,-0.00937569717695845,-0.013552713036110985,0.010729168689681238,-0.005008220131425905,0.028486983831261754
rdkit_MaxPartialCharge,0.9999999870694779,-0.00016069729562210848,2.1420468313260735e-06,5.590175713898285e-06,1.1093196838717719e-06,-4.4593231893089065e-07,-6.717323405371976e-08,2.1648641401256467e-07,-8.094815952170959e-08,6.276707035210471e-08,4.659326936895669e-08,-4.011439980622762e-08,-1.1569455295506724e-07,-7.703072834230564e-08,5.8468995517227514e-08,-5.816774964548165e-08,2.9393326903862242e-08,2.286751499042924e-08,-7.126134556350909e-08
rdkit_MinPartialCharge,0.00016071579706405042,0.9999896201069635,0.00032315143059755103,-0.0032835266153968872,-0.0010177613698900074,0.0028823283514430036,0.0005933401846141969,-0.00014482906133708696,-6.477747565694698e-05,0.0001340071421866352,-0.00014565898616534048,0.00017021918327864158,0.00012543945775949904,0.00010231104852150321,-3.521775433202035e-05,-9.206680645292345e-06,1.8664095496897485e-05,5.329309941526742e-05,2.616576162404517e-05
rdkit_FpDensityMorgan1,-3.627576870339108e-09,-5.0743239508410306e-06,-2.017424850665335e-05,-0.00012706275629540477,-0.0002880632834698508,0.0005541758717619189,-0.0007373504770507685,0.018563772142604972,-0.028669124775596303,0.012442942193299533,-0.014690808275608055,-0.01758510582066809,0.024317248966856025,0.010234561716743779,0.03247181934571363,0.003932208565460949,-0.026014336399040962,-0.016440073799733567,0.023986445826369246
rdkit_FpDensityMorgan2,-7.114149994748281e-09,-2.752679364781252e-06,-1.5095240324094362e-05,-0.00010493771486811845,-0.00017736770683384094,-1.9009113520464293e-05,0.0007589235718980023,0.022268519795097266,-0.0246233280879036,0.015658216375195124,-0.011515364683193864,-0.020023672410191082,0.025453255190153595,0.008256901016127902,0.030337017905923344,-0.007709207543014823,-0.02114506413403754,-0.021078951642669982,0.019140897276668793
rdkit_AvgIpc,1.934894171643106e-09,1.5994462461707774e-06,2.8741727345161857e-05,0.00034059085021324463,7.824808051469861e-05,-0.003371537112001616,0.002323478524032236,-0.014721869630797376,0.01804928962609588,-0.039344115535525324,-0.058686916457570196,0.004151762416765466,0.057022509437335465,-0.001600789634644423,-0.01448849586341882,-0.007884392728505352,0.07472204233466577,0.03650301845799179,-0.04686056614364445
rdkit_BalabanJ,4.066096555506085e-11,-6.654740522441031e-07,-3.3962022766094603e-05,-6.217689692610653e-05,-0.0004013341398099763,-0.0005967262172821884,-0.0006073547035090176,-0.007032091360913638,0.015051141674364308,0.022025184341020666,0.013189908852958714,0.048454841482912216,-0.024120054676077737,-0.04292090437573141,-0.0156559040271014,-0.0010688492127506723,-0.007852531850080457,0.02847348811734478,-0.014013172589675956
rdkit_BertzCT,1.0103124397406611e-08,2.027056948784147e-06,3.3635273254546315e-05,0.00032194530776211275,0.0001519999635970472,-0.001651742970094927,0.0015393919740015938,-0.013344802703676077,0.015729070316456657,-0.04973931714389598,-0.02174771498140387,-0.00614022270185233,0.04930960901288151,0.013792366636775914,0.007798874082085389,-0.0235617057308263,0.024325962115644226,-0.01221852047392663,0.01597254680948715
rdkit_Chi0,9.168027051778826e-09,1.354877353625389e-06,1.2509274844806612e-05,0.00020922498452042145,0.00012291540928662008,-0.001707347136606998,0.0023424827617098474,-0.0087946917199645,0.025809395602044323,-0.033745146032194744,-0.013676468435121948,0.015527130292350986,0.032486170988906146,0.0013256452550654127,0.005948642456720462,-0.024494822309921713,0.015839455817324603,-0.004044085631482524,0.012497261804065986
