TSNE1,TSNE2
-21.837479,93.204666
-30.976038,38.481575
-7.4706974,124.667786
67.57946,11.974988
-40.389145,105.85457
47.826336,35.232067
68.44395,37.521446
4.591407,22.6069
30.422365,40.415607
94.47542,9.555492
44.086033,-53.171562
45.59182,55.850704
-13.0416565,26.239685
25.07055,91.92386
85.48314,-84.76605
11.250929,41.697487
66.018906,117.8318
45.5244,-25.00788
58.053875,-13.041365
42.63006,-87.77953
-73.883064,9.098012
-48.517345,41.17255
54.631443,82.59891
-3.9736617,66.6719
-51.903137,71.293945
69.979164,-95.81379
97.3707,-61.870308
6.258632,130.32211
-57.084057,0.54372895
-6.78512,8.942621
78.40451,78.47387
25.594538,-39.222134
-6.2194114,46.710823
-27.460396,-79.83334
64.3976,-69.51559
-97.55491,-35.420776
-25.680061,8.827363
14.565146,1.0194705
36.094112,-71.66948
-93.42662,-15.680599
70.10339,-41.2148
23.59301,15.407767
-46.20187,-68.05241
-73.971664,-16.043985
117.31125,-5.8387475
-60.618065,-54.555
-3.2654355,-11.094516
2.9162583,-26.160915
43.381943,14.145725
19.190742,63.41024
-58.00071,-32.187263
7.919333,-74.49731
13.081055,-58.477455
-23.687061,60.479736
33.19359,-3.5337486
-5.7444367,-94.30041
19.839012,-18.03264
-26.42199,-15.177859
-19.32995,-39.773064
-35.97213,-34.614796
-17.762457,-57.430294
