Model,PC,MSE,R2,Q2,MAE,Best Params
AdaBoost,1,6.177073419171183,0.583937478773451,-0.1483516288732578,2.32608471132065,{'n_estimators': 50}
AdaBoost,2,4.390679532074293,0.6842811989287717,0.1837487349803089,1.8854646400316744,{'n_estimators': 50}
AdaBoost,3,5.312124547860323,0.7768675716728971,0.012447082403058,2.0582861816154856,{'n_estimators': 50}
AdaBoost,4,3.6901585225875606,0.8144539008820989,0.313979410207084,1.7567859075812169,{'n_estimators': 50}
AdaBoost,5,3.889941706388824,0.8224375164973936,0.2768386270284944,1.8227632274536505,{'n_estimators': 50}
AdaBoost,6,3.02056419062657,0.8645555219440773,0.4384606474553336,1.6197372429120998,{'n_estimators': 100}
AdaBoost,7,4.1098277315813885,0.901987910972388,0.2359606160253116,1.867603324037857,{'n_estimators': 50}
AdaBoost,8,3.880769076368152,0.883034965510814,0.2785438689627408,1.6836463874489334,{'n_estimators': 100}
AdaBoost,9,2.6623157668096558,0.9137462856432728,0.5050609827783077,1.4409314301428953,{'n_estimators': 100}
AdaBoost,10,2.5579197402052745,0.9239981193560561,0.5244687733392821,1.4163489750248666,{'n_estimators': 100}
