Model,PC,MSE,R2,Q2,MAE,Best Params,R2+Q2,Vote sum,R2-Q2,Vote diff,Vote,(R2+Q2)-(R2-Q2)
SVR,10,0.5749846914570867,0.782291892491122,0.4870495591996407,0.5957193666318972,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2693414516907626,12,0.29524233329148125,5,17,0.9740991183992813
SVR,9,0.5956078108471121,0.7763762530578072,0.4686514377557736,0.6055042288005144,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.245027690813581,16,0.3077248153020336,6,22,0.9373028755115473
SVR,22,0.5992605658821306,0.7874038243273956,0.465392773076197,0.5859795927586714,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2527965974035926,14,0.32201105125119867,7,21,0.930785546152394
SVR,12,0.6019874167974821,0.9856140284740736,0.4629601180858843,0.577798242519754,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.448574146559958,1,0.5226539103881893,15,16,0.9259202361717687
SVR,21,0.607260228002703,0.7917712049989218,0.4582561827078467,0.5926754040762984,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2500273877067685,15,0.33351502229107516,9,24,0.9165123654156933
SVR,16,0.6080343555186962,0.9855668022034232,0.4575655746682514,0.5934626501409851,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.4431323768716746,2,0.5280012275351718,17,19,0.9151311493365029
SVR,11,0.611388056210911,0.8086361755843383,0.4545736997993317,0.6175308896533337,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",1.26320987538367,13,0.3540624757850066,12,25,0.9091473995986634
SVR,13,0.6228313755224224,0.985534005603714,0.4443649833373612,0.592907368402839,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.4298989889410751,3,0.5411690222663528,19,22,0.8887299666747224
SVR,15,0.6243908464622272,0.9856725557395938,0.4429737614181113,0.5973017174720473,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.428646317157705,4,0.5426987943214825,20,24,0.8859475228362226
SVR,24,0.6263542595955842,0.7940141958346034,0.4412221780330363,0.588782469426975,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2352363738676397,17,0.3527920178015671,11,28,0.8824443560660726
SVR,14,0.6271882506337684,0.9856542356717866,0.4404781650584021,0.5951109575000396,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.4261324007301885,5,0.5451760706133845,21,26,0.8809563301168041
SVR,8,0.6290227409597255,0.7685524968970905,0.4388415951891086,0.6124841303043008,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.207394092086199,20,0.3297109017079819,8,28,0.8776831903782171
SVR,25,0.6349712666044552,0.7919077640905998,0.4335348472062292,0.5917515444224142,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.225442611296829,18,0.3583729168843706,13,31,0.8670696944124585
SVR,23,0.6370434583065833,0.7909297520149063,0.4316862212117949,0.5910245879304671,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.2226159732267012,19,0.35924353080311144,14,33,0.8633724424235898
SVR,7,0.6579621644783812,0.7582035748303909,0.4130244034082547,0.6345139867431603,"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",1.1712279782386457,21,0.3451791714221362,10,31,0.8260488068165095
SVR,47,0.6776998306503952,0.985650169360702,0.3954162049401385,0.6207463309512498,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.3810663743008407,6,0.5902339644205635,22,28,0.7908324098802771
SVR,48,0.6810750224845311,0.9857370893587236,0.3924051575769148,0.6313388097276137,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",1.3781422469356384,7,0.5933319317818089,24,31,0.7848103151538295
SVR,17,0.6826689553937255,0.9856165598700593,0.3909831917393452,0.6354995364034651,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.3765997516094044,8,0.5946333681307141,25,33,0.7819663834786903
SVR,20,0.6957749344589851,0.9859190007796144,0.3792911974331857,0.6436911745051739,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.3652101982128,9,0.6066278033464287,28,37,0.7585823948663712
SVR,19,0.6978791390101269,0.985835465275758,0.3774140124088209,0.6453222174247675,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",1.363249477684579,10,0.6084214528669372,29,39,0.7548280248176418
SVR,18,0.7014330426656061,0.985748760295166,0.3742435341791824,0.6476518958656766,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",1.3599922944743483,11,0.6115052261159837,30,41,0.7484870683583646
SVR,30,0.8253443585352882,0.7969188971911818,0.2637008274952259,0.7208111925409812,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0606197246864077,22,0.5332180696959559,18,40,0.5274016549904519
SVR,28,0.8272092329902309,0.7858439533967264,0.2620371515958275,0.7211133271001116,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.047881104992554,24,0.5238068018008989,16,40,0.5240743031916552
SVR,31,0.8681683710593194,0.8187363373165351,0.2254970345466246,0.7119040628947773,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0442333718631596,26,0.5932393027699104,23,49,0.45099406909324913
SVR,35,0.872180082651559,0.8260681949047208,0.2219181406035729,0.6964085270823133,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0479863355082937,23,0.604150054301148,27,50,0.4438362812071457
SVR,32,0.8726318539799081,0.8188259628313492,0.2215151102177894,0.7103496295971429,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0403410730491387,30,0.5973108526135598,26,56,0.44303022043557894
SVR,45,0.884945891011865,0.8320785600580676,0.2105296164865259,0.7268717378714239,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0426081765445936,28,0.6215489435715417,31,59,0.4210592329730519
SVR,44,0.8850838495414615,0.8322120834910808,0.2104065420992943,0.7270467053970407,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.042618625590375,27,0.6218055413917865,32,59,0.42081308419858865
SVR,46,0.8861180862502543,0.832151267401841,0.2094838876642295,0.7275929230671521,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0416351550660705,29,0.6226673797376114,33,62,0.4189677753284591
SVR,36,0.888983599458594,0.8385148761480022,0.2069275304512884,0.7123853817440804,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0454424065992907,25,0.6315873456967138,38,63,0.41385506090257684
SVR,38,0.8924008279631838,0.8312233651592051,0.2038789816920111,0.714276163369362,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0351023468512162,32,0.627344383467194,35,67,0.40775796338402215
SVR,40,0.8929480652391022,0.8294122322756783,0.2033907850389953,0.7250401999725602,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0328030173146736,33,0.626021447236683,34,67,0.40678157007799065
SVR,39,0.8944048079919865,0.833883146371387,0.202091208114032,0.7189427911299678,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.035974354485419,31,0.631791938257355,39,70,0.40418241622806395
SVR,37,0.8961873738357498,0.8314439504231819,0.2005009606711011,0.7231621036166298,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0319449110942829,34,0.6309429897520807,37,71,0.40100192134220214
SVR,33,0.8990891555583245,0.8278958602788772,0.1979122479004548,0.7256765795790422,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.025808108179332,39,0.6299836123784224,36,75,0.3958244958009096
SVR,34,0.9004050595605751,0.8304554770561451,0.196738314840959,0.7226252879404262,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0271937918971041,37,0.633717162215186,41,78,0.3934766296819181
SVR,42,0.900532949068457,0.8321191296939567,0.1966242231435339,0.7217514583978701,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0287433528374907,36,0.6354949065504228,43,79,0.3932484462870679
SVR,41,0.900549799289592,0.8335616994967014,0.1966091908679148,0.7247762758105876,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0301708903646163,35,0.6369525086287866,44,79,0.3932183817358297
SVR,43,0.9007479715305512,0.8303257942855721,0.1964323991378657,0.7309515101477452,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",1.0267581934234378,38,0.6338933951477064,42,80,0.3928647982757314
SVR,6,0.9613336310814532,0.1980553075683889,0.142383237073983,0.8150505977433893,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.3404385446423719,43,0.055672070494405895,3,46,0.28476647414796596
SVR,27,0.9739618895692688,0.7647058269116732,0.1311174227764744,0.7972552493117685,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.8958232496881476,40,0.6335884041351988,40,80,0.26223484555294885
SVR,5,0.9915306853730644,0.1724987888604086,0.1154440984501324,0.8285041185936031,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.28794288731054096,44,0.05705469041027619,4,48,0.23088819690026477
SVR,29,1.0018770038572828,0.781489198368549,0.1062140290135156,0.8287543339390266,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8877032273820646,41,0.6752751693550334,45,86,0.21242805802703124
SVR,4,1.0166552503274249,0.1415571773529178,0.0930301857673491,0.8544122988939404,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.2345873631202669,45,0.04852699158556871,2,47,0.18606037153469818
SVR,1,1.0490185074664178,0.0676464211733972,0.0641585527276704,0.8469304515688292,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.1318049739010676,46,0.003487868445726794,1,47,0.1283171054553408
SVR,26,1.0600828624298866,0.7642060193391867,0.0542879147089423,0.8106128396956175,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.8184939340481291,42,0.7099181046302444,46,88,0.10857582941788468
