Model,PC,MSE,R2,Q2,MAE,Best Params
Random Forest,1,4.544639084579187,0.8607200664653912,0.1551268147112575,1.8562139009048524,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,2,3.7785366890240906,0.8480255830169784,0.2975494271880642,1.6796302529369636,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,3,4.440271514088493,0.8545159021736788,0.1745293151255419,1.9305152868276847,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,4,3.8204282271012646,0.8584999879675059,0.2897615618475574,1.80788689229993,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,5,3.531991730147762,0.8572900034705024,0.3433834793198438,1.7219431647132872,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,6,2.94599342144547,0.8502436875666777,0.4523237600402796,1.5558307303958392,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,7,3.0294704894039257,0.8578311215810166,0.4368049179513801,1.6109982650601886,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,8,2.6539541449582944,0.8591985973514085,0.5066154538718892,1.379738618157286,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,9,1.8503560073204548,0.8706986223094509,0.6560087292459336,1.141888268226836,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,10,1.917142275330284,0.8705887736308834,0.6435927978734124,1.1798490007537472,"{'max_depth': None, 'n_estimators': 200}"
Random Forest,11,1.849488132876087,0.8633982268008398,0.6561700718371927,1.210362332778506,"{'max_depth': 10, 'n_estimators': 100}"
Random Forest,12,2.03362606873129,0.8619440177188458,0.6219378255568735,1.2332507144614488,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,13,2.0384067021941408,0.8620344925908886,0.621049079729914,1.2421656153243286,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,14,1.993250006145069,0.866769459830646,0.6294439557405416,1.2535477702546127,"{'max_depth': 10, 'n_estimators': 100}"
Random Forest,15,2.688753372131236,0.8677078805868583,0.5001460877990249,1.4145632629207403,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,16,2.7655797167172187,0.8674344313311423,0.4858636514478752,1.4694553950299736,"{'max_depth': 10, 'n_estimators': 200}"
Random Forest,17,2.724328442916061,0.8629425336845804,0.4935324881684548,1.4193488042700355,"{'max_depth': None, 'n_estimators': 100}"
Random Forest,18,3.136574396628682,0.8726024731657454,0.4168937176184655,1.5267166403692898,"{'max_depth': None, 'n_estimators': 100}"
