TSNE1,TSNE2
48.522083,8.085135
24.758383,-33.12027
66.12983,-8.362878
-20.58313,-0.41736937
49.292454,-40.93401
-14.026118,-30.17918
-8.98258,-20.093025
5.086638,-20.329832
-22.693558,-17.461954
-39.98323,59.453045
-27.893028,14.381833
-12.568171,-9.461079
6.888754,-0.09162913
-11.770764,-51.891853
-46.143097,-17.12875
-0.28052086,-33.3302
-75.62531,29.645817
-13.05542,9.52772
-1.4700383,14.126274
-41.159145,9.1700535
-25.791105,58.010284
13.675865,-31.81826
9.940679,-48.67633
35.769485,-23.706806
17.875202,-59.594864
-49.809166,-5.919013
-12.715661,23.440212
65.21387,-17.780476
-29.164875,69.36428
0.23815213,-10.230156
25.341032,-50.834057
17.680895,22.640238
22.379942,-18.777966
-59.56839,10.572539
8.421436,34.431416
-14.870714,43.78408
11.635868,-10.8900175
14.438443,8.628487
-34.959507,0.40492973
-25.96468,35.732037
-38.883835,28.92411
20.063126,-2.6822906
-60.51563,22.680058
-32.78042,44.795685
-9.81951,59.12168
-54.446526,33.84787
30.862139,16.6454
30.28561,4.883002
-4.210531,0.018450819
35.1261,-8.053528
-44.833958,41.03295
-31.5339,-33.723236
