Molecule ChEMBL ID,Smiles (RDKit Mol),MACCS_sim_score,ECFP4_sim_score,MCSS_rdkit_sim_score,Standard Type,Standard Relation,Standard Value,Standard Units,Document ChEMBL ID,Smiles
CHEMBL3604943,,0.923,0.907,0.682,Ki,'=',1.46,nM,CHEMBL3603765,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4278815, ,0.8888888888888888,0.5263157894736842,0.9473684210526315,IC50,'=',1.3,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cnn4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4848234, ,0.5647058823529412,0.21359223300970873,0.6578947368421053,IC50,'=',116.5,nM,CHEMBL4831496,O=C(NO)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl
CHEMBL4650319,,0.969,0.867,0.86,IC50,'=',0.01,nM,CHEMBL5257147,C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4282523, ,0.8115942028985508,0.5604395604395604,0.9473684210526315,IC50,'=',1.5,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)ccc1N(C)CCN(C)C
CHEMBL4293126, ,0.9154929577464789,0.6222222222222222,1.0,IC50,'=',0.8,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC)cc1N(C)CCN(C)C
CHEMBL4592472,,0.803,0.822,0.923,IC50,'=',108.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1S(=O)(=O)CCN(C)C
CHEMBL4553685, ,0.9014084507042254,0.42592592592592593,0.9736842105263158,IC50,'=',37.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2ncc(C#N)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4570333,,0.909,0.86,0.973,IC50,'=',14.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1SCCN(C)C
CHEMBL4463766,,0.851,0.86,0.698,IC50,'=',79.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCSCC1
CHEMBL4287401, ,0.8378378378378378,0.7045454545454546,0.8157894736842105,IC50,'=',0.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1OCCN1CCOCC1
CHEMBL4080008,,0.91,0.714,0.604,IC50,'=',11.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N1CC(CN(C)C)C1
CHEMBL4099377,,0.909,0.884,0.974,IC50,'=',9.9,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2ncnc(-c3cn(C)c4ccccc34)c2F)c(OC)cc1N(C)CCN(C)C
CHEMBL4293734, ,0.9565217391304348,0.8395061728395061,0.9473684210526315,IC50,'=',1.0,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCC(N(C)C)CC1
CHEMBL4460261,,0.77,0.907,0.682,IC50,'=',65.0,nM,CHEMBL4376823,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CC[S+]([O-])CC1
CHEMBL5175316, ,0.9,0.5208333333333334,0.9473684210526315,IC50,'=',87.0,nM,CHEMBL5137051,COc1ccc(C(=O)Nc2cc(Nc3nccc(-c4cn(C)c5ccccc45)n3)c(OC)cc2N(C)CCN(C)C)nc1
CHEMBL4870560, ,0.5977011494252874,0.20535714285714285,0.5263157894736842,IC50,'=',64.79,nM,CHEMBL4831496,O=C(NO)c1ccccc1Nc1nc(Nc2ccc(OCCCN3CCOCC3)cc2)ncc1Cl
CHEMBL4206604, ,0.75,0.21621621621621623,0.5789473684210527,Ki,'=',161.0,nM,CHEMBL4177539,CC(=O)N1CC[C@H](Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1
CHEMBL4858535, ,0.6136363636363636,0.21551724137931033,0.5263157894736842,IC50,'=',44.96,nM,CHEMBL4831496,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(OCCCN3CCC(C(=O)NO)CC3)cc2)ncc1Cl
CHEMBL4094086,,1.0,0.929,0.949,IC50,'=',154.6,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nc(OC)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4280993, ,0.8115942028985508,0.5888888888888889,0.9473684210526315,IC50,'=',2.7,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(C)cc1N(C)CCN(C)C
CHEMBL4290812, ,1.0,1.0,1.0,IC50,'=',0.3,nM,CHEMBL4257480,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1
CHEMBL4548960, ,0.9142857142857143,0.45098039215686275,0.9736842105263158,IC50,'=',8.0,nM,CHEMBL4411272,CCC/C=C\C(=O)Nc1cc(Nc2nc(C)cc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4087243,,0.868,0.745,0.85,IC50,'=',34.8,nM,CHEMBL4052618,C=CC(=O)Nc1cc(Nc2nccc(-c3cn4c5c(cccc35)CCC4)n2)c(OC)cc1N(C)CCO
CHEMBL4871985, ,0.5833333333333334,0.2222222222222222,0.6578947368421053,IC50,'=',49.94,nM,CHEMBL4831496,CNC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCC(C(=O)NO)CC3)cc2)ncc1Cl
